Second,Count,0,1,2,3,4,5,6,7,8,9,10,11
0.0,642,0.80261654,0.54485303,0.2739471,0.28627884,0.32794398,0.27049556,0.067379706,0.035028238,0.03039049,0.04663966,0.0987223,0.24181996
0.5,1324,0.8692011,0.35181034,0.046384383,0.021823429,0.025826354,0.080953576,0.09040864,0.112912476,0.07998614,0.10288917,0.25779122,0.20298763
1.0,1406,0.13329716,0.13488999,0.40686053,0.19199885,0.02042088,0.036933996,0.04267663,0.050619785,0.047296766,0.14670677,0.6775456,0.26741362
1.5,1301,0.45449176,0.2928646,0.82472813,0.36107972,0.016219908,0.011823578,0.009057789,0.02617508,0.13271976,0.31408116,0.7324554,0.52476484
2.0,1278,0.54131776,0.25634775,0.17958131,0.06579204,0.019388847,0.020255066,0.025520852,0.02376569,0.045681372,0.14848597,0.58168787,0.30388162
2.5,1246,0.5869452,0.31215855,0.40343028,0.12375934,0.01616197,0.01704696,0.02073778,0.01845379,0.019051896,0.08262168,0.4358347,0.20154426
3.0,1192,0.57284325,0.20421456,0.09862182,0.3219538,0.22666872,0.44862863,0.1674181,0.017699853,0.0150607,0.09828247,0.49305752,0.25413442
3.5,1406,0.84054095,0.33901325,0.06729841,0.13682267,0.11066166,0.20059368,0.08433809,0.018663496,0.019429106,0.085537925,0.34281272,0.21396106
4.0,1392,0.21516,0.10517054,0.18463609,0.23183301,0.269698,0.53110737,0.2759855,0.041580677,0.017634343,0.09786102,0.59056103,0.2350738
4.5,1305,0.11010756,0.04876159,0.072519526,0.071518354,0.31091774,1.0,0.5507121,0.0550021,0.023641173,0.058626268,0.16011326,0.10245514
5.0,1342,0.4773326,0.23670651,0.11457992,0.060640913,0.15960093,0.48079544,0.2685322,0.043389294,0.028053494,0.12323802,0.5730864,0.26516294
5.5,1427,0.7043635,0.33062732,0.122539945,0.055063475,0.099270746,0.28252336,0.15687563,0.057100896,0.061036482,0.18751648,0.43917084,0.24251406
6.0,1476,0.6007997,0.36173669,0.29387453,0.2205392,0.14387861,0.46393213,0.21082602,0.08362499,0.05859741,0.13763855,0.47557524,0.25416568
6.5,1483,0.86481696,0.49625197,0.40754616,0.2962963,0.1126327,0.3436346,0.21952878,0.17575966,0.12956296,0.19570029,0.43446168,0.2566539
7.0,1648,0.28297988,0.21451116,0.31500056,0.22491314,0.17705339,0.52239317,0.3064153,0.11126087,0.07855196,0.15334323,0.64382803,0.27567446
