Second,Count,0,1,2,3,4,5,6,7,8,9,10,11,12
0.0,1368,-396.12183,11.108708,3.4340196,23.741882,5.7980356,10.741373,9.307491,8.198755,3.599685,1.2675389,3.6232026,3.6907525,6.307206
0.5,2727,-199.65314,51.17604,-2.482901,58.740093,13.580052,20.857801,10.846969,8.91432,-1.7380782,-9.300461,7.562199,6.390423,12.0626745
1.0,2656,-382.63318,81.73661,33.034126,46.593483,32.731716,18.786602,14.626279,11.325282,9.2487545,8.341025,3.8945763,2.2732644,2.2069504
1.5,2694,-309.9752,100.97166,24.900383,52.73934,26.50861,20.861292,15.176846,9.057007,5.113127,7.8559046,6.751066,12.360581,2.7476726
2.0,2826,-352.00458,102.90962,23.864729,39.535534,31.825459,15.275751,8.328609,1.3656862,-0.44055903,-1.4457532,-0.67453825,2.6408079,-2.1086135
2.5,2844,-342.16818,85.84044,25.142595,42.22761,23.816486,14.582168,6.1278844,3.9671907,2.4815533,-1.3613167,-4.2660875,-0.8061693,-7.565307
3.0,3045,-275.05234,74.936455,8.572235,54.125233,21.501661,19.21125,12.084498,7.6244183,0.5933367,-2.9596708,0.5916517,-2.7276042,1.0047005
3.5,3038,-176.46207,53.62706,-7.6160398,49.361782,7.59157,17.261328,11.43746,7.024678,-0.4142825,-6.463743,1.5072951,4.2615113,11.921386
4.0,2954,-379.0769,85.47629,38.02818,49.229538,34.56932,22.664715,22.100065,19.802341,13.258178,10.439552,4.278982,2.3533514,1.1729988
4.5,3006,-286.8902,98.87962,17.34596,48.177773,22.005524,22.431055,17.281618,13.99666,10.024693,10.166022,6.5786033,8.617,1.0155265
5.0,2949,-343.57663,101.56836,19.135784,39.035355,27.861677,14.394909,10.632518,6.1637263,2.6900449,3.8165073,4.5684867,0.18005863,-6.9231205
5.5,2859,-235.65593,78.62368,-7.305539,23.011728,-2.3230135,18.622387,-10.585603,12.734006,-1.8957705,-3.4939752,1.2119178,-4.0226445,-7.1678658
6.0,2733,-159.11858,95.98918,-5.0990686,41.24843,-4.782797,21.772541,3.2447786,18.280191,1.2383031,-1.682259,7.096386,0.6088442,-2.6681182
6.5,2771,-117.480545,89.76837,-24.388916,25.61255,2.0182006,18.852009,-10.00691,-2.358766,2.0702903,-2.9518423,-1.0845313,-11.439094,-3.8596358
7.0,2668,-216.48476,121.372856,-24.184446,10.63626,-0.04660245,12.760118,-2.3489327,4.4397106,-6.261851,7.55374,-4.4515657,-8.878141,3.3143682
7.5,2712,-234.36122,146.60585,-15.918547,7.7150908,21.062296,23.747528,7.4302015,-1.575863,-0.0029531496,7.89161,2.0832708,3.5871952,-1.2531906
8.0,2667,-218.5548,149.89618,-28.868002,-3.7961028,7.7232566,16.946234,-2.6827388,-4.481322,-6.840445,0.21164761,-3.053454,-12.346496,-6.2267365
8.5,2790,-194.51183,124.24473,-23.590635,8.747547,-0.09106188,12.481756,-19.089066,3.930808,-7.9844155,-5.589062,-5.917204,-15.806359,-17.63757
9.0,2783,-148.73975,116.88077,-37.559994,16.324558,-2.9259002,13.201135,-9.177833,5.508045,-0.9970031,-4.377571,3.682004,-3.1546557,-5.472428
9.5,2976,-101.1436,82.07055,-36.490234,25.77824,0.29284024,16.23714,-8.791755,3.0095563,7.1013565,-1.3727251,2.0552166,-6.923347,-2.397161
10.0,3106,-223.24702,140.9285,-19.79692,10.973031,11.459785,12.637681,-2.0099237,7.630471,4.0380216,7.071359,0.12178643,-1.9698857,-2.0002327
10.5,3308,-226.188,136.8479,-15.877337,9.031793,16.584337,26.858706,12.662734,3.8018205,4.7124143,10.804324,7.364341,9.4987335,2.1054642
11.0,3410,-247.47066,154.39983,-24.738543,-9.474361,10.121617,16.031487,4.201121,1.7285287,3.4953408,2.60659,1.2552975,-3.0659304,-3.3978524
11.5,3692,-216.82912,115.012886,-16.241478,-2.1391168,-2.442907,19.15354,-9.390551,5.8709545,-9.966979,-5.3996954,-1.8060507,-9.169021,-2.2989962
12.0,3835,-147.46655,104.42509,-5.8726254,21.673973,-3.381145,27.433819,-2.1425354,13.036417,2.6269631,4.03604,8.122979,2.3248835,0.15914991
12.5,3762,-110.461494,88.22083,-38.64933,23.368874,-4.499655,9.856302,-10.947208,5.2766705,9.165272,2.8265646,17.36638,1.0193679,-0.70217204
13.0,3881,-211.96513,132.29875,-37.746494,10.93651,9.8912525,12.824623,-15.046591,8.687737,6.3492064,1.141304,8.448845,-4.8375416,2.0734851
13.5,4119,-251.04738,131.96803,6.13731,33.466568,24.017544,20.506685,10.773976,17.238012,5.263713,4.6569495,-5.3402348,-11.715639,-16.963196
14.0,4160,-260.55518,116.68322,-8.8982935,36.54728,17.859726,11.930245,7.2878146,14.435853,-3.1200402,7.1024666,2.603081,-15.667596,-17.2208
