Second,Count,Onset Strength
0.0,1368,1.1154636
0.5,2727,1.3158273
1.0,2656,1.8684107
1.5,2694,1.4304026
2.0,2826,1.3100487
2.5,2844,2.1028633
3.0,3045,1.7368047
3.5,3038,1.3042303
4.0,2954,1.6912416
4.5,3006,1.4788227
5.0,2949,1.369796
5.5,2859,2.1487458
6.0,2733,1.5482829
6.5,2771,1.1778764
7.0,2668,1.4537494
7.5,2712,1.5566548
8.0,2667,1.3660192
8.5,2790,1.6784552
9.0,2783,1.6493988
9.5,2976,1.1400787
10.0,3106,1.3114232
10.5,3308,1.6707822
11.0,3410,1.1797501
11.5,3692,1.8076005
12.0,3835,1.7322865
12.5,3762,1.2146258
13.0,3881,1.1704885
13.5,4119,1.8732849
14.0,4160,1.3273548
14.5,4325,1.7759404
15.0,4468,1.8647171
15.5,4568,1.187043
16.0,4782,1.0225766
16.5,5038,1.900496
17.0,5190,1.5288877
17.5,5281,1.7507815
18.0,5206,1.662824
18.5,5060,1.2628251
19.0,5077,1.2498626
19.5,5107,1.6542463
20.0,5239,1.2883637
20.5,5222,1.7753931
21.0,5113,1.8273002
21.5,5063,1.1898052
22.0,5253,1.0742073
22.5,5198,1.8835772
23.0,4910,1.2905505
23.5,5234,1.5103619
24.0,5088,1.7386642
24.5,5083,1.2008547
25.0,4987,1.0446306
25.5,4831,2.0050685
26.0,4847,1.3156182
26.5,4762,1.7264347
27.0,4744,1.8966926
27.5,4736,1.2325872
28.0,4646,0.97730523
28.5,4568,1.9050944
29.0,4339,1.4207169
29.5,4625,1.6812345
30.0,4705,1.7333621
30.5,4580,1.098831
31.0,4547,1.1704224
31.5,4451,1.6030583
32.0,4352,1.2714074
32.5,4107,1.6113851
33.0,4165,1.774196
33.5,4139,1.1440006
34.0,4127,1.1028839
34.5,4015,1.8736801
35.0,4115,1.3651181
35.5,4042,1.4894253
36.0,4246,1.740492
36.5,4127,1.1233963
37.0,4202,1.1375759
37.5,4041,1.9969003
38.0,3912,1.2614685
38.5,3945,1.6846102
39.0,3795,1.7096008
39.5,3979,1.2091882
40.0,4073,1.2811785
40.5,3985,1.6172391
41.0,3971,1.3099034
41.5,3883,1.3264761
42.0,3947,1.6297803
42.5,3945,1.0837749
43.0,3920,1.2079126
43.5,3755,1.504093
44.0,3749,1.1580853
44.5,3760,1.253174
45.0,3697,1.4325894
45.5,3740,1.0022929
46.0,3812,1.1819817
46.5,3684,1.3289587
47.0,3747,1.0721354
47.5,3758,1.224004
48.0,3862,1.4685307
48.5,3863,1.0706941
49.0,3843,1.2872329
49.5,3786,1.246513
50.0,3862,1.1613865
50.5,3921,1.1696297
51.0,3940,1.31532
51.5,3948,1.0344689
52.0,3925,1.2957176
52.5,3856,1.2867515
53.0,3862,1.0960251
53.5,3800,1.0992593
54.0,3806,1.2906572
54.5,3655,1.0731794
55.0,3762,1.1895875
55.5,3764,1.3628273
56.0,3796,1.1359688
56.5,3847,1.2266152
57.0,3919,1.4332913
57.5,3790,1.0646671
58.0,3860,1.1416978
58.5,3423,1.4223684
59.0,3435,1.1461942
59.5,3528,1.285613
60.0,3442,1.4692672
60.5,3460,1.0582765
61.0,3350,1.2289903
61.5,3349,1.1909248
62.0,3307,1.0925097
62.5,3294,1.1204144
63.0,3300,1.3627036
63.5,3181,1.031012
64.0,3163,1.3256608
64.5,3153,1.3018953
65.0,3111,1.1204091
65.5,3220,1.2326307
66.0,3242,1.2740848
66.5,2967,1.0052813
67.0,2960,1.2426255
67.5,2793,0.98475033
68.0,2809,1.1443294
68.5,2862,1.6924995
69.0,2727,1.403769
69.5,2791,1.3350981
70.0,2826,1.0907577
70.5,2665,1.1572922
71.0,2742,1.3025291
71.5,2676,1.8599651
72.0,2603,1.8236221
72.5,2498,1.1143271
73.0,2395,1.2582368
73.5,2423,1.8807652
74.0,2496,1.3005983
74.5,2562,1.794216
75.0,2528,1.6708857
75.5,2415,1.1392275
76.0,2434,1.2237672
76.5,2384,1.7676574
77.0,2408,1.4209983
77.5,2352,1.8600116
78.0,2387,1.6080983
78.5,2223,1.1343507
79.0,2330,1.2370331
79.5,2380,1.5723237
80.0,2298,1.2927628
80.5,2345,1.6503949
81.0,2362,1.6345538
81.5,2329,1.2100121
82.0,2345,1.2426364
82.5,2325,1.6166033
83.0,2187,1.4169426
83.5,2219,1.76579
84.0,2103,1.4556502
84.5,2172,1.3014271
85.0,2039,1.1981841
85.5,1992,1.6039379
86.0,2054,1.5987041
86.5,1994,1.7697024
87.0,2015,1.5307835
87.5,2113,1.3331836
88.0,2063,1.2062986
88.5,1995,1.4519947
89.0,1910,1.7770509
89.5,1982,1.6398363
90.0,2009,1.5466061
90.5,1950,1.101139
91.0,1948,1.2110522
91.5,1935,1.3714843
92.0,1875,1.3696243
92.5,1828,1.4577326
93.0,1760,1.2624985
93.5,1858,1.3680676
94.0,1849,1.1517913
94.5,1773,1.3150661
95.0,1743,1.5553818
95.5,1802,1.502336
96.0,1903,1.396669
96.5,1929,1.2473745
97.0,1875,1.2072247
97.5,1923,1.0544263
98.0,1987,1.8719141
98.5,2125,1.7365867
99.0,2053,1.4325982
99.5,2206,1.7606467
100.0,2207,1.8069828
100.5,2205,1.200644
101.0,2147,1.3431939
101.5,2116,1.3205756
102.0,2149,1.4218938
102.5,2110,1.3150214
103.0,2086,1.1558974
103.5,2164,1.0697201
104.0,2085,1.3576243
104.5,2165,1.1881686
105.0,2222,1.2533071
105.5,2211,1.1008332
106.0,2190,1.1005355
106.5,2155,1.1134614
107.0,2069,1.2260906
107.5,1989,1.140294
108.0,2120,1.1978629
108.5,2038,1.2626712
109.0,2181,1.1299125
109.5,2089,1.1651354
110.0,2198,1.2073449
110.5,2278,1.1327333
111.0,2267,1.2125995
111.5,2298,1.1129942
112.0,2299,1.1791621
112.5,2408,1.121333
113.0,2329,1.2090408
113.5,2287,1.0701021
114.0,2282,1.0542716
114.5,2219,1.2344949
115.0,2246,1.1546596
115.5,2094,1.0535156
116.0,2006,1.3725879
116.5,2046,1.127812
117.0,1951,1.2253362
117.5,2043,1.2233815
118.0,1984,1.0365571
118.5,2025,1.1500804
119.0,1925,1.356107
119.5,1889,1.1645211
120.0,2001,1.2165796
120.5,1941,1.2398216
121.0,1752,1.0930785
121.5,1833,1.1179998
122.0,1844,1.2113727
122.5,1799,1.0106487
123.0,1791,1.3342162
123.5,1726,1.1330856
124.0,1754,1.1654731
124.5,1729,1.1653267
125.0,1728,1.1924409
125.5,1710,0.9695328
126.0,1705,1.2296414
126.5,1614,1.097093
127.0,1610,1.0139014
127.5,1668,1.2896442
128.0,1532,1.2981726
128.5,1533,1.1269864
129.0,1442,1.5569206
129.5,1444,1.1277303
130.0,1551,1.0503056
130.5,1439,1.273077
131.0,1538,1.3036032
131.5,1466,1.1215905
132.0,1478,1.6205082
132.5,1448,1.0834433
133.0,1344,0.98897976
133.5,1400,1.2046238
134.0,1353,1.2496889
134.5,1401,1.0794697
135.0,1343,1.4766527
135.5,1282,1.089154
136.0,1320,1.0368167
136.5,1176,1.2535896
137.0,1154,1.1832013
137.5,1172,1.0216041
138.0,1113,1.1363819
138.5,1052,1.0944982
139.0,1070,1.4067831
139.5,1097,1.361127
140.0,1151,1.4567653
140.5,1064,1.4021255
141.0,1039,1.6937764
141.5,989,1.7173384
142.0,965,1.3881756
142.5,832,1.7559128
143.0,840,1.5833501
143.5,849,1.3286312
144.0,950,1.8771394
144.5,942,1.4857041
145.0,928,1.2060593
145.5,930,1.4837823
