Second,Count,0,1,2,3,4,5,6,7,8,9,10,11,12
0.0,108,-526.2199,31.730824,24.18409,16.440626,10.823711,6.882772,3.606882,1.2240429,0.4508816,0.96298563,1.4996697,1.2607214,0.5926724
0.5,202,-495.298,71.72829,54.357353,34.157684,17.334349,5.984317,-0.49621084,-3.0790622,-2.6226325,-0.5122793,1.5433906,2.585077,2.8830397
1.0,205,-506.66888,57.429363,44.271645,28.416922,14.593449,4.9272676,-0.58793455,-2.727083,-2.4406822,-0.9140593,0.6531345,1.6298411,2.204509
1.5,234,-512.65656,49.276028,37.00455,22.4417,10.067078,1.7294846,-2.816877,-4.4704585,-4.1010695,-2.5904558,-0.7714735,0.884277,2.407906
2.0,252,-515.1434,45.96362,34.06173,19.64557,7.177756,-1.1857523,-5.5132103,-6.797965,-5.9842815,-3.8477323,-1.16548,1.4042163,3.6369529
2.5,281,-497.91293,66.948265,48.18054,28.723133,14.115554,4.459017,-1.1507398,-3.4766235,-4.4237733,-5.631359,-6.3443418,-4.908904,-1.5519377
3.0,307,-496.8966,70.16954,54.19652,35.017242,18.923847,8.853644,3.9807565,1.6056788,-0.46237403,-2.6286166,-3.8536544,-3.0137346,-0.096778326
3.5,329,-507.28534,57.868446,47.539703,33.870224,20.447357,9.945479,3.4177268,0.35297486,-0.68930095,-1.1666534,-1.7979076,-2.39695,-2.3517683
4.0,372,-511.88373,51.756886,42.37103,29.684502,16.871267,6.540532,0.012478241,-2.8058445,-2.9994042,-1.9357246,-0.64057535,0.44626516,1.3173366
4.5,415,-520.719,39.767128,31.787012,21.120403,10.5731,2.402634,-2.306315,-3.6756525,-2.6115973,-0.24779019,2.4517853,4.8173656,6.411441
5.0,567,-495.35178,66.296,40.619724,20.603395,11.68785,6.961542,1.7089499,-2.3331456,-3.0600898,-1.3790915,0.7606539,2.4721153,3.6995509
5.5,694,-464.9599,103.88865,63.81677,26.93601,7.4383745,0.9674392,-2.6073382,-6.4926834,-7.8421254,-5.183769,-0.715592,2.8215365,4.3812275
6.0,700,-479.54715,87.18685,55.346973,24.280912,5.262622,-3.3133807,-7.548382,-9.673272,-8.531173,-4.184568,0.81297994,3.7520437,3.8296647
6.5,611,-488.3746,76.086525,47.236942,18.756674,1.2059995,-6.5530815,-10.354665,-12.486849,-11.403855,-6.5552874,-0.5726999,3.1427665,3.477034
7.0,609,-494.6113,68.27163,41.61577,14.9879,-1.7193182,-9.181929,-12.657267,-14.40622,-13.0163145,-7.770048,-1.0934297,3.4678142,4.511307
7.5,578,-491.9717,72.347534,45.75277,17.597033,-1.6068616,-10.592089,-13.85873,-14.783307,-13.156815,-8.242685,-1.9783471,2.0492704,2.2924948
8.0,605,-495.93182,68.46601,45.29663,19.039026,-1.0171835,-11.877433,-15.786848,-15.910436,-13.615995,-9.217199,-3.8749585,0.29765227,2.0147507
8.5,563,-491.69608,74.22409,50.03232,21.601692,-1.1836224,-13.874151,-17.714512,-16.408468,-12.965832,-8.919399,-5.22997,-2.8359306,-2.0492563
9.0,617,-493.27603,72.25325,48.66968,20.827291,-1.596262,-14.085394,-17.75041,-16.319813,-12.927045,-9.053649,-5.3289275,-2.3589418,-0.5316517
9.5,603,-493.94205,71.00654,46.521652,17.341423,-6.369867,-19.365877,-22.205482,-18.69536,-12.728769,-6.7755084,-2.0691705,0.8453442,2.0734673
10.0,661,-481.2035,82.80257,48.67113,18.887888,1.0580255,-9.849314,-15.8136425,-14.936425,-9.57407,-4.9628963,-2.8798249,-2.0490193,-1.4368327
10.5,720,-469.1797,100.85923,66.22839,30.946562,7.0763974,-5.10403,-9.414577,-7.983285,-3.0093699,1.3843347,2.1939216,0.5947884,-0.027560456
11.0,710,-482.2614,85.166954,56.951366,27.705652,6.970989,-5.0432706,-10.877758,-10.786557,-5.0950537,2.2822664,6.018601,4.832299,2.7178054
11.5,823,-492.87854,72.347084,48.461643,21.936419,1.6817986,-9.809306,-13.752958,-11.683539,-5.5652294,1.0799756,4.84124,5.479522,5.8052354
12.0,833,-496.2338,67.98631,44.813866,18.609993,-1.8170061,-13.538278,-17.564634,-15.651363,-9.799242,-3.0049942,1.888358,4.484572,6.7099576
12.5,933,-484.1325,77.3949,42.452244,15.027821,-0.20425798,-10.622382,-16.173096,-13.958065,-8.090325,-3.888272,-1.2634884,1.755407,5.5627036
13.0,1011,-460.77567,105.48978,56.906345,14.580454,-5.449042,-9.45171,-7.7557297,-3.7409332,0.87799835,1.9819568,-1.4716796,-4.220645,-1.2736846
13.5,1118,-482.7567,83.27013,51.926132,19.363544,-1.9202653,-9.610933,-7.7900505,-1.7576747,3.896626,6.084791,4.605991,2.226601,2.0289803
14.0,1193,-489.1609,75.5997,47.175797,16.852182,-3.7353318,-11.574872,-9.873804,-3.7270224,1.9913915,4.013931,2.5109453,0.7922336,1.6416292
14.5,1333,-492.68777,70.84234,43.090076,13.489914,-7.1058598,-15.830938,-14.813109,-7.9689007,-0.24929392,4.083857,4.5571647,4.4419684,6.4079375
15.0,1513,-484.7553,75.26794,38.843384,11.168622,-4.701961,-14.6000185,-15.733898,-7.8490353,0.563995,3.82622,4.211595,5.236466,6.7640495
15.5,1600,-441.51395,120.70693,53.349304,7.233836,-8.251438,-13.150381,-13.766579,-7.771865,-2.9192913,-4.387502,-4.272839,1.6524272,5.662443
16.0,1872,-436.45822,126.88565,55.75807,6.538843,-4.190242,-0.5295775,-1.9626848,-6.4168715,-7.391048,-4.3192143,1.3809552,7.11526,8.516965
16.5,2089,-427.11902,129.6223,40.635365,-12.650106,-13.096576,-0.58053994,-1.7745253,-7.4712396,-6.0017877,-1.3200357,1.3894547,3.600833,5.164054
17.0,2252,-396.7031,159.0184,47.003223,-12.7455845,-5.724904,8.57263,0.38205776,-8.725946,-4.3755264,0.3684726,-1.984536,-2.5374477,1.6330632
17.5,2650,-366.65622,183.75414,43.42673,-22.850012,-9.634834,1.4531035,-13.646781,-19.531145,-8.692745,-4.7404966,-9.740676,-8.19433,-1.6426076
18.0,2956,-363.21008,183.52667,35.291367,-31.413588,-12.872559,1.546111,-13.223775,-17.992567,-5.2048664,-1.1985812,-7.847466,-7.155596,0.088232316
18.5,2939,-289.8004,220.8278,0.21807835,-38.771816,4.8323,-1.2627572,-15.265352,-8.11878,-5.2514224,-5.4073033,-3.9649827,-4.7495165,-3.6108952
19.0,2928,-319.60187,200.18779,4.483918,-37.495224,3.4577062,0.1214557,-19.76274,-13.773106,-5.529554,-7.4665413,-7.5697584,-4.093576,-2.394273
19.5,2874,-265.139,183.51178,-35.557102,-11.087637,2.9690087,-10.615062,-12.119666,-7.269717,-10.917285,-3.3486807,-1.3111745,-7.997623,0.8720285
20.0,2777,-185.99107,129.66707,-29.446817,9.344887,-21.544086,3.6120803,-29.606548,4.1962466,-23.843391,-14.2265415,0.98602855,-14.530588,-2.6872625
20.5,2649,-208.57184,100.57638,-18.331602,25.366924,-9.724472,14.660584,-30.65146,15.736206,-10.489645,-13.273784,7.2487907,-13.033308,4.9993224
21.0,2614,-198.42053,162.7706,-45.849148,13.122169,-3.849114,3.9813852,-19.184834,1.1483071,-9.139347,-6.990822,1.9215521,-11.443988,0.5620618
21.5,2638,-224.52452,130.74309,-6.7021008,3.7039242,-8.987857,14.043805,-27.990345,17.81435,-23.37688,-15.054334,5.27787,-8.623041,-1.9781884
22.0,2736,-203.03014,116.064575,-39.33217,20.68899,-5.43509,13.208838,-32.22263,8.712222,-10.2027445,-8.642807,4.296189,-17.307352,0.7962368
22.5,2791,-211.12566,147.56918,-22.176058,8.220788,-9.341216,5.456308,-24.923538,4.031463,-20.160301,-6.525007,-0.29832086,-12.034045,1.2470729
23.0,2803,-206.684,105.13811,-13.8044815,19.446701,-6.717002,20.41397,-23.747484,11.366218,-19.55121,-4.163899,-2.3032186,-6.3333273,-0.7982726
23.5,3040,-193.54338,142.40268,-26.82702,5.908763,-16.480888,17.076113,-27.008661,5.023358,-11.931711,-7.940605,-3.241708,-9.050449,-2.0934086
24.0,2999,-218.542,149.17181,-12.488956,-0.7665297,-8.6504965,5.547514,-27.214497,7.970748,-17.690477,-13.922796,-0.9729476,-5.179587,-0.9780905
24.5,3090,-199.40605,136.33318,-38.849148,9.589652,-11.840283,6.724422,-19.183653,5.4818096,-12.379459,-8.585751,-3.2575755,-2.6423576,-3.5949948
25.0,2952,-189.68114,142.06757,-36.25935,6.9803042,-15.665454,2.617693,-29.217007,0.17070629,-22.227453,-9.274857,-1.474674,-16.3993,2.3816657
25.5,2933,-214.0703,115.80141,-10.828812,22.903107,-5.746472,7.7983875,-21.875977,16.302143,-12.374142,-5.8203883,2.5070596,-8.505405,-0.30414954
26.0,2976,-184.19121,152.43202,-50.54517,17.421185,-1.8183852,3.2796588,-12.3635435,0.6828274,-12.468483,-6.9771914,1.463299,-7.650667,-0.99013305
26.5,2937,-205.45284,140.1884,-12.786976,10.2319355,-4.4801073,10.255366,-20.5766,3.969051,-16.263556,0.30414593,-2.836007,-9.643149,4.175349
27.0,2864,-203.16666,113.01872,-25.874157,28.060331,-1.1876601,15.224848,-29.66017,10.145384,-9.302796,-6.649219,-0.29692423,-10.06812,3.8985932
27.5,3051,-200.53436,161.58163,-36.88036,13.374122,-3.919632,-0.12846424,-16.123632,0.48780307,-15.264893,-6.8415103,0.3004927,-11.30192,1.175928
28.0,3119,-221.85403,108.350044,-15.542907,20.81023,2.0409298,19.55259,-37.032314,20.748276,-14.569016,-6.98651,4.9088717,-14.219129,1.6919804
28.5,3141,-168.23416,113.727356,-19.333351,18.23081,-11.564255,21.817255,-36.658016,14.289528,-11.663933,-4.318188,-3.7997572,-10.239759,3.3996823
29.0,3142,-239.8934,153.35309,-2.3829126,-1.3099699,-6.070596,11.198837,-23.772573,13.233584,-19.794022,-8.399338,3.7068024,-9.669634,-0.3306762
29.5,3125,-242.54819,148.25186,-17.513985,10.896487,0.6747161,9.162395,-20.172455,15.664487,-19.51157,-10.805657,6.2854805,-8.983707,-4.67908
30.0,3016,-180.398,153.7288,-35.479584,17.11017,-11.387041,6.0612745,-17.499706,-0.0888437,-11.171665,-7.0454426,-0.016019179,-11.395479,0.42851973
30.5,3005,-214.76515,118.95524,-17.227764,31.356247,-13.488424,5.438894,-14.658243,8.632099,-16.499775,-0.42077866,3.0782812,-7.7524714,0.556339
31.0,2934,-230.57513,174.34361,-42.76416,10.149537,-0.16172741,-7.769835,-6.2731423,-3.730692,-9.667642,-3.2155876,-3.7978587,-6.54899,-0.013728851
31.5,2965,-278.26974,177.24132,-20.836378,2.450763,0.6605184,-10.926978,-8.509023,-7.9943905,-11.412363,-5.1229033,-4.3938985,-9.743133,-1.8302649
32.0,3055,-318.83386,158.79756,-17.765892,-2.440926,3.305566,-10.013779,-5.320763,-6.1805277,-9.830335,-4.722037,-3.6903758,-6.659473,-0.70924836
32.5,3086,-176.3455,144.8619,-55.832047,15.264087,-12.499553,-1.7379135,-25.033339,0.22406454,-21.756731,-7.767266,-0.94804054,-16.955507,0.7347616
33.0,3334,-218.68918,96.16381,-14.241007,11.494138,-11.891387,18.199757,-42.763977,13.72322,-16.157461,-10.530386,2.020999,-9.1515045,-2.9277048
33.5,3585,-170.20338,113.45166,-40.35875,5.77941,-6.915883,9.068066,-35.384464,6.5319676,-10.313657,-4.587725,-0.6509144,-6.731496,-5.6878996
34.0,3763,-240.23465,151.22513,-19.280872,1.4502734,-3.405275,-2.3465168,-25.41994,-0.6470268,-19.497133,-2.1351805,-1.8718985,-11.057395,0.74878633
34.5,3419,-224.1464,103.59028,-13.783964,13.235733,-9.0319395,7.91156,-38.85402,19.21879,-17.656641,-4.8439655,-1.8425683,-3.3010027,3.2705522
35.0,3353,-174.32297,125.79211,-36.579666,10.364987,-23.088047,3.3382003,-22.460915,-2.2180076,-21.080963,-6.356084,-9.021571,-9.097228,-3.1568358
35.5,3400,-197.98515,97.699455,-29.777763,28.262697,-28.409935,1.446156,-12.387891,3.8463323,-19.894905,-5.954681,-0.67869955,-9.41385,2.2794912
36.0,3409,-217.85283,154.85371,-52.161316,17.928858,-11.289969,-8.473327,-6.14463,-6.9722753,-12.0426235,-3.0570495,-4.3285007,-10.797294,0.33982462
36.5,3227,-257.33722,169.496,-31.65227,8.985837,-10.050661,-12.335542,-3.16834,-11.10727,-13.7458725,-1.2329085,-6.909418,-9.8506565,-0.11966199
37.0,3086,-271.48825,128.57616,-23.203655,13.325035,-14.720933,-3.3298273,-9.003378,-6.0117364,-14.445635,-2.234297,-5.697088,-9.366016,2.185363
37.5,3143,-180.85838,122.93017,-40.667793,12.094707,-24.013212,-2.6055098,-20.705366,-2.2011,-22.99099,-3.2102969,-8.441878,-8.863725,-1.9187949
38.0,3300,-187.02432,102.91862,-24.240438,20.877266,-42.64803,3.7603028,-8.445182,0.61586183,-20.021612,-4.796196,-4.106473,-8.01445,-2.1934097
38.5,3441,-209.91113,154.62648,-55.14031,14.73454,-14.603095,-7.5209384,-9.964545,-11.046364,-12.116873,-2.310619,-3.3575656,-12.869832,-1.2808803
39.0,3203,-240.85004,170.82497,-36.38809,8.638469,-16.913465,-10.18156,-5.6088867,-14.484372,-12.975982,-1.48761,-8.925285,-9.306901,2.5449772
39.5,3387,-271.26205,175.81,-23.382345,5.9744496,-10.566954,-10.880212,1.5801494,-14.643633,-10.251893,-0.6121933,-9.020721,-7.463545,2.3142548
40.0,3377,-182.78728,143.59027,-53.195744,19.6952,-9.293923,-7.327587,-25.04256,0.5359191,-23.433525,-7.0848217,0.38061368,-19.41286,-3.7385552
40.5,3506,-160.6751,94.89079,-4.476512,31.521297,-22.903101,22.86082,-27.793049,13.05708,-7.690091,-10.540397,0.26671126,-7.943952,1.3245364
41.0,3271,-151.99692,136.10474,-37.095776,42.04928,1.8604722,16.794285,-15.7133,14.2087,-5.2172084,-0.95758456,10.956745,-6.5879774,2.1468108
41.5,3349,-189.63757,168.1895,-19.087591,21.147896,-0.59408134,4.9692173,-1.4468714,10.09058,-9.536221,-1.1505272,3.2261817,-1.259888,5.1872196
42.0,3038,-161.94733,120.58515,-23.153479,37.943356,1.8785697,20.619036,-18.719286,18.023138,-4.1290436,0.017232945,6.5183644,-5.567121,1.247681
42.5,3127,-149.09587,144.37762,-53.34947,49.602036,-3.3729212,9.053477,1.1965611,5.001485,-5.2515087,1.1526273,7.911081,-3.2227268,-0.43919072
43.0,2986,-171.10628,124.53434,-5.4296536,42.51793,-8.650336,26.20265,-13.447536,14.285816,-8.506605,1.3577881,5.31601,-5.84482,1.7468257
43.5,3102,-182.36827,145.91522,-7.9351153,31.450916,-6.43801,16.676268,-7.4404054,11.038069,-14.282421,1.4434016,3.2809992,-0.47175768,1.644047
44.0,2948,-159.41931,133.85771,-3.5097702,37.449528,-18.253984,17.231369,-15.437323,7.9459195,-11.494756,2.3563428,-3.2153761,-3.9680338,7.81488
44.5,3073,-187.89264,145.41109,-14.081493,29.401634,-3.638031,11.743212,-10.838608,16.726608,-10.370635,-4.85697,2.8745446,2.0575073,2.3225436
45.0,3235,-150.66101,138.32422,-47.770935,55.20001,1.522499,10.538295,-2.7026613,7.0194397,-6.9471436,1.2581553,0.7667789,-1.393774,-2.1432374
