Second,Count,Spectral Centroid
0.0,561,11987.283177526991
0.5,1164,6113.0676403020325
1.0,1020,4196.959509891743
1.5,991,4746.668667499093
2.0,1027,4423.294583331453
2.5,1024,2240.971561246133
3.0,922,2422.7561415555
3.5,1089,2897.125394966485
4.0,1120,4681.996122417536
4.5,1115,4800.238047873415
5.0,1052,3732.3447493692743
5.5,969,2925.691767699978
6.0,1062,3124.4273719271728
6.5,1197,2876.395482891692
7.0,1361,2697.5047525048662
7.5,1535,2799.3234073795084
8.0,1794,3100.9961532785733
8.5,2075,3158.5484481015674
9.0,2269,2606.631653518836
9.5,2537,2123.4467724693263
10.0,2828,4837.960194930883
10.5,3076,4089.232879423395
11.0,3394,2867.924758147737
11.5,3779,3335.4530550482023
12.0,3987,3245.518098829442
12.5,4324,3886.633841192946
13.0,4403,2569.864811252802
13.5,4610,2982.155112666616
14.0,4783,2298.153490440663
14.5,4954,3237.6909893453785
15.0,5132,3315.942015178453
15.5,5009,3363.1202055425497
16.0,5161,1892.5533550444109
16.5,5356,4681.000545538554
17.0,5329,3157.943249894679
17.5,5173,3347.7870757647074
18.0,5255,2626.125828053181
18.5,5186,3353.4688448593174
19.0,5112,3394.7021564626148
19.5,5057,3450.9206228289527
20.0,5043,2997.3038896387407
20.5,4974,4477.660238266107
21.0,4905,3860.2867784827954
21.5,4874,3413.323990817298
22.0,4708,4558.1378281778325
22.5,4677,2899.7678538700525
23.0,4597,4428.335540341709
23.5,4545,4719.444052556539
24.0,4359,3892.567881206943
24.5,4398,3286.407262309433
25.0,4330,4217.742854128833
25.5,4198,3021.74476886566
26.0,4123,3654.748121604816
26.5,4122,2929.641070737021
27.0,4142,3517.950028522539
27.5,4204,3784.076870017864
28.0,4159,3387.0285013690022
28.5,3931,3112.8963485768472
29.0,3961,4161.270286413218
29.5,3968,3358.1833888206133
30.0,3871,3597.856679441464
30.5,3859,3539.845846358146
31.0,3741,5728.879991562192
31.5,3896,3729.413718653923
32.0,3679,3197.2797631472363
32.5,3801,3490.228169371785
33.0,3668,4512.124647160689
33.5,3900,3886.796583055372
34.0,3844,3512.608775998884
34.5,3891,2406.313216695392
35.0,3904,1124.6072441433778
35.5,4262,1724.5283188099263
36.0,5368,4243.782824178849
36.5,4867,4709.507292620753
37.0,3882,4224.236668229727
37.5,3728,4584.656844625641
38.0,3222,3778.991957535512
38.5,2917,4016.757300582519
39.0,2698,3615.2250869548025
39.5,3242,4221.329617871618
40.0,3567,3602.7416765620987
40.5,3506,3866.27253725763
41.0,3345,3451.493869517029
41.5,3238,3531.757023107285
42.0,3537,4102.269545044
42.5,3588,3273.5303747433227
43.0,3526,4121.704366224221
43.5,3379,3139.5089109263167
44.0,3701,4424.889187125029
44.5,3617,4913.737892496585
45.0,3293,4575.722842063044
45.5,3875,3589.70063533402
46.0,3844,5214.632623928796
46.5,3411,3835.021661419644
47.0,3960,4017.988447300272
47.5,4406,3347.876123455266
48.0,4625,3797.998419005779
48.5,4690,3734.736965137696
49.0,5135,3777.273866327001
49.5,4945,3142.08850938839
50.0,4935,3677.0561930844674
50.5,5014,3665.411038507747
51.0,5109,3957.207368207016
51.5,5000,5678.678264449587
52.0,4818,3802.57632928113
52.5,4247,4891.402578057647
53.0,3628,4946.011044017146
53.5,4166,4567.300123936797
54.0,3745,3871.85011920183
54.5,3269,4382.797109696134
55.0,2886,3625.248724487378
55.5,3004,3957.899877623751
56.0,3075,3486.211938004328
56.5,2876,4144.223502586555
57.0,2843,3466.869637336219
57.5,2907,4155.715176614887
58.0,3206,3242.612967230029
58.5,3352,3988.875095649911
59.0,3019,3323.347107202103
59.5,3009,3949.30293829046
60.0,3442,3375.7377202661755
60.5,3131,3315.990546726187
61.0,3208,4498.752640646832
61.5,3098,4513.817493897059
62.0,3671,4314.785333204909
62.5,3195,3984.9590060762007
63.0,3690,4570.968597380881
63.5,3604,3889.778886939642
