Tempo (BPM),Beat Times (s)
[114.84375],0.8707482993197279
[114.84375],1.3931972789115645
[114.84375],1.9156462585034013
[114.84375],2.449705215419501
[114.84375],2.9605442176870747
[114.84375],3.5062131519274375
[114.84375],4.005442176870749
[114.84375],4.551111111111111
[114.84375],5.050340136054421
[114.84375],5.572789115646258
[114.84375],6.0836281179138325
[114.84375],6.617687074829932
[114.84375],7.1401360544217685
[114.84375],7.6741950113378685
[114.84375],8.185034013605442
[114.84375],8.719092970521542
[114.84375],9.218321995464853
[114.84375],9.787210884353742
[114.84375],10.263219954648527
[114.84375],10.797278911564625
[114.84375],11.3081179138322
[114.84375],11.842176870748299
[114.84375],12.364625850340136
[114.84375],12.898684807256236
[114.84375],13.397913832199546
[114.84375],13.955192743764172
[114.84375],14.44281179138322
[114.84375],14.97687074829932
[114.84375],15.487709750566893
[114.84375],16.033378684807257
[114.84375],16.532607709750568
[114.84375],17.04344671201814
[114.84375],17.565895691609978
[114.84375],18.088344671201813
[114.84375],18.622403628117915
[114.84375],19.13324263038549
[114.84375],19.655691609977325
[114.84375],20.166530612244898
[114.84375],20.700589569160996
[114.84375],21.223038548752836
[114.84375],21.73387755102041
[114.84375],22.256326530612245
[114.84375],22.790385487528344
[114.84375],23.301224489795917
[114.84375],23.823673469387757
[114.84375],24.346122448979592
[114.84375],24.86857142857143
[114.84375],25.391020408163264
[114.84375],25.913469387755104
[114.84375],26.424308390022677
[114.84375],26.969977324263038
[114.84375],27.48081632653061
[114.84375],28.003265306122447
[114.84375],28.514104308390024
[114.84375],29.048163265306123
[114.84375],29.57061224489796
[114.84375],30.093061224489794
[114.84375],30.603900226757368
[114.84375],31.13795918367347
[114.84375],31.62557823129252
[114.84375],32.17124716553288
[114.84375],32.682086167800456
[114.84375],33.216145124716554
[114.84375],33.75020408163265
[114.84375],34.261043083900226
[114.84375],34.78349206349206
[114.84375],35.3059410430839
[114.84375],35.828390022675734
[114.84375],36.35083900226758
[114.84375],36.87328798185941
[114.84375],37.39573696145125
[114.84375],37.918185941043085
[114.84375],38.42902494331066
[114.84375],38.951473922902494
[114.84375],39.48553287981859
[114.84375],39.996371882086166
[114.84375],40.518820861678
[114.84375],41.041269841269845
[114.84375],41.57532879818594
[114.84375],42.08616780045352
[114.84375],42.60861678004535
[114.84375],43.13106575963719
[114.84375],43.653514739229024
[114.84375],44.17596371882086
[114.84375],44.698412698412696
[114.84375],45.20925170068027
[114.84375],45.743310657596375
[114.84375],46.26575963718821
[114.84375],46.776598639455784
[114.84375],47.29904761904762
[114.84375],47.83310657596372
[114.84375],48.355555555555554
[114.84375],48.86639455782313
[114.84375],49.388843537414964
[114.84375],49.9112925170068
[114.84375],50.445351473922905
[114.84375],50.96780045351474
[114.84375],51.49024943310658
[114.84375],52.00108843537415
[114.84375],52.523537414965986
[114.84375],53.057596371882084
[114.84375],53.58004535147392
[114.84375],54.090884353741494
[114.84375],54.60172335600907
[114.84375],55.13578231292517
[114.84375],55.65823129251701
[114.84375],56.180680272108845
[114.84375],56.70312925170068
[114.84375],57.213968253968254
[114.84375],57.73641723356009
[114.84375],58.18920634920635
[114.84375],58.641995464852606
[114.84375],59.05995464852608
[114.84375],59.570793650793654
[114.84375],60.08163265306123
[114.84375],60.615691609977326
[114.84375],61.1265306122449
[114.84375],61.648979591836735
[114.84375],62.17142857142857
[114.84375],62.70548752834467
[114.84375],63.227936507936505
[114.84375],63.75038548752835
[114.84375],64.26122448979592
[114.84375],64.78367346938775
[114.84375],65.35256235827664
[114.84375],65.97950113378685
[114.84375],66.59482993197278
[114.84375],67.14049886621315
[114.84375],67.65133786848072
[114.84375],68.17378684807257
[114.84375],68.70784580498866
[114.84375],69.21868480725624
[114.84375],69.74113378684807
[114.84375],70.26358276643991
[114.84375],70.78603174603174
[114.84375],71.30848072562358
[114.84375],71.83092970521542
[114.84375],72.341768707483
[114.84375],72.8758276643991
[114.84375],73.38666666666667
[114.84375],73.92072562358277
[114.84375],74.43156462585034
[114.84375],74.96562358276644
[114.84375],75.48807256235828
[114.84375],75.99891156462586
[114.84375],76.52136054421769
[114.84375],77.05541950113378
[114.84375],77.57786848072563
[114.84375],78.0887074829932
[114.84375],78.61115646258503
[114.84375],79.13360544217687
[114.84375],79.6560544217687
