Tempo (BPM),Beat Times (s)
[156.60511364],0.313469387755102
[156.60511364],0.6733786848072563
[156.60511364],1.0332879818594105
[156.60511364],1.4280272108843537
[156.60511364],1.799546485260771
[156.60511364],2.159455782312925
[156.60511364],2.5541950113378684
[156.60511364],2.9605442176870747
[156.60511364],3.332063492063492
[156.60511364],3.7035827664399092
[156.60511364],4.063492063492063
[156.60511364],4.446621315192743
[156.60511364],4.829750566893424
[156.60511364],5.2128798185941045
[156.60511364],5.596009070294785
[156.60511364],6.002358276643991
[156.60511364],6.397097505668934
[156.60511364],6.757006802721088
[156.60511364],7.1053061224489795
[156.60511364],7.500045351473923
[156.60511364],7.883174603174603
[156.60511364],8.231473922902495
[156.60511364],8.614603174603175
[156.60511364],8.974512471655329
[156.60511364],9.369251700680271
[156.60511364],9.752380952380953
[156.60511364],10.135510204081633
[156.60511364],10.518639455782314
[156.60511364],10.901768707482994
[156.60511364],11.284897959183674
[156.60511364],11.668027210884354
[156.60511364],12.062766439909296
[156.60511364],12.45750566893424
[156.60511364],12.817414965986394
[156.60511364],13.177324263038548
[156.60511364],13.572063492063492
[156.60511364],13.94358276643991
[156.60511364],14.315102040816326
[156.60511364],14.698231292517006
[156.60511364],15.069750566893424
[156.60511364],15.429659863945579
[156.60511364],15.777959183673469
[156.60511364],16.219138321995466
[156.60511364],16.602267573696146
[156.60511364],16.985396825396826
[156.60511364],17.368526077097506
[156.60511364],17.740045351473924
[156.60511364],18.123174603174604
[156.60511364],18.494693877551022
[156.60511364],18.877823129251702
[156.60511364],19.260952380952382
[156.60511364],19.690521541950112
[156.60511364],20.085260770975058
[156.60511364],20.456780045351476
[156.60511364],20.78185941043084
[156.60511364],21.153378684807254
[156.60511364],21.536507936507938
[156.60511364],21.908027210884352
[156.60511364],22.291156462585032
[156.60511364],22.674285714285713
[156.60511364],23.034195011337868
[156.60511364],23.38249433106576
[156.60511364],23.777233560090703
[156.60511364],24.14875283446712
[156.60511364],24.57832199546485
[156.60511364],24.94984126984127
[156.60511364],25.33297052154195
[156.60511364],25.71609977324263
[156.60511364],26.09922902494331
[156.60511364],26.470748299319727
[156.60511364],26.842267573696144
[156.60511364],27.225396825396825
[156.60511364],27.608526077097505
[156.60511364],27.991655328798185
[156.60511364],28.363174603174603
[156.60511364],28.688253968253967
[156.60511364],29.094603174603176
[156.60511364],29.50095238095238
[156.60511364],29.88408163265306
[156.60511364],30.232380952380954
[156.60511364],30.65034013605442
[156.60511364],31.0334693877551
[156.60511364],31.40498866213152
[156.60511364],31.7881179138322
[156.60511364],32.17124716553288
[156.60511364],32.5427664399093
[156.60511364],32.92589569160998
[156.60511364],33.30902494331066
[156.60511364],33.69215419501134
[156.60511364],34.06367346938776
[156.60511364],34.44680272108844
[156.60511364],34.82993197278912
[156.60511364],35.20145124716553
[156.60511364],35.54975056689342
[156.60511364],35.90965986394558
[156.60511364],36.30439909297052
[156.60511364],36.72235827664399
[156.60511364],37.10548752834467
[156.60511364],37.477006802721085
[156.60511364],37.79047619047619
[156.60511364],38.15038548752835
[156.60511364],38.521904761904764
[156.60511364],38.98630385487528
[156.60511364],39.381043083900224
[156.60511364],39.764172335600904
[156.60511364],40.147301587301584
[156.60511364],40.518820861678
[156.60511364],40.90195011337868
[156.60511364],41.28507936507936
[156.60511364],41.66820861678004
[156.60511364],42.03972789115646
[156.60511364],42.41124716553288
[156.60511364],42.79437641723356
[156.60511364],43.17750566893424
[156.60511364],43.56063492063492
[156.60511364],43.9437641723356
[156.60511364],44.32689342403628
[156.60511364],44.698412698412696
[156.60511364],45.069931972789114
[156.60511364],45.453061224489794
[156.60511364],45.836190476190474
[156.60511364],46.18448979591837
[156.60511364],46.56761904761905
[156.60511364],46.97396825396825
[156.60511364],47.35709750566893
[156.60511364],47.6821768707483
[156.60511364],48.11174603174603
[156.60511364],48.49487528344671
[156.60511364],48.83156462585034
[156.60511364],49.21469387755102
[156.60511364],49.5978231292517
[156.60511364],50.004172335600906
[156.60511364],50.37569160997732
[156.60511364],50.770430839002266
[156.60511364],51.153560090702946
[156.60511364],51.5134693877551
[156.60511364],51.908208616780044
[156.60511364],52.291337868480724
[156.60511364],52.674467120181404
[156.60511364],53.03437641723356
[156.60511364],53.440725623582765
[156.60511364],53.81224489795918
[156.60511364],54.19537414965986
[156.60511364],54.57850340136054
[156.60511364],54.9384126984127
[156.60511364],55.33315192743764
[156.60511364],55.71628117913832
[156.60511364],56.06458049886621
[156.60511364],56.42448979591837
[156.60511364],56.830839002267574
[156.60511364],57.225578231292516
[156.60511364],57.608707482993196
[156.60511364],57.99183673469388
[156.60511364],58.37496598639456
[156.60511364],58.746485260770974
[156.60511364],59.129614512471655
[156.60511364],59.512743764172335
[156.60511364],59.88426303854875
[156.60511364],60.26739229024943
[156.60511364],60.65052154195011
[156.60511364],61.01043083900227
[156.60511364],61.40517006802721
[156.60511364],61.78829931972789
[156.60511364],62.136598639455784
[156.60511364],62.49650793650794
[156.60511364],62.92607709750567
[156.60511364],63.30920634920635
[156.60511364],63.69233560090703
[156.60511364],64.06385487528345
[156.60511364],64.43537414965986
[156.60511364],64.81850340136054
[156.60511364],65.19002267573696
[156.60511364],65.5847619047619
[156.60511364],65.96789115646258
[156.60511364],66.339410430839
[156.60511364],66.69931972789115
[156.60511364],67.04761904761905
[156.60511364],67.45396825396826
[156.60511364],67.86031746031746
[156.60511364],68.24344671201814
[156.60511364],68.62657596371882
[156.60511364],68.99809523809523
[156.60511364],69.38122448979591
[156.60511364],69.76435374149659
[156.60511364],70.14748299319727
[156.60511364],70.5190022675737
[156.60511364],70.90213151927438
[156.60511364],71.28526077097506
[156.60511364],71.65678004535147
[156.60511364],72.03990929705215
[156.60511364],72.42303854875283
[156.60511364],72.79455782312925
[156.60511364],73.17768707482993
[156.60511364],73.56081632653061
[156.60511364],73.9439455782313
[156.60511364],74.3154648526077
[156.60511364],74.69859410430838
[156.60511364],75.08172335600906
[156.60511364],75.45324263038549
[156.60511364],75.84798185941042
[156.60511364],76.21950113378685
[156.60511364],76.60263038548753
[156.60511364],76.97414965986394
[156.60511364],77.35727891156462
[156.60511364],77.72879818594105
[156.60511364],78.0887074829932
[156.60511364],78.4950566893424
[156.60511364],78.86657596371882
[156.60511364],79.26131519274377
[156.60511364],79.64444444444445
[156.60511364],80.01596371882086
[156.60511364],80.39909297052154
[156.60511364],80.78222222222222
[156.60511364],81.15374149659864
[156.60511364],81.53687074829932
[156.60511364],81.92
[156.60511364],82.29151927437641
[156.60511364],82.67464852607709
[156.60511364],83.05777777777777
[156.60511364],83.44090702947845
[156.60511364],83.82403628117913
[156.60511364],84.19555555555556
[156.60511364],84.57868480725624
[156.60511364],84.95020408163265
[156.60511364],85.3101133786848
[156.60511364],85.70485260770975
[156.60511364],86.08798185941043
[156.60511364],86.47111111111111
[156.60511364],86.84263038548752
[156.60511364],87.21414965986395
[156.60511364],87.60888888888888
[156.60511364],87.99201814058956
[156.60511364],88.37514739229024
[156.60511364],88.74666666666667
[156.60511364],89.12979591836735
