Tempo (BPM),Beat Times (s)
[161.49902344],18.15800453514739
[161.49902344],18.5643537414966
[161.49902344],18.970702947845805
[161.49902344],19.353832199546485
[161.49902344],19.702131519274378
[161.49902344],20.09687074829932
[161.49902344],20.468390022675738
[161.49902344],20.816689342403627
[161.49902344],21.199818594104308
[161.49902344],21.571337868480725
[161.49902344],21.954467120181405
[161.49902344],22.325986394557823
[161.49902344],22.709115646258503
[161.49902344],23.08063492063492
[161.49902344],23.45215419501134
[161.49902344],23.823673469387757
[161.49902344],24.206802721088437
[161.49902344],24.589931972789117
[161.49902344],24.973061224489797
[161.49902344],25.356190476190477
[161.49902344],25.762539682539682
[161.49902344],26.16888888888889
[161.49902344],26.575238095238095
[161.49902344],26.9815873015873
[161.49902344],27.30666666666667
[161.49902344],27.654965986394558
[161.49902344],27.980045351473922
[161.49902344],28.31673469387755
[161.49902344],28.69986394557823
[161.49902344],29.094603174603176
[161.49902344],29.466122448979593
[161.49902344],29.80281179138322
[161.49902344],30.139501133786847
[161.49902344],30.53424036281179
[161.49902344],30.928979591836736
[161.49902344],31.30049886621315
[161.49902344],31.683628117913834
[161.49902344],32.1015873015873
[161.49902344],32.47310657596372
[161.49902344],32.82140589569161
[161.49902344],33.1697052154195
[161.49902344],33.52961451247165
[161.49902344],33.88952380952381
[161.49902344],34.249433106575964
[161.49902344],34.644172335600906
[161.49902344],35.05052154195011
[161.49902344],35.49170068027211
[161.49902344],35.851609977324266
[161.49902344],36.211519274376414
[161.49902344],36.57142857142857
[161.49902344],36.931337868480725
[161.49902344],37.27963718820862
[161.49902344],37.6627664399093
[161.49902344],38.04589569160998
[161.49902344],38.42902494331066
[161.49902344],38.800544217687076
[161.49902344],39.172063492063494
[161.49902344],39.5784126984127
[161.49902344],39.92671201814059
[161.49902344],40.321451247165534
[161.49902344],40.704580498866214
[161.49902344],41.06448979591837
[161.49902344],41.43600907029479
[161.49902344],41.81913832199547
[161.49902344],42.190657596371885
[161.49902344],42.58539682539683
[161.49902344],42.93369614512471
[161.49902344],43.316825396825394
[161.49902344],43.699954648526074
[161.49902344],44.05986394557823
[161.49902344],44.43138321995465
[161.49902344],44.82612244897959
[161.49902344],45.186031746031745
[161.49902344],45.58077097505669
[161.49902344],45.92907029478458
[161.49902344],46.32380952380952
[161.49902344],46.69532879818594
[161.49902344],47.055238095238096
[161.49902344],47.42675736961451
[161.49902344],47.821496598639456
[161.49902344],48.193015873015874
[161.49902344],48.576145124716554
[161.49902344],48.93605442176871
[161.49902344],49.31918367346939
[161.49902344],49.70231292517007
[161.49902344],50.062222222222225
[161.49902344],50.42213151927437
[161.49902344],50.828480725623585
[161.49902344],51.2
[161.49902344],51.58312925170068
[161.49902344],51.93142857142857
[161.49902344],52.31455782312925
[161.49902344],52.69768707482993
[161.49902344],53.057596371882084
[161.49902344],53.4291156462585
[161.49902344],53.823854875283445
[161.49902344],54.19537414965986
[161.49902344],54.590113378684805
[161.49902344],54.926802721088436
[161.49902344],55.32154195011338
[161.49902344],55.693061224489796
[161.49902344],56.05297052154195
