Tempo (BPM),Beat Times (s)
[120.18531977],0.34829931972789113
[120.18531977],0.8475283446712019
[120.18531977],1.3467573696145125
[120.18531977],1.8343764172335602
[120.18531977],2.345215419501134
[120.18531977],2.8444444444444446
[120.18531977],3.3436734693877552
[120.18531977],3.842902494331066
[120.18531977],4.342131519274377
[120.18531977],4.841360544217687
[120.18531977],5.340589569160998
[120.18531977],5.839818594104308
[120.18531977],6.339047619047619
[120.18531977],6.849886621315193
[120.18531977],7.349115646258503
[120.18531977],7.836734693877551
[120.18531977],8.347573696145124
[120.18531977],8.846802721088435
[120.18531977],9.346031746031747
[120.18531977],9.845260770975056
[120.18531977],10.344489795918367
[120.18531977],10.843718820861678
[120.18531977],11.366167800453514
[120.18531977],11.865396825396825
[120.18531977],12.34140589569161
[120.18531977],12.852244897959183
[120.18531977],13.351473922902494
[120.18531977],13.839092970521541
[120.18531977],14.373151927437641
[120.18531977],14.837551020408164
[120.18531977],15.348390022675737
[120.18531977],15.847619047619048
[120.18531977],16.34684807256236
[120.18531977],16.84607709750567
[120.18531977],17.345306122448978
[120.18531977],17.84453514739229
[120.18531977],18.3437641723356
[120.18531977],18.84299319727891
[120.18531977],19.342222222222222
[120.18531977],19.841451247165534
[120.18531977],20.36390022675737
[120.18531977],20.851519274376418
[120.18531977],21.339138321995463
[120.18531977],21.849977324263037
[120.18531977],22.337596371882086
[120.18531977],22.836825396825397
[120.18531977],23.359274376417233
[120.18531977],23.84689342403628
[120.18531977],24.288072562358277
[120.18531977],24.787301587301588
[120.18531977],25.2865306122449
[120.18531977],25.843809523809522
[120.18531977],26.308208616780046
[120.18531977],26.772607709750567
[120.18531977],27.341496598639456
[120.18531977],27.85233560090703
[120.18531977],28.35156462585034
[120.18531977],28.83918367346939
[120.18531977],29.350022675736962
[120.18531977],29.814421768707483
[120.18531977],30.34848072562358
[120.18531977],30.847709750566892
[120.18531977],31.346938775510203
[120.18531977],31.846167800453514
[120.18531977],32.35700680272109
[120.18531977],32.84462585034014
[120.18531977],33.34385487528345
[120.18531977],33.85469387755102
[120.18531977],34.35392290249433
[120.18531977],34.84154195011338
[120.18531977],35.37560090702948
[120.18531977],35.87482993197279
[120.18531977],36.35083900226758
[120.18531977],36.85006802721088
[120.18531977],37.34929705215419
[120.18531977],37.8485260770975
[120.18531977],38.347755102040814
[120.18531977],38.846984126984125
[120.18531977],39.34621315192744
[120.18531977],39.84544217687075
[120.18531977],40.34467120181406
[120.18531977],40.84390022675737
[120.18531977],41.34312925170068
[120.18531977],41.84235827664399
[120.18531977],42.3415873015873
[120.18531977],42.840816326530614
[120.18531977],43.340045351473925
[120.18531977],43.8508843537415
[120.18531977],44.35011337868481
[120.18531977],44.84934240362812
[120.18531977],45.348571428571425
[120.18531977],45.836190476190474
[120.18531977],46.335419501133785
[120.18531977],46.834648526077096
[120.18531977],47.322267573696145
[120.18531977],47.84471655328798
[120.18531977],48.34394557823129
[120.18531977],48.8431746031746
[120.18531977],49.35401360544218
[120.18531977],49.841632653061225
[120.18531977],50.3524716553288
[120.18531977],50.85170068027211
[120.18531977],51.33931972789116
[120.18531977],51.85015873015873
[120.18531977],52.34938775510204
[120.18531977],52.83700680272109
[120.18531977],53.324625850340134
[120.18531977],53.84707482993197
[120.18531977],54.34630385487528
[120.18531977],54.84553287981859
[120.18531977],55.3447619047619
[120.18531977],55.843990929705214
[120.18531977],56.343219954648525
[120.18531977],56.830839002267574
[120.18531977],57.34167800453515
[120.18531977],57.84090702947846
[120.18531977],58.316916099773245
[120.18531977],58.83936507936508
[120.18531977],59.350204081632654
[120.18531977],59.849433106575965
[120.18531977],60.348662131519276
[120.18531977],60.85950113378685
[120.18531977],61.35873015873016
[120.18531977],61.84634920634921
[120.18531977],62.35718820861678
[120.18531977],62.85641723356009
[120.18531977],63.3556462585034
[120.18531977],63.91292517006803
[120.18531977],64.36571428571429
[120.18531977],64.84172335600907
[120.18531977],65.35256235827664
[120.18531977],65.85179138321996
[120.18531977],66.35102040816327
[120.18531977],66.85024943310657
[120.18531977],67.34947845804989
[120.18531977],67.83709750566894
[120.18531977],68.34793650793651
[120.18531977],68.84716553287981
[120.18531977],69.34639455782313
[120.18531977],69.79918367346939
[120.18531977],70.34485260770975
[120.18531977],70.84408163265306
[120.18531977],71.34331065759638
[120.18531977],71.84253968253968
[120.18531977],72.341768707483
[120.18531977],72.8409977324263
[120.18531977],73.34022675736962
[120.18531977],73.8510657596372
[120.18531977],74.32707482993197
[120.18531977],74.83791383219955
[120.18531977],75.34875283446712
[120.18531977],75.84798185941042
[120.18531977],76.34721088435374
[120.18531977],76.84643990929705
[120.18531977],77.34566893424036
[120.18531977],77.83328798185941
[120.18531977],78.34412698412699
[120.18531977],78.86657596371882
[120.18531977],79.35419501133786
[120.18531977],79.84181405895691
[120.18531977],80.3178231292517
[120.18531977],80.81705215419501
[120.18531977],81.32789115646258
[120.18531977],81.83873015873016
[120.18531977],82.34956916099773
[120.18531977],82.83718820861678
[120.18531977],83.34802721088435
[120.18531977],83.84725623582766
[120.18531977],84.34648526077098
[120.18531977],84.84571428571428
[120.18531977],85.36816326530612
[120.18531977],85.86739229024943
[120.18531977],86.378231292517
[120.18531977],86.87746031746032
[120.18531977],87.37668934240362
[120.18531977],87.8875283446712
[120.18531977],88.35192743764172
[120.18531977],88.80471655328799
[120.18531977],89.35038548752834
[120.18531977],89.86122448979592
[120.18531977],90.37206349206349
[120.18531977],90.87129251700681
[120.18531977],91.37052154195011
[120.18531977],91.86975056689343
[120.18531977],92.36897959183673
[120.18531977],92.85659863945578
[120.18531977],93.37904761904763
[120.18531977],93.8550566893424
[120.18531977],94.31945578231293
[120.18531977],94.87673469387755
[120.18531977],95.37596371882086
[120.18531977],95.87519274376417
[120.18531977],96.35120181405895
[120.18531977],96.8736507936508
[120.18531977],97.34965986394558
[120.18531977],97.83727891156462
[120.18531977],98.3481179138322
[120.18531977],98.84734693877552
[120.18531977],99.34657596371882
[120.18531977],99.83419501133787
[120.18531977],100.34503401360544
[120.18531977],100.84426303854875
[120.18531977],101.34349206349206
[120.18531977],101.84272108843537
[120.18531977],102.34195011337869
[120.18531977],102.85278911564626
[120.18531977],103.35201814058956
[120.18531977],103.83963718820861
[120.18531977],104.36208616780046
[120.18531977],104.8497052154195
[120.18531977],105.34893424036281
[120.18531977],105.8829931972789
