Tempo (BPM),Beat Times (s)
[117.45383523],0.2438095238095238
[117.45383523],0.7546485260770975
[117.45383523],1.2654875283446712
[117.45383523],1.7763265306122449
[117.45383523],2.2871655328798184
[117.45383523],2.7980045351473923
[117.45383523],3.308843537414966
[117.45383523],3.81968253968254
[117.45383523],4.330521541950113
[117.45383523],4.829750566893424
[117.45383523],5.328979591836735
[117.45383523],5.839818594104308
[117.45383523],6.350657596371882
[117.45383523],6.861496598639456
[117.45383523],7.3723356009070296
[117.45383523],7.87156462585034
[117.45383523],8.394013605442177
[117.45383523],8.904852607709751
[117.45383523],9.404081632653062
[117.45383523],9.914920634920636
[117.45383523],10.425759637188209
[117.45383523],10.936598639455783
[117.45383523],11.435827664399094
[117.45383523],11.946666666666667
[117.45383523],12.469115646258503
[117.45383523],12.979954648526077
[117.45383523],13.479183673469388
[117.45383523],13.978412698412699
[117.45383523],14.489251700680272
[117.45383523],15.000090702947846
[117.45383523],15.51092970521542
[117.45383523],15.998548752834466
[117.45383523],16.532607709750568
[117.45383523],17.020226757369613
[117.45383523],17.507845804988662
[117.45383523],18.04190476190476
[117.45383523],18.552743764172334
[117.45383523],19.051972789115645
[117.45383523],19.574421768707484
[117.45383523],20.06204081632653
[117.45383523],20.538049886621316
[117.45383523],21.060498866213152
[117.45383523],21.582947845804988
[117.45383523],22.11700680272109
[117.45383523],22.6162358276644
[117.45383523],23.127074829931974
[117.45383523],23.64952380952381
[117.45383523],24.14875283446712
[117.45383523],24.636371882086166
[117.45383523],25.158820861678006
[117.45383523],25.658049886621317
[117.45383523],26.180498866213153
[117.45383523],26.679727891156464
[117.45383523],27.190566893424037
[117.45383523],27.713015873015873
[117.45383523],28.212244897959184
[117.45383523],28.711473922902496
[117.45383523],29.19909297052154
[117.45383523],29.698321995464852
[117.45383523],30.243990929705216
[117.45383523],30.731609977324265
[117.45383523],31.2540589569161
[117.45383523],31.753287981859412
[117.45383523],32.26412698412698
[117.45383523],32.78657596371882
[117.45383523],33.274195011337866
[117.45383523],33.7966439909297
[117.45383523],34.319092970521545
[117.45383523],34.81832199546485
[117.45383523],35.3059410430839
[117.45383523],35.79356009070295
[117.45383523],36.31600907029478
[117.45383523],36.86167800453515
[117.45383523],37.36090702947846
[117.45383523],37.8833560090703
[117.45383523],38.38258503401361
[117.45383523],38.88181405895691
[117.45383523],39.381043083900224
[117.45383523],39.91510204081633
[117.45383523],40.4259410430839
[117.45383523],40.91356009070295
[117.45383523],41.424399092970525
[117.45383523],41.9352380952381
[117.45383523],42.44607709750567
[117.45383523],42.94530612244898
[117.45383523],43.456145124716556
[117.45383523],43.96698412698413
[117.45383523],44.4778231292517
[117.45383523],44.98866213151928
[117.45383523],45.48789115646259
[117.45383523],45.99873015873016
[117.45383523],46.509569160997735
[117.45383523],47.02040816326531
[117.45383523],47.51963718820862
[117.45383523],48.03047619047619
[117.45383523],48.54131519274377
[117.45383523],49.05215419501134
[117.45383523],49.562993197278914
[117.45383523],50.07383219954649
[117.45383523],50.58467120181406
[117.45383523],51.08390022675737
[117.45383523],51.594739229024945
[117.45383523],52.10557823129252
[117.45383523],52.61641723356009
[117.45383523],53.1156462585034
[117.45383523],53.62648526077098
[117.45383523],54.13732426303855
[117.45383523],54.648163265306124
[117.45383523],55.1590022675737
[117.45383523],55.66984126984127
[117.45383523],56.19229024943311
[117.45383523],56.679909297052156
[117.45383523],57.19074829931973
[117.45383523],57.7015873015873
[117.45383523],58.200816326530614
[117.45383523],58.71165532879819
[117.45383523],59.22249433106576
[117.45383523],59.733333333333334
[117.45383523],60.232562358276645
[117.45383523],60.74340136054422
[117.45383523],61.25424036281179
[117.45383523],61.765079365079366
[117.45383523],62.27591836734694
[117.45383523],62.77514739229025
[117.45383523],63.285986394557824
[117.45383523],63.7968253968254
[117.45383523],64.30766439909297
[117.45383523],64.81850340136054
[117.45383523],65.31773242630385
[117.45383523],65.82857142857142
[117.45383523],66.339410430839
[117.45383523],66.85024943310657
[117.45383523],67.34947845804989
[117.45383523],67.86031746031746
[117.45383523],68.37115646258503
