Tempo (BPM),Beat Times (s)
[129.19921875],0.8591383219954648
[129.19921875],1.3235374149659864
[129.19921875],1.8343764172335602
[129.19921875],2.2871655328798184
[129.19921875],2.786394557823129
[129.19921875],3.2275736961451247
[129.19921875],3.657142857142857
[129.19921875],4.20281179138322
[129.19921875],4.690430839002268
[129.19921875],5.2128798185941045
[129.19921875],5.7004988662131515
[129.19921875],6.15328798185941
[129.19921875],6.606077097505669
[129.19921875],7.093696145124716
[129.19921875],7.558095238095238
[129.19921875],8.02249433106576
[129.19921875],8.498503401360544
[129.19921875],8.951292517006802
[129.19921875],9.392471655328798
[129.19921875],9.926530612244898
[129.19921875],10.448979591836734
[129.19921875],10.95981859410431
[129.19921875],11.470657596371883
[129.19921875],11.95827664399093
[129.19921875],12.422675736961452
[129.19921875],12.863854875283447
[129.19921875],13.328253968253968
[129.19921875],13.827482993197279
[129.19921875],14.32671201814059
[129.19921875],14.744671201814059
[129.19921875],15.197460317460317
[129.19921875],15.719909297052155
[129.19921875],16.207528344671204
[129.19921875],16.69514739229025
[129.19921875],17.171156462585035
[129.19921875],17.69360544217687
[129.19921875],18.14639455782313
[129.19921875],18.634013605442178
[129.19921875],19.11002267573696
[129.19921875],19.586031746031747
[129.19921875],20.085260770975058
[129.19921875],20.572879818594103
[129.19921875],21.106938775510205
[129.19921875],21.524897959183672
[129.19921875],21.989297052154196
[129.19921875],22.46530612244898
[129.19921875],22.976145124716552
[129.19921875],23.4637641723356
[129.19921875],23.91655328798186
[129.19921875],24.369342403628117
[129.19921875],24.856961451247166
[129.19921875],25.344580498866215
[129.19921875],25.83219954648526
[129.19921875],26.354648526077096
[129.19921875],26.807437641723357
[129.19921875],27.260226757369615
[129.19921875],27.724625850340136
[129.19921875],28.189024943310656
[129.19921875],28.63020408163265
[129.19921875],29.129433106575963
[129.19921875],29.593832199546487
[129.19921875],30.058231292517007
[129.19921875],30.499410430839003
[129.19921875],30.98702947845805
[129.19921875],31.474648526077097
[129.19921875],31.915827664399092
[129.19921875],32.391836734693875
[129.19921875],32.8562358276644
[129.19921875],33.30902494331066
[129.19921875],33.78503401360544
[129.19921875],34.22621315192744
[129.19921875],34.702222222222225
[129.19921875],35.16662131519274
[129.19921875],35.631020408163266
[129.19921875],36.14185941043084
[129.19921875],36.594648526077094
[129.19921875],37.047437641723356
[129.19921875],37.50022675736962
[129.19921875],37.94140589569161
[129.19921875],38.39419501133787
[129.19921875],38.83537414965986
[129.19921875],39.27655328798186
[129.19921875],39.764172335600904
[129.19921875],40.29823129251701
[129.19921875],40.79746031746032
[129.19921875],41.26185941043084
[129.19921875],41.67981859410431
[129.19921875],42.132607709750566
[129.19921875],42.63183673469388
[129.19921875],43.073015873015876
[129.19921875],43.549024943310656
[129.19921875],44.02503401360544
[129.19921875],44.489433106575966
[129.19921875],44.95383219954648
[129.19921875],45.406621315192744
[129.19921875],45.859410430839006
[129.19921875],46.31219954648526
[129.19921875],46.776598639455784
[129.19921875],47.2409977324263
[129.19921875],47.705396825396825
[129.19921875],48.15818594104309
[129.19921875],48.587755102040816
[129.19921875],49.017324263038546
[129.19921875],49.52816326530612
[129.19921875],50.03900226757369
[129.19921875],50.538231292517004
[129.19921875],51.037460317460315
[129.19921875],51.49024943310658
[129.19921875],51.94303854875283
[129.19921875],52.41904761904762
[129.19921875],52.88344671201814
[129.19921875],53.347845804988665
[129.19921875],53.78902494331066
[129.19921875],54.23020408163265
[129.19921875],54.63655328798186
[129.19921875],55.11256235827664
[129.19921875],55.58857142857143
[129.19921875],56.05297052154195
[129.19921875],56.517369614512475
[129.19921875],56.993378684807254
[129.19921875],57.39972789115646
[129.19921875],57.85251700680272
[129.19921875],58.32852607709751
[129.19921875],58.88580498866213
[129.19921875],59.350204081632654
[129.19921875],59.82621315192744
[129.19921875],60.30222222222222
[129.19921875],60.75501133786848
[129.19921875],61.23102040816327
[129.19921875],61.695419501133784
[129.19921875],62.148208616780046
[129.19921875],62.61260770975057
[129.19921875],63.065396825396824
[129.19921875],63.54140589569161
[129.19921875],64.00580498866213
[129.19921875],64.47020408163266
[129.19921875],64.93460317460317
[129.19921875],65.41061224489796
[129.19921875],65.87501133786849
[129.19921875],66.32780045351474
[129.19921875],66.79219954648526
[129.19921875],67.24498866213152
[129.19921875],67.73260770975057
[129.19921875],68.18539682539682
[129.19921875],68.66140589569162
[129.19921875],69.11419501133787
[129.19921875],69.5785941043084
[129.19921875],70.04299319727892
[129.19921875],70.50739229024943
[129.19921875],70.97179138321995
[129.19921875],71.43619047619048
[129.19921875],71.88897959183673
[129.19921875],72.41142857142857
[129.19921875],72.86421768707483
[129.19921875],73.32861678004535
[129.19921875],73.7814058956916
[129.19921875],74.24580498866213
[129.19921875],74.68698412698413
[129.19921875],75.17460317460318
[129.19921875],75.62739229024943
[129.19921875],76.10340136054421
[129.19921875],76.55619047619048
[129.19921875],77.020589569161
[129.19921875],77.48498866213151
[129.19921875],77.94938775510204
[129.19921875],78.42539682539683
[129.19921875],78.88979591836734
[129.19921875],79.34258503401361
[129.19921875],79.81859410430839
[129.19921875],80.29460317460317
[129.19921875],80.75900226757369
[129.19921875],81.21179138321996
[129.19921875],81.67619047619047
[129.19921875],82.140589569161
[129.19921875],82.61659863945579
[129.19921875],83.0809977324263
[129.19921875],83.54539682539682
[129.19921875],84.00979591836735
[129.19921875],84.48580498866212
[129.19921875],84.9385941043084
[129.19921875],85.41460317460317
[129.19921875],85.86739229024943
[129.19921875],86.34340136054422
[129.19921875],86.78458049886622
[129.19921875],87.24897959183673
[129.19921875],87.72498866213152
[129.19921875],88.21260770975057
[129.19921875],88.66539682539683
[129.19921875],89.1414058956916
[129.19921875],89.5825850340136
[129.19921875],90.01215419501133
[129.19921875],90.53460317460318
[129.19921875],90.9990022675737
[129.19921875],91.45179138321996
[129.19921875],91.90458049886621
[129.19921875],92.36897959183673
[129.19921875],92.85659863945578
[129.19921875],93.3209977324263
[129.19921875],93.75056689342404
[129.19921875],94.22657596371882
[129.19921875],94.69097505668934
[129.19921875],95.15537414965986
[129.19921875],95.59655328798186
[129.19921875],96.06095238095239
[129.19921875],96.46730158730159
[129.19921875],96.97814058956916
[129.19921875],97.43092970521542
[129.19921875],97.9069387755102
