Tempo (BPM),Beat Times (s)
[97.50884434],10.518639455782314
[97.50884434],11.145578231292516
[97.50884434],11.760907029478458
[97.50884434],12.434285714285714
[97.50884434],13.096054421768708
[97.50884434],13.711383219954648
[97.50884434],14.338321995464852
[97.50884434],14.965260770975057
[97.50884434],15.592199546485261
[97.50884434],16.195918367346938
[97.50884434],16.799637188208617
[97.50884434],17.403356009070293
[97.50884434],18.04190476190476
[97.50884434],18.634013605442178
[97.50884434],19.22612244897959
[97.50884434],19.806621315192743
[97.50884434],20.433560090702947
[97.50884434],21.095328798185943
[97.50884434],21.69904761904762
[97.50884434],22.31437641723356
[97.50884434],22.918095238095237
[97.50884434],23.521814058956917
[97.50884434],24.14875283446712
[97.50884434],24.752471655328797
[97.50884434],25.344580498866215
[97.50884434],25.971519274376416
[97.50884434],26.59845804988662
[97.50884434],27.2021768707483
[97.50884434],27.817505668934242
[97.50884434],28.43283446712018
[97.50884434],29.048163265306123
[97.50884434],29.6518820861678
[97.50884434],30.26721088435374
[97.50884434],30.882539682539683
[97.50884434],31.48625850340136
[97.50884434],32.1015873015873
[97.50884434],32.71691609977324
[97.50884434],33.332244897959185
[97.50884434],33.94757369614513
[97.50884434],34.5512925170068
[97.50884434],35.16662131519274
[97.50884434],35.781950113378684
[97.50884434],36.385668934240364
[97.50884434],37.000997732426306
[97.50884434],37.61632653061225
[97.50884434],38.23165532879818
[97.50884434],38.846984126984125
[97.50884434],39.450702947845805
[97.50884434],39.92671201814059
[97.50884434],40.530430839002264
[97.50884434],41.134149659863944
[97.50884434],41.749478458049886
[97.50884434],42.36480725623583
[97.50884434],42.99174603174603
[97.50884434],43.58385487528345
[97.50884434],44.199183673469385
[97.50884434],44.81451247165533
[97.50884434],45.42984126984127
[97.50884434],46.03356009070295
[97.50884434],46.64888888888889
[97.50884434],47.26421768707483
[97.50884434],47.89115646258504
[97.50884434],48.4368253968254
[97.50884434],48.98249433106576
[97.50884434],49.562993197278914
[97.50884434],50.166712018140586
[97.50884434],50.78204081632653
[97.50884434],51.39736961451247
[97.50884434],52.00108843537415
[97.50884434],52.61641723356009
[97.50884434],53.231746031746034
[97.50884434],53.84707482993197
[97.50884434],54.45079365079365
[97.50884434],55.06612244897959
[97.50884434],55.68145124716553
[97.50884434],56.296780045351476
[97.50884434],56.900498866213155
[97.50884434],57.51582766439909
[97.50884434],58.13115646258503
[97.50884434],58.746485260770974
[97.50884434],59.36181405895692
[97.50884434],59.965532879818596
[97.50884434],60.58086167800454
[97.50884434],61.19619047619047
[97.50884434],61.79990929705215
[97.50884434],62.415238095238095
[97.50884434],63.03056689342404
[97.50884434],63.64589569160998
[97.50884434],64.24961451247165
[97.50884434],64.8649433106576
[97.50884434],65.48027210884354
[97.50884434],66.09560090702948
[97.50884434],66.69931972789115
[97.50884434],67.3146485260771
[97.50884434],67.92997732426304
[97.50884434],68.54530612244898
[97.50884434],69.34639455782313
[97.50884434],70.00816326530612
[97.50884434],70.68154195011338
[97.50884434],71.28526077097506
[97.50884434],71.900589569161
[97.50884434],72.53913832199547
[97.50884434],73.13124716553288
[97.50884434],73.73496598639456
[97.50884434],74.3502947845805
[97.50884434],74.96562358276644
[97.50884434],75.58095238095238
[97.50884434],76.18467120181406
[97.50884434],76.8
[97.50884434],77.41532879818594
[97.50884434],78.03065759637188
[97.50884434],78.63437641723355
[97.50884434],79.26131519274377
[97.50884434],79.88825396825396
[97.50884434],80.48036281179138
[97.50884434],81.08408163265307
[97.50884434],81.69941043083901
[97.50884434],82.31473922902494
[97.50884434],82.91845804988662
[97.50884434],83.53378684807257
[97.50884434],84.14911564625851
[97.50884434],84.75283446712018
[97.50884434],85.36816326530612
[97.50884434],85.98349206349206
[97.50884434],86.61043083900226
[97.50884434],87.23736961451247
[97.50884434],87.85269841269842
[97.50884434],88.43319727891156
[97.50884434],89.0485260770975
[97.50884434],89.65224489795918
[97.50884434],90.26757369614512
[97.50884434],90.88290249433106
[97.50884434],91.498231292517
[97.50884434],92.10195011337869
[97.50884434],92.71727891156462
[97.50884434],93.33260770975056
[97.50884434],93.93632653061225
[97.50884434],94.55165532879819
[97.50884434],95.16698412698413
[97.50884434],95.78231292517007
[97.50884434],96.397641723356
[97.50884434],97.00136054421769
[97.50884434],97.61668934240363
[97.50884434],98.23201814058957
[97.50884434],98.84734693877552
[97.50884434],99.45106575963719
[97.50884434],100.06639455782313
[97.50884434],100.68172335600907
[97.50884434],101.29705215419501
[97.50884434],101.91238095238096
[97.50884434],102.5277097505669
[97.50884434],103.13142857142857
[97.50884434],103.74675736961451
[97.50884434],104.33886621315193
[97.50884434],104.81487528344671
[97.50884434],105.43020408163265
[97.50884434],106.0455328798186
[97.50884434],106.66086167800454
[97.50884434],107.2065306122449
[97.50884434],107.75219954648526
[97.50884434],108.3326984126984
[97.50884434],108.94802721088435
[97.50884434],109.56335600907029
[97.50884434],110.17868480725623
[97.50884434],110.78240362811792
[97.50884434],111.39773242630386
[97.50884434],112.00145124716553
[97.50884434],112.62839002267573
[97.50884434],113.23210884353742
[97.50884434],113.84743764172336
[97.50884434],114.45115646258503
[97.50884434],115.06648526077097
[97.50884434],115.67020408163265
[97.50884434],116.29714285714286
[97.50884434],116.9124716553288
