Tempo (BPM),Beat Times (s)
[87.59269068],0.301859410430839
[87.59269068],0.9636281179138322
[87.59269068],1.6137868480725623
[87.59269068],2.2639455782312927
[87.59269068],2.914104308390023
[87.59269068],3.564263038548753
[87.59269068],4.214421768707483
[87.59269068],4.864580498866213
[87.59269068],5.491519274376417
[87.59269068],6.176507936507937
[87.59269068],6.791836734693877
[87.59269068],7.4071655328798185
[87.59269068],8.103764172335602
[87.59269068],8.684263038548753
[87.59269068],9.253151927437642
[87.59269068],9.833650793650794
[87.59269068],10.518639455782314
[87.59269068],11.19201814058957
[87.59269068],11.877006802721088
[87.59269068],12.561995464852608
[87.59269068],13.25859410430839
[87.59269068],13.931972789115646
[87.59269068],14.628571428571428
[87.59269068],15.27873015873016
[87.59269068],15.975328798185942
[87.59269068],16.66031746031746
[87.59269068],17.333696145124716
[87.59269068],18.007074829931973
[87.59269068],18.703673469387756
[87.59269068],19.388662131519276
[87.59269068],20.06204081632653
[87.59269068],20.74702947845805
[87.59269068],21.39718820861678
[87.59269068],22.105396825396827
[87.59269068],22.720725623582766
[87.59269068],23.475374149659864
[87.59269068],24.13714285714286
[87.59269068],24.88018140589569
[87.59269068],25.576780045351473
[87.59269068],26.273378684807255
[87.59269068],26.923537414965985
[87.59269068],27.562086167800455
[87.59269068],28.223854875283447
[87.59269068],28.93206349206349
[87.59269068],29.60544217687075
[87.59269068],30.30204081632653
[87.59269068],30.975419501133786
[87.59269068],31.648798185941043
[87.59269068],32.3221768707483
[87.59269068],33.01877551020408
[87.59269068],33.69215419501134
[87.59269068],34.37714285714286
[87.59269068],34.9924716553288
[87.59269068],35.7471201814059
[87.59269068],36.40888888888889
[87.59269068],37.08226757369614
[87.59269068],37.802086167800454
[87.59269068],38.463854875283445
[87.59269068],39.14884353741497
[87.59269068],39.833832199546485
[87.59269068],40.518820861678
[87.59269068],41.203809523809525
[87.59269068],41.87718820861678
[87.59269068],42.5621768707483
[87.59269068],43.24716553287982
[87.59269068],43.932154195011336
[87.59269068],44.6055328798186
[87.59269068],45.29052154195011
[87.59269068],45.97551020408163
[87.59269068],46.66049886621315
[87.59269068],47.33387755102041
[87.59269068],48.01886621315193
[87.59269068],48.692244897959185
[87.59269068],49.36562358276644
[87.59269068],50.062222222222225
[87.59269068],50.74721088435374
[87.59269068],51.420589569160995
[87.59269068],52.10557823129252
[87.59269068],52.790566893424035
[87.59269068],53.47555555555556
[87.59269068],54.14893424036281
[87.59269068],54.83392290249433
[87.59269068],55.51891156462585
[87.59269068],56.20390022675737
[87.59269068],56.87727891156462
[87.59269068],57.56226757369615
[87.59269068],58.2356462585034
[87.59269068],58.93224489795919
[87.59269068],59.60562358276644
[87.59269068],60.29061224489796
[87.59269068],60.97560090702948
[87.59269068],61.648979591836735
