Second,Count,Tempo (BPM),Beat Times (s)
0.0,1303,[139.67483108],0.0812698412698412
0.5,2476,[139.67483108],0.5108390022675737
1.0,2347,[139.67483108],0.9287981859410432
1.5,2329,[139.67483108],1.3583673469387756
2.0,2314,[139.67483108],1.787936507936508
2.5,2495,[139.67483108],2.2175056689342405
3.0,2531,[139.67483108],2.647074829931973
3.5,2928,[139.67483108],3.076643990929705
4.0,3363,[139.67483108],3.506213151927437
4.5,3527,[139.67483108],3.93578231292517
5.0,3957,[139.67483108],4.365351473922902
5.5,4314,[139.67483108],4.783310657596372
6.0,4950,[139.67483108],5.2128798185941045
6.5,5623,[139.67483108],5.642448979591837
7.0,6651,[139.67483108],6.072018140589569
7.5,7643,[139.67483108],6.501587301587302
8.0,8396,[139.67483108],6.919546485260771
8.5,9628,[139.67483108],7.360725623582766
9.0,10384,[139.67483108],7.790294784580499
9.5,11206,[139.67483108],8.219863945578231
10.0,11783,[139.67483108],8.6378231292517
10.5,13061,[139.67483108],9.079002267573696
11.0,12332,[139.67483108],9.496961451247165
11.5,10829,[139.67483108],9.926530612244898
12.0,9392,[139.67483108],10.356099773242631
12.5,8397,[139.67483108],10.785668934240364
13.0,7687,[139.67483108],11.215238095238096
13.5,6943,[139.67483108],11.644807256235827
14.0,6754,[139.67483108],12.07437641723356
14.5,6294,[139.67483108],12.503945578231292
15.0,5272,[139.67483108],12.933514739229024
15.5,5106,[139.67483108],13.363083900226757
16.0,4981,[139.67483108],13.804263038548752
16.5,4557,[139.67483108],14.22222222222222
17.0,3727,[139.67483108],14.640181405895692
17.5,3123,[139.67483108],15.09297052154195
18.0,2646,[139.67483108],15.499319727891155
18.5,2595,[139.67483108],15.928888888888888
19.0,3028,[139.67483108],16.35845804988662
19.5,2963,[139.67483108],16.799637188208617
20.0,3699,[139.67483108],17.217596371882085
20.5,4458,[139.67483108],17.65877551020408
21.0,5442,[139.67483108],18.088344671201813
21.5,5203,[139.67483108],18.517913832199547
22.0,5209,[139.67483108],18.935873015873018
22.5,5252,[139.67483108],19.365442176870747
23.0,5205,[139.67483108],19.79501133786848
23.5,5036,[139.67483108],20.224580498866214
24.0,5198,[139.67483108],20.64253968253968
24.5,4749,[139.67483108],21.07210884353741
25.0,4549,[139.67483108],21.501678004535147
25.5,3994,[139.67483108],21.93124716553288
26.0,3434,[139.67483108],22.349206349206348
26.5,3557,[139.67483108],22.790385487528344
27.0,4012,[139.67483108],23.21995464852608
27.5,4481,[139.67483108],23.661133786848072
28.0,4909,[139.67483108],24.079092970521543
28.5,5321,[139.67483108],24.52027210884354
29.0,4795,[139.67483108],24.93823129251701
29.5,4661,[139.67483108],25.379410430839
30.0,4681,[139.67483108],25.78575963718821
30.5,4947,[139.67483108],26.21532879818594
31.0,4642,[139.67483108],26.656507936507936
31.5,4755,[139.67483108],27.08607709750567
32.0,4474,[139.67483108],27.5156462585034
32.5,4640,[139.67483108],27.93360544217687
33.0,4536,[139.67483108],28.363174603174603
33.5,4544,[139.67483108],28.792743764172336
34.0,4498,[139.67483108],29.210702947845807
34.5,4224,[139.67483108],29.640272108843536
35.0,4715,[139.67483108],30.06984126984127
35.5,4808,[139.67483108],30.499410430839003
36.0,4817,[139.67483108],30.928979591836736
36.5,4595,[139.67483108],31.358548752834466
37.0,4716,[139.67483108],31.7881179138322
37.5,4564,[139.67483108],32.21768707482993
38.0,4604,[139.67483108],32.64725623582766
38.5,4633,[139.67483108],33.065215419501136
39.0,4538,[139.67483108],33.494784580498866
39.5,4584,[139.67483108],33.9243537414966
40.0,4446,[139.67483108],34.35392290249433
40.5,4435,[139.67483108],34.78349206349206
41.0,4202,[139.67483108],35.2130612244898
41.5,4226,[139.67483108],35.64263038548753
42.0,4094,[139.67483108],36.07219954648526
42.5,4081,[139.67483108],36.501768707483
43.0,3928,[139.67483108],36.931337868480725
43.5,3708,[139.67483108],37.36090702947846
44.0,3659,[139.67483108],37.79047619047619
44.5,3633,[139.67483108],38.22004535147392
45.0,3560,[139.67483108],38.64961451247166
45.5,3366,[139.67483108],39.07918367346939
46.0,3355,[139.67483108],39.497142857142855
46.5,3254,[139.67483108],39.92671201814059
47.0,3249,[139.67483108],40.35628117913832
47.5,3205,[139.67483108],40.78585034013606
48.0,3258,[139.67483108],41.23863945578231
48.5,3342,[139.67483108],41.66820861678004
49.0,3211,[139.67483108],42.08616780045352
49.5,3258,[139.67483108],42.50412698412698
