Second,Count
0.0,295
0.5,605
1.0,590
1.5,589
2.0,611
2.5,623
3.0,577
3.5,566
4.0,655
4.5,677
5.0,680
5.5,727
6.0,799
6.5,1024
7.0,1086
7.5,1168
8.0,1295
8.5,1451
9.0,1328
9.5,1305
10.0,1254
10.5,1313
11.0,1174
11.5,1388
12.0,1516
12.5,1846
13.0,2049
13.5,2303
14.0,2390
14.5,2336
15.0,2422
15.5,2486
16.0,2513
16.5,2512
17.0,2753
17.5,2720
18.0,2869
18.5,2798
19.0,3051
19.5,3250
20.0,3320
20.5,3221
21.0,3295
21.5,3050
22.0,3084
22.5,2777
23.0,2910
23.5,3014
24.0,3281
24.5,3112
25.0,3145
25.5,3147
26.0,3348
26.5,3385
27.0,4230
27.5,4404
28.0,4402
28.5,4345
29.0,4420
29.5,3833
30.0,3760
30.5,4053
31.0,4747
31.5,4794
32.0,4823
32.5,4538
33.0,4905
33.5,4902
34.0,4941
34.5,5095
35.0,5106
35.5,3806
36.0,2999
36.5,3390
37.0,3599
37.5,3873
38.0,4595
38.5,4358
39.0,4237
39.5,3857
40.0,3636
40.5,3017
41.0,3104
41.5,2728
42.0,2737
42.5,2609
43.0,3119
43.5,3234
44.0,4149
44.5,4329
45.0,3986
45.5,3774
46.0,3323
46.5,3057
47.0,3378
47.5,3462
48.0,3084
48.5,3432
49.0,4031
49.5,3451
50.0,3228
50.5,4258
51.0,5127
51.5,4608
52.0,4836
52.5,4579
53.0,4140
53.5,3486
54.0,3691
54.5,3780
55.0,3859
55.5,3706
56.0,3989
56.5,4245
57.0,4028
57.5,3853
58.0,3364
58.5,3071
59.0,2690
59.5,2455
60.0,2660
60.5,2328
61.0,1945
61.5,2030
62.0,2514
62.5,2142
63.0,2255
63.5,2448
64.0,2765
64.5,2815
65.0,2661
65.5,2665
66.0,2538
66.5,2277
67.0,1945
67.5,1983
68.0,2028
68.5,1665
69.0,2022
69.5,2388
70.0,2675
70.5,2667
71.0,3104
71.5,3445
72.0,3667
72.5,3465
73.0,3532
73.5,3191
74.0,2679
74.5,1995
75.0,1927
75.5,1800
76.0,1839
76.5,2011
77.0,2076
77.5,2287
78.0,2576
78.5,2620
79.0,2956
79.5,2892
80.0,2284
80.5,1853
81.0,1637
81.5,1415
82.0,1487
82.5,2022
83.0,2065
83.5,2460
84.0,2696
84.5,2763
85.0,2153
85.5,2164
86.0,2133
86.5,2218
87.0,2181
87.5,1836
88.0,1834
88.5,1957
89.0,1816
89.5,1907
90.0,2426
90.5,2275
91.0,2213
91.5,2210
92.0,1866
92.5,1658
93.0,1752
93.5,2014
94.0,2082
94.5,2155
95.0,2054
95.5,2012
96.0,2115
96.5,1917
97.0,1975
97.5,2048
98.0,1974
98.5,1672
99.0,1751
99.5,1894
100.0,1823
100.5,1956
101.0,2111
101.5,2138
102.0,2210
102.5,2407
103.0,2416
103.5,2375
104.0,2331
104.5,2362
105.0,2416
105.5,2258
106.0,2537
106.5,2543
107.0,2715
107.5,2508
108.0,2640
108.5,2656
109.0,2377
109.5,2389
110.0,2452
110.5,2358
111.0,2324
111.5,2686
112.0,2321
