Second,Count
0,7013
1,16279
2,18726
3,18895
4,20520
5,20907
6,22846
7,23517
8,29210
9,35013
10,42544
11,47380
12,49241
13,48746
14,47502
15,44559
16,42043
17,51548
18,63496
19,59040
20,53326
21,44657
22,65342
23,77461
24,86952
25,77813
26,81436
27,84846
28,89088
29,90206
30,91945
31,87189
32,76973
33,68476
34,70726
35,69079
36,68925
37,67478
38,64699
39,61036
40,61181
41,59981
42,59707
43,60889
44,66461
45,70757
46,78724
47,84245
48,79459
49,71678
50,70855
51,66905
52,59978
53,58807
54,56162
55,57487
56,48595
57,40565
58,41005
59,39094
60,36212
61,37273
62,37432
63,38112
64,38176
65,35814
66,38167
67,39618
68,41265
69,35065
70,35111
71,33966
72,34737
73,31996
74,28389
75,26583
76,24185
77,22538
78,21110
79,21358
80,20049
81,18759
82,17911
83,17122
84,17197
85,16224
86,16340
87,17323
88,17317
89,16992
90,18490
91,17108
92,18150
93,18318
94,18077
95,16854
96,16509
97,15511
98,15542
99,15564
100,15411
101,15100
102,15261
103,14549
104,14368
105,15147
106,16002
107,17948
108,17504
109,16807
110,15847
111,14418
112,14704
113,18117
114,17182
115,16043
116,16493
117,16773
118,18108
119,16588
120,14956
121,18489
122,18017
123,15714
124,15414
125,15850
126,17168
127,19705
128,19565
129,17404
130,19461
131,21739
132,22303
133,23664
134,20761
135,19236
136,19706
137,21609
138,22655
139,25760
140,27457
141,25531
142,24007
143,27685
144,27648
145,27515
146,24209
147,21455
148,21517
149,22917
150,22303
151,19600
152,17484
153,15902
154,17721
155,17390
156,18473
157,17883
158,16007
159,14638
160,14231
161,13095
162,12856
163,13168
164,13345
165,13310
166,12889
167,13267
168,12919
169,11895
170,12296
171,11952
172,13138
173,13679
174,12165
175,11557
176,11907
177,12171
178,12561
179,12949
180,12833
181,12774
182,12050
183,11326
184,11458
185,10201
186,9463
187,9348
188,9980
189,8857
190,8853
191,8467
192,8088
193,7450
194,7631
195,7548
196,7384
197,7533
198,6897
199,6469
200,6552
201,6349
202,6047
203,6003
204,5779
205,5340
206,4602
207,4384
208,4897
209,5405
210,4112
211,3403
212,2508
213,2136
214,1342
215,726
216,504
217,359
218,329
219,370
220,351
221,296
222,381
223,239
