Second,Count
0,1026
1,2227
2,2171
3,2011
4,1974
5,2050
6,2261
7,2671
8,3009
9,3969
10,4560
11,5266
12,7056
13,8076
14,9048
15,8806
16,10666
17,11829
18,11255
19,11025
20,11814
21,12005
22,11827
23,10795
24,11825
25,12361
26,11104
27,10266
28,10876
29,9555
30,9511
31,10724
32,9638
33,8969
34,8780
35,7036
36,7426
37,8149
38,8013
39,7629
40,7509
41,7093
42,6888
43,6807
44,6508
45,6379
46,6682
47,6774
48,7397
49,7747
50,7375
51,8067
52,8523
53,8043
54,8426
55,8235
56,8180
57,7684
58,6631
59,6162
60,6291
61,7311
62,7240
63,7142
64,6632
65,6825
66,6552
67,6372
68,5682
69,5075
70,5723
71,5309
72,5420
73,5094
74,4854
75,3641
76,4004
77,4781
78,4604
79,4623
80,4672
81,4357
82,4217
83,4406
84,4396
85,4323
86,4469
87,4628
88,4474
89,4527
90,4609
91,4330
92,4678
93,5005
94,5056
95,4470
96,4479
97,4182
98,4889
99,6087
100,5722
101,4770
102,4677
103,4556
104,4141
105,3937
106,4396
107,4607
108,4413
109,4204
110,3940
111,3744
112,3731
113,3530
114,3409
115,3141
116,3179
117,3039
118,3143
119,2929
120,2998
121,3015
122,2941
123,2802
124,2663
125,2521
126,2437
127,2347
128,2303
129,2190
130,2400
131,2515
132,2668
133,2785
134,3047
135,2721
136,2884
137,3024
138,3035
139,2843
140,2976
141,2820
142,3010
143,2973
144,2847
145,2581
146,2738
147,2695
148,2644
149,2671
150,2784
151,2808
152,2846
153,2664
154,2891
155,3171
156,3289
157,3743
158,4090
159,4555
160,4490
161,4267
162,4933
163,5034
164,4648
165,4840
166,5455
167,5023
168,5161
169,4937
170,4915
171,5806
172,6523
173,6318
174,5271
175,5157
176,4972
177,5045
178,4772
179,4717
180,4553
181,4207
182,3877
183,3651
184,3517
185,3347
186,3261
187,3043
188,2827
189,2603
190,2291
191,1916
192,1549
193,912
194,221
