Second,Count,0,1,2,3,4,5,6,7,8,9,10,11,12
0.0,213,-320.23203,116.953514,-0.46833155,-11.911302,4.449648,-4.4330664,-3.2722228,2.124766,-0.45547542,0.83707756,1.3025992,-2.0328443,-2.0359254
0.5,385,-250.53766,192.73517,24.544922,-17.710718,3.7078924,-3.0237231,-8.716706,0.71310276,-1.1839958,-6.7486353,-5.0512953,-4.993924,-4.1942267
1.0,445,-218.42363,174.63657,-18.73647,-7.1561103,11.398798,-1.8641866,-1.7303939,-0.22551596,1.4976628,-4.246172,-9.416469,-5.57947,-1.9966743
1.5,395,-221.75766,172.63043,-34.781593,-24.933502,16.910152,-2.8661883,-10.973242,2.682746,7.2707987,-1.1417668,-7.3909216,-2.9542205,1.902749
2.0,411,-167.00153,177.95848,-54.48248,-4.6769934,14.719464,-5.921332,-3.551313,0.6279533,-3.1329348,-7.813153,-7.3230987,-3.624477,0.079858005
2.5,375,-232.19383,194.26564,3.250076,-22.966831,11.006126,-0.58214444,-7.628299,2.6130173,-0.3107212,-6.419859,-2.3536615,3.871467,1.6572298
3.0,362,-227.91505,189.7147,-6.837346,-23.099873,13.246859,3.1170595,-0.45990193,5.3435483,2.527693,-0.1337676,-2.508465,-0.4171053,3.3747022
3.5,390,-212.935,197.61165,-16.077568,-31.821009,9.623878,-0.5726038,-3.579808,3.4441934,-0.10449487,-0.044937387,1.3898947,2.0004942,5.2259097
4.0,282,-233.76093,193.05348,0.71130854,-31.780685,0.026510682,-5.1408067,-7.9914365,-0.016415674,-1.7034378,-2.1443923,-0.5436526,-3.8913014,-4.920325
4.5,329,-240.03152,198.27814,19.324348,-20.569181,4.137019,-3.3671875,-7.8450446,2.4232621,-0.396798,-5.5883203,-3.867047,-4.9978604,-4.7894607
5.0,350,-234.57047,175.65904,-1.9458477,-7.7520494,7.3828516,-0.9556292,-3.7568157,-1.7316823,1.4324564,-4.7616467,-7.1687655,-5.649016,-5.103334
5.5,353,-198.3033,174.72551,-48.687824,-16.921,18.146059,-5.9548545,-5.380247,1.7157234,5.2746587,-1.0833707,-11.525429,-5.5400243,2.5052004
6.0,405,-198.74239,181.85689,-42.181767,-17.045874,18.815071,-9.627426,-5.515321,2.420339,-2.1733022,-3.6152482,-9.585739,-6.8235826,3.2810307
6.5,414,-212.5956,203.20976,-7.150671,-26.263735,14.022385,-0.7788406,-10.441126,-0.5771691,-0.13121001,-3.465879,-3.5265613,-0.6596779,1.9676743
7.0,459,-242.84892,185.2074,3.2535617,-22.712648,10.411457,5.174051,-1.3286786,2.6850111,1.6213603,-1.4251075,-3.0786278,0.31889907,3.8014338
7.5,465,-210.05614,196.09348,-13.171529,-24.563185,7.517828,0.6546311,3.691061,8.849405,0.058815867,-2.8591971,3.7696204,3.5712326,3.825516
8.0,596,-198.21593,200.48466,-25.436583,-32.67622,6.070443,-2.560533,1.9518163,2.3840106,-9.270082,-8.943546,-5.6135983,-6.446724,-5.0792055
8.5,572,-213.62263,209.89815,2.6389656,-27.480673,9.03884,-1.4184245,-7.4950547,1.8289734,-1.8570004,-4.461578,-3.1692955,-7.56671,-7.1560044
9.0,615,-240.25336,177.11206,5.0279455,-10.787923,4.2411733,0.8670443,-4.140413,-2.1897728,0.57659894,-3.9013216,-5.0308537,-6.3804455,-4.475996
9.5,647,-176.86868,177.25,-64.13474,-14.178589,20.392265,-8.122776,-0.10970311,4.2451534,0.18590288,-3.1384559,-8.01556,-5.552634,-0.8907836
10.0,665,-198.22498,175.18166,-47.846798,-19.454742,15.849571,-4.4359884,-4.3186245,1.6198313,0.7203068,-4.596066,-9.97711,-6.581749,0.7894779
10.5,722,-216.97038,205.03438,0.21939696,-25.12098,12.763233,-0.7274182,-9.701646,1.3040088,-0.15502617,-6.79962,-5.3857255,1.6265103,3.9982445
11.0,828,-191.7874,176.51526,-41.84048,-6.78446,14.986848,-4.1642036,1.7886742,3.0813706,0.81350416,-5.6806173,-8.372578,-2.8007529,-0.62268233
11.5,825,-180.40982,205.11128,-29.50134,-22.804419,15.837022,3.449864,1.5044204,4.179801,-4.162955,-8.677428,-3.1276238,-0.13306215,5.7450557
12.0,980,-200.6097,188.08768,-32.671978,-27.94146,5.0888414,-7.249924,-6.8887796,-0.29587612,-2.8057997,-8.52735,-6.723403,-2.7867005,-1.0557513
12.5,1036,-207.59746,212.07544,0.33667684,-25.0718,9.812454,-6.252269,-9.823305,3.3320603,-1.3106322,-4.3739195,-0.9824557,-2.7892704,-2.7162042
13.0,1127,-257.8995,186.61711,23.040047,-18.411053,6.3146286,0.3911767,-10.797095,-3.5542169,-2.9128048,-8.0841055,-6.672328,-5.159222,-3.730625
13.5,1445,-268.7927,173.62689,16.56637,-20.086048,8.963965,9.701673,-5.93826,-8.991106,-3.2312913,1.1531582,-0.3532135,-4.2086,-4.6831083
14.0,1429,-251.47726,163.8044,-7.7256966,-16.642277,8.479626,2.0849462,-7.775834,-6.9940057,-1.7764126,-2.401751,-1.7666912,-5.0599895,-6.797
14.5,1363,-171.25215,204.81715,-28.314209,-13.66871,11.286026,-2.4516666,-6.7691855,-2.6189003,2.7513912,-7.5004115,-8.095912,-1.4694684,1.8033181
15.0,1405,-185.95065,170.98479,-44.347095,-6.7409315,8.117735,-2.3154452,-5.169412,0.097441204,7.749154,-3.9933028,-5.004965,-0.3852052,1.5219707
15.5,1362,-162.75883,185.09525,-26.519379,-1.7586769,-3.9047904,3.6600857,1.3336052,1.8931957,2.0742738,-0.21373163,-0.7820921,3.0391474,5.296601
16.0,1346,-96.07031,120.367355,-23.658522,32.818638,-28.364838,28.485037,-15.047298,-7.2245226,-10.80514,-3.8062317,-10.636908,-0.61152756,-9.246581
16.5,1296,-83.08845,115.79009,-12.457781,67.51611,-38.564392,21.847897,-10.540429,14.117493,-3.14434,-1.3368949,-5.9680305,-5.7054768,-8.877076
17.0,1333,-113.58679,108.50583,0.058582105,57.209877,-32.140224,14.787971,-20.120083,2.7538538,-5.712561,2.0939069,-13.869964,-9.215897,-11.030996
17.5,1507,-98.84567,89.67464,-24.880249,54.176224,-24.84414,24.815855,-10.079859,-2.1642485,-9.769257,1.83713,-6.9901977,1.3230604,-16.31656
18.0,1466,-170.88414,118.09951,-20.552855,34.128033,-22.30789,16.791586,-1.6851854,-7.0759087,-0.456197,-0.48998073,-0.9959457,3.004914,0.0070328047
18.5,1385,-143.76366,147.06244,-6.631563,36.373722,-15.517028,15.07203,0.075659074,-4.067924,-3.4367292,-0.04719579,-6.768571,-0.31094062,-0.12612936
19.0,1438,-114.62792,112.936516,-3.128112,44.57345,-31.473875,26.756584,-12.574012,-6.392379,-4.8896914,-1.6572413,-13.972131,3.5934956,-6.6147494
19.5,1486,-114.46975,131.952,-18.460808,46.521,-16.82249,15.634586,-11.151967,6.0229416,-3.8769226,-10.971476,-7.1455917,10.971933,-1.6471078
20.0,1565,-121.00638,125.81743,-8.4490795,24.795969,-32.882942,23.61263,-15.943139,-1.7983238,-0.002115222,-4.0518436,-13.564704,0.0651465,-6.947917
20.5,1556,-132.18161,158.54346,-3.6315477,28.27586,-18.259268,15.060791,-17.278881,3.6797535,8.040398,-10.4483,-9.370287,-7.1751404,-9.03523
21.0,1699,-103.46765,107.00738,-11.910253,57.461227,-29.894667,11.597843,-13.743432,0.15047269,-6.637752,-3.1142173,-13.673496,5.533859,-11.386731
21.5,1831,-116.199715,93.3982,-9.492741,47.959972,-31.957357,29.606607,-16.8395,-7.604623,-3.74951,4.2142997,-10.642121,-1.6792791,-14.696141
22.0,1994,-170.06088,138.46849,-15.089596,15.538526,-16.045286,12.82332,-13.181876,-2.6221943,4.3326726,-4.6391335,-9.19687,0.50793874,1.6506416
22.5,2090,-170.53424,141.60577,-6.623167,34.4668,-10.156438,15.445388,-5.608757,-7.3115063,6.2957716,-2.4235406,-6.073299,0.92911255,-2.7464209
23.0,2266,-98.74182,108.57969,-1.9658895,53.607872,-27.81593,17.248697,-17.99607,-20.37255,-7.9877324,12.281761,-13.591754,-3.924304,-5.8360057
23.5,2364,-147.18773,151.02861,-16.94172,25.818888,-13.857158,15.1207485,-7.4394383,-7.850162,0.33931023,1.1224221,2.0338156,3.531846,2.170778
24.0,2467,-98.106705,98.45696,-31.39238,65.413025,-25.01136,8.024555,-11.899625,10.380933,0.9929224,-5.1926036,-12.107134,9.043559,-10.611624
24.5,2492,-119.657646,129.52087,5.2450385,41.680046,-42.134796,19.743004,-3.1464567,-2.658156,-5.2175508,6.7452087,-15.410705,-3.8474064,-6.8918004
25.0,2523,-108.84052,130.53271,0.64361155,38.06124,-30.017952,30.09947,-17.169703,-6.619539,-4.1090274,0.6141474,-14.087403,-9.9105,-8.461142
25.5,2871,-120.37556,141.18279,-5.7874465,14.846339,-31.63164,16.781282,-9.31623,1.7540146,-3.274523,-5.216108,-16.391232,-2.7449303,-4.918268
26.0,2818,-151.5204,138.95758,-19.513826,12.0189495,-15.024263,18.624725,-17.023695,-13.388887,-1.8974639,-2.4380455,-7.1944976,4.108238,-4.4270034
26.5,3049,-133.84294,134.0751,-21.659279,39.638134,-8.174745,20.063051,-19.728968,-20.029766,-1.2713565,-1.3898307,-5.407977,1.200356,-5.6098847
27.0,3194,-136.5923,162.67442,-10.479486,23.964058,-17.0773,17.858778,-10.451171,-15.2682,1.2796699,-4.9198847,-10.483951,-1.6220355,-3.3371227
27.5,3419,-110.42069,161.32622,-17.538279,22.154768,-26.529535,9.885358,-13.385841,-0.5394305,5.873428,-4.509462,-5.292549,3.524314,1.2280227
28.0,3607,-125.79844,145.7396,-16.935242,27.798925,-31.326624,6.7365093,-5.888002,1.3571804,-0.7942598,-0.666004,-10.702924,1.7938386,1.9437782
28.5,3565,-96.331985,114.08912,-15.495419,40.57378,-31.841722,13.6627655,-18.710411,3.2950382,-4.070154,-0.77122456,-18.89231,5.401524,-5.7176285
29.0,3300,-117.94652,147.76254,2.0242722,20.755972,-26.485216,15.110235,-16.543379,-2.622747,-8.375442,-7.179938,-17.139826,7.802435,-3.1282182
29.5,3132,-138.84808,126.88144,-7.1192365,32.23414,-19.735992,24.543346,-16.456652,-10.691108,-4.8998446,-5.456293,-10.029631,2.2580159,-10.2066
30.0,2925,-128.07549,132.89896,-11.221086,40.76158,-20.955563,15.761371,-15.533814,-8.54206,-4.7998347,-3.226625,-15.185742,-1.7950897,0.9032535
30.5,2909,-153.31332,162.51083,-4.5812416,19.205486,-11.049453,19.618032,-15.3570385,-7.439569,1.1639881,-13.685581,-10.927034,-1.6188058,-0.7594379
31.0,2899,-108.34303,133.02174,-13.11622,52.418156,-19.306871,15.008769,-19.376972,1.2800243,0.4948083,-2.9181654,-5.5893188,-6.337001,-6.2045054
31.5,2834,-122.25084,147.33052,-18.895943,25.588697,-8.257997,17.058891,-21.590345,-1.296441,-0.74933785,-4.9044905,-8.238015,2.8470387,-4.877434
32.0,3003,-101.449455,139.2601,-25.544554,43.35532,-15.069339,19.909672,-15.453866,-3.660917,7.6825476,-3.0745335,-16.463871,5.143963,-0.07309459
32.5,3005,-93.59733,91.85944,-24.045404,68.71993,-27.190674,26.017437,-15.997062,2.2823412,-1.1741006,6.4329004,-12.094939,-3.4890718,-5.686303
33.0,3292,-83.886284,110.313385,-13.575108,62.82624,-22.972748,29.481468,-6.41696,19.142714,-0.21484312,8.735918,-3.5265677,7.8306975,2.3557355
33.5,3442,-107.08963,129.25551,-1.4154363,60.210876,-12.818751,25.118017,-10.18776,16.503357,4.7281985,0.88512015,-10.006996,3.352483,0.71393055
34.0,3740,-84.2502,131.60722,-9.875663,55.584343,-12.590355,22.090885,-17.416029,7.858492,2.383043,-4.1515765,-9.021365,3.1606095,-4.215416
34.5,3390,-136.8456,136.53712,1.6467667,41.38901,-21.618868,23.43613,-6.495367,10.335053,2.699689,-1.7067109,-7.8404365,-0.57801855,-0.09329392
35.0,3133,-99.99337,119.01376,14.090943,48.986477,-24.06879,29.286808,-18.771244,9.808461,-3.8777158,3.467025,-15.836213,-0.1249155,-9.383034
35.5,3204,-109.44103,140.42625,8.067853,25.383802,-30.537645,30.706629,-10.743619,7.95108,-3.8932996,2.1958573,-7.0884194,2.561145,-2.0195863
36.0,3135,-94.663284,141.49208,1.2809955,41.997643,-28.693626,29.231464,-9.896411,-2.8143847,-8.623803,6.035723,-3.4648721,0.2298292,1.3480396
36.5,3476,-117.301544,145.48444,10.43559,36.07368,-19.499397,21.110273,-18.585651,11.344459,3.4466057,-3.88919,-10.830373,1.7880547,-5.6079006
37.0,3560,-79.89613,110.80938,-0.57810825,52.212875,-17.846321,28.842476,-13.657247,16.659782,2.9345791,10.73617,-9.667558,10.509041,-7.8591166
