boundaries,labels
0.4179591836734694,5
16.068208616780044,4
35.34077097505669,2
50.991020408163266,1
62.97251700680272,3
70.26358276643991,3
84.38131519274377,1
111.50222222222222,2
126.64163265306122,1
137.8336507936508,3
142.2918820861678,3
150.14022675736962,1
164.21151927437643,4
182.46240362811793,2
182.9732426303855,2
186.6419954648526,2
196.5336961451247,2
212.7412244897959,4
223.1437641723356,1
227.36979591836734,3
239.3512925170068,3
246.13151927437642,3
253.97986394557824,3
269.7229931972789,3
269.74040816326533,5
