boundaries,labels
0.3250793650793651,5
42.26031746031746,1
42.58539682539683,3
45.3253514739229,3
53.823854875283445,4
60.97560090702948,3
63.065396825396824,3
69.89206349206349,1
86.56399092970521,4
90.6507029478458,1
100.91392290249433,4
104.6291156462585,1
109.41242630385487,3
115.86757369614513,4
119.30412698412698,3
130.91410430839002,4
131.56426303854875,4
141.82748299319726,4
153.158820861678,1
161.42512471655328,4
169.41278911564626,2
175.86793650793652,2
180.65124716553288,1
192.5863038548753,4
197.36961451247166,3
204.05696145124716,2
204.06857142857143,5
