Second,Count,0,1,2,3,4,5,6,7,8,9,10,11
0.0,1368,0.4805565,0.6151315,0.78584677,0.8864416,0.8783799,0.5018722,0.3064771,0.30424425,0.2528799,0.2515738,0.30411825,0.37553835
0.5,2727,0.59709424,0.5710804,0.57382756,0.60419273,0.6731818,0.72141886,0.6711255,0.6437508,0.6219548,0.64512503,0.75051373,0.751067
1.0,2656,0.6957205,0.6184705,0.62573874,0.7222498,0.81720185,0.65610796,0.598603,0.5649483,0.53167367,0.54059285,0.5736909,0.68414843
1.5,2694,0.74127024,0.715687,0.6948438,0.69670635,0.7682306,0.79468846,0.7494082,0.722957,0.646189,0.7005585,0.7144912,0.70203143
2.0,2826,0.5630472,0.50943017,0.5092586,0.521658,0.6324817,0.74729013,0.7946794,0.7245963,0.6260683,0.6534279,0.6959441,0.60268635
2.5,2844,0.50162905,0.469477,0.47079757,0.5630882,0.7205284,0.78752387,0.7959337,0.7245909,0.640884,0.60468423,0.5590482,0.5230774
3.0,3045,0.5182556,0.48026302,0.5264686,0.5929863,0.73045236,0.7526476,0.711736,0.63062906,0.566174,0.69034135,0.71143126,0.6160391
3.5,3038,0.7486551,0.6448642,0.5443661,0.494941,0.5721813,0.6146577,0.5950017,0.57667416,0.51802075,0.5515989,0.58144265,0.6912957
4.0,2954,0.4814724,0.4414505,0.44560942,0.4722965,0.53667176,0.6031711,0.72144884,0.8026265,0.6103525,0.4840632,0.42763454,0.46789706
4.5,3006,0.61298174,0.6476141,0.6539493,0.6387691,0.6712154,0.7129431,0.77663034,0.77398956,0.6287398,0.5876539,0.57782495,0.57631874
5.0,2949,0.56360185,0.4963806,0.5177851,0.52138823,0.5632067,0.6194478,0.735846,0.7529608,0.65964276,0.6658192,0.6881472,0.60265017
5.5,2859,0.43823752,0.41248074,0.4557173,0.3307262,0.37377092,0.3691281,0.36952445,0.3356355,0.39316005,0.5413927,0.5171885,0.5041902
6.0,2733,0.23070799,0.22440453,0.22221798,0.25164837,0.3967285,0.32420683,0.38044882,0.53415686,0.42758712,0.57373923,0.4279193,0.2255198
6.5,2771,0.42808422,0.25389546,0.29037932,0.4430263,0.3078599,0.27114308,0.35139647,0.25053218,0.21745835,0.38617316,0.5313148,0.7937144
7.0,2668,0.7482616,0.7335155,0.67079294,0.64588314,0.6345982,0.46721277,0.4505243,0.47094497,0.43470228,0.5418064,0.5041522,0.72363716
7.5,2712,0.7857218,0.71681464,0.7096384,0.72067046,0.8359688,0.7557348,0.7054708,0.6815956,0.6230962,0.7671251,0.7083573,0.8037208
8.0,2667,0.7163085,0.729436,0.72230804,0.6658938,0.6701928,0.49471045,0.5064485,0.5175323,0.48862058,0.6471845,0.5382273,0.66564864
8.5,2790,0.44320604,0.55318356,0.6363088,0.5189514,0.2807974,0.2614877,0.26451316,0.24204837,0.32796583,0.4315727,0.31601554,0.46798953
9.0,2783,0.2646259,0.27870116,0.32368422,0.299455,0.3880715,0.30990666,0.40888587,0.61234826,0.43012646,0.5359659,0.37148184,0.23722903
9.5,2976,0.35999572,0.22863938,0.3290515,0.47961873,0.2544498,0.2605532,0.43723258,0.27926862,0.2688178,0.29772148,0.44218266,0.83355427
10.0,3106,0.61843705,0.48053387,0.47206613,0.43437093,0.5532573,0.5154784,0.6039452,0.74801964,0.57798773,0.4607115,0.43445304,0.4832847
10.5,3308,0.66386104,0.6628383,0.72433305,0.63699466,0.6951389,0.6629395,0.7379407,0.8006063,0.68135065,0.6534529,0.60229707,0.5993288
11.0,3410,0.73854333,0.51393926,0.56137216,0.45805842,0.5911418,0.50286543,0.6114196,0.78151244,0.61865765,0.6363229,0.65137994,0.55845696
11.5,3692,0.5690877,0.53406286,0.6983346,0.49707994,0.44856182,0.40443233,0.4098904,0.3920965,0.39013854,0.46291968,0.5256028,0.5479273
12.0,3835,0.40645826,0.44320318,0.5153808,0.42212585,0.41585034,0.48319933,0.42279008,0.5423989,0.437412,0.5959378,0.7029817,0.46366447
12.5,3762,0.19043328,0.28355864,0.3429221,0.18016459,0.17772184,0.22296314,0.3133032,0.5589389,0.32109717,0.36556518,0.37334034,0.36644733
13.0,3881,0.41124505,0.4538608,0.81563836,0.3992996,0.51610434,0.6657522,0.45934513,0.68742234,0.38526163,0.3972285,0.35797754,0.42309934
13.5,4119,0.2748043,0.5004002,0.7009207,0.6930313,0.5407115,0.32838443,0.18178226,0.16132823,0.14199829,0.14931265,0.1687846,0.21069041
14.0,4160,0.36622086,0.5355094,0.81417936,0.7086913,0.41909674,0.34659564,0.34926775,0.3090563,0.3103877,0.35647085,0.42586753,0.4030392
14.5,4325,0.52635205,0.5695441,0.7208971,0.57154125,0.48950613,0.4830273,0.4897191,0.45366678,0.42223847,0.46275523,0.4266006,0.45210928
