Second,Count,Spectral Centroid
0.0,342,11021.521836239432
0.5,699,7933.05262591813
1.0,852,7924.561414518005
1.5,1039,7940.039296733182
2.0,1111,8981.030859674564
2.5,1058,10262.494313209703
3.0,1107,9346.10195414478
3.5,1108,6736.992761440578
4.0,1192,4756.61840841835
4.5,1185,4752.161773816369
5.0,1273,4460.412186020659
5.5,1295,4797.709194045018
6.0,1375,3536.6223312991165
6.5,1294,3810.6363240170976
7.0,1374,3446.953710565845
7.5,1530,4180.782814212536
8.0,1677,4194.695706565544
8.5,1901,3652.72887830055
9.0,2099,3566.272685165024
9.5,2363,3802.6541250350615
10.0,2791,4473.821464779485
10.5,3054,4452.884185377874
11.0,3065,4683.186911046631
11.5,3226,5668.20432963684
12.0,3382,5047.18553990651
12.5,3695,3792.524329325512
13.0,3790,3929.012507120623
13.5,3978,4169.687286902738
14.0,3619,4302.941190215789
14.5,3555,3861.878295833831
15.0,3587,4068.466901525365
15.5,3459,5278.135628013321
16.0,3550,4413.241958945825
16.5,3558,4113.9806900884405
17.0,4004,5297.794279454236
17.5,4840,3941.874545495381
18.0,5007,4821.676672580928
18.5,4865,4458.424620761127
19.0,4654,3277.2104498496446
19.5,4626,3261.0355776401457
20.0,4454,3758.73595207413
20.5,4094,4155.840554758313
21.0,3883,4482.185832105441
21.5,4706,4912.124053014474
22.0,6007,5093.115411108996
22.5,6386,4140.005268174061
23.0,7054,3334.470962868495
23.5,7774,4103.739893263341
24.0,8128,4160.289964658037
24.5,7851,4300.680571573826
25.0,7364,5011.654175662638
25.5,7609,5321.585322784415
26.0,7937,3542.768141081328
26.5,8099,4521.337188833128
27.0,8293,3902.774206897024
27.5,8462,3822.0717673179806
28.0,8391,4367.981966165149
28.5,8469,4655.840677294977
29.0,8326,3605.867601935489
29.5,8535,3230.338109712688
30.0,8273,4612.33426550079
30.5,8103,3936.669732763672
31.0,7916,4175.897611292596
31.5,7737,3910.173663658279
32.0,7341,3506.531608675378
32.5,6711,3178.2538629988667
33.0,6429,3685.0908037806735
33.5,6811,3925.530202781442
34.0,6512,3811.015321818655
34.5,6354,4177.186767651703
35.0,6279,3872.544081639741
35.5,6439,3955.1904628316142
36.0,6526,3276.3616904047585
36.5,6278,5258.659063451414
37.0,6375,3724.8416913643737
37.5,6098,4402.067410897107
38.0,5988,4328.035080311784
38.5,5800,3454.3760397733467
39.0,5581,3429.433275290453
39.5,5572,4605.43553945045
40.0,5498,6155.627435716418
40.5,5510,3468.0335664530344
41.0,5215,3648.626144082847
41.5,5326,3392.97715477492
42.0,5153,4192.523873949072
42.5,4879,4136.4700723911055
43.0,4772,4972.949889663305
43.5,4844,4037.3892899832463
44.0,4718,4310.39989980896
44.5,4898,3788.490450293176
45.0,4824,3521.8610105579983
45.5,4845,3412.292082769793
46.0,5050,4385.911378692441
46.5,4994,5095.486905400988
47.0,4775,3613.496732103975
47.5,4690,3854.7834493916657
48.0,4636,3461.4516983027283
48.5,4310,3592.3663575203336
49.0,4143,3777.1261836749977
49.5,4195,3700.321945481184
50.0,4144,3940.425664462985
50.5,4201,3928.167957451128
51.0,4178,4263.539665795372
51.5,3979,3736.955278687908
52.0,3886,5148.421358079
52.5,3703,5577.293974796308
53.0,3903,5536.245952016285
53.5,3757,5546.547528125228
54.0,3775,3672.9637906138
54.5,3571,3338.0210329273204
55.0,3597,4191.076376096511
55.5,3340,4311.551123699663
56.0,3290,3443.322639720336
56.5,3086,3884.829047908247
57.0,2832,3492.142017320493
57.5,2964,4195.422183364041
58.0,2903,3488.3623346410723
58.5,2729,3345.017598722241
59.0,2927,3645.061362265117
59.5,2885,3556.579260956237
60.0,2782,3296.269521561695
60.5,2596,4474.65163878742
61.0,2501,3223.6939279446515
61.5,2610,3368.7938461630683
62.0,2734,3425.995160798333
62.5,2914,3371.2171802141697
63.0,3086,3738.882212802506
63.5,3195,3490.80693970438
64.0,3177,4228.379666619236
64.5,3215,3277.6605468530997
65.0,3027,3301.878553872659
65.5,3083,3634.719269170504
66.0,3227,3774.0400144652426
66.5,3196,3243.522810372997
67.0,3359,4534.909969586781
67.5,3475,3998.158019304351
68.0,3441,4227.598024684958
68.5,3453,4051.853744666933
69.0,2965,3442.680110022229
69.5,2962,3833.3903752972064
70.0,3079,3482.379846377896
70.5,2828,4125.209733394297
71.0,2970,3550.1789004207008
71.5,2863,3371.4479454263874
72.0,2835,3612.5695127176937
72.5,2882,3479.6432582817365
73.0,2770,3170.4318918126087
73.5,2549,4432.12229501527
74.0,2614,3188.775794981002
74.5,2377,3281.25098063473
75.0,2411,3367.072586862968
75.5,2367,3442.8479228606448
76.0,2141,3776.645464478634
76.5,2001,3343.4750429484484
77.0,2147,4166.714708800082
77.5,1999,3409.9396426028707
78.0,1969,3357.1076243715625
78.5,1829,4004.503453937988
79.0,2016,3981.237223017226
79.5,1890,3573.144804113225
80.0,1824,4309.741980579484
80.5,1806,4377.734148954304
81.0,1660,4069.718086609733
81.5,1553,3587.632640546409
82.0,1597,3711.619434038672
82.5,1541,4522.316634613172
83.0,1420,3700.752284782556
83.5,1501,4576.285557960092
84.0,1507,4830.663721181853
84.5,1489,3816.730970231867
85.0,1442,4085.959375136657
85.5,1400,3814.890656700226
86.0,1487,3233.394281913733
86.5,1475,3773.7605337992622
87.0,1620,4361.081999132899
87.5,1610,4864.70795158435
88.0,1592,3579.1077794974267
88.5,1682,4095.470364646212
89.0,1491,3682.3543671075463
89.5,1660,3541.59353222169
90.0,1701,3765.324777466591
90.5,1671,3923.862198607894
91.0,1555,4340.791973187431
91.5,1612,4532.453621195927
92.0,1738,4123.047783370555
92.5,1761,3424.815125344047
93.0,1774,3806.068786494016
93.5,1733,3981.92177602886
94.0,1731,3726.951156784949
94.5,1587,2820.0082791659825
95.0,1629,3537.013393051288
95.5,1538,3704.116040322425
96.0,1580,3465.905597780128
96.5,1530,3298.038340496328
97.0,1436,3016.422383329108
97.5,1408,3734.6405173044186
98.0,1425,4208.486234521248
98.5,1404,3938.773785715045
99.0,1452,3874.727030511157
99.5,1383,3427.7900261767486
100.0,1399,3969.6761113104776
100.5,1423,4193.825785273486
101.0,1396,2967.37173761104
101.5,1302,4189.415862631763
102.0,1328,3833.74330582971
102.5,1252,3312.569233338206
103.0,1319,3499.417806524311
103.5,1293,3935.0466247803447
104.0,1225,3360.364936713089
104.5,1239,3895.841258907152
105.0,1322,3441.528665714752
105.5,1242,3570.81822120462
106.0,1348,3588.55562799817
106.5,1342,4894.106472606957
107.0,1414,4294.803133408147
107.5,1508,4143.51183651843
108.0,1442,3654.917121934358
108.5,1404,3865.128405425941
109.0,1467,3571.307678980311
109.5,1416,3886.214676667155
110.0,1376,3667.590043211849
110.5,1290,3408.421391204784
111.0,1166,3718.3110346675294
111.5,1190,3406.5795864302268
112.0,1164,3343.568690132745
112.5,1204,4546.065646510639
113.0,1454,3169.7147816005977
113.5,1385,3298.735009856671
114.0,1306,3428.745866333232
114.5,1213,3621.899952212721
115.0,1240,3696.251017945382
115.5,1418,3646.591845668008
116.0,1456,3934.1581784922137
116.5,1270,3487.6271020651984
117.0,1441,3298.293711348128
117.5,1392,4074.45134311781
118.0,1392,3292.726647677899
118.5,1429,3457.8396999303213
119.0,1334,4404.777071785368
119.5,1350,4010.3602968926616
120.0,1242,3275.327718669439
120.5,1389,2025.1319028207445
121.0,1632,2631.200689634176
121.5,1451,2700.954501003136
122.0,1417,2211.395975708924
122.5,1435,1920.8837192474743
123.0,1228,2596.5390982566387
123.5,1214,2462.018841926566
124.0,1338,2028.3878692189908
124.5,1298,2246.145493383778
125.0,1373,2295.9247836851664
125.5,1487,1841.900475365544
126.0,1389,2286.5128740250507
126.5,1500,2411.9064971025105
127.0,1649,2287.2409911503837
127.5,1656,2806.459652575952
128.0,1575,2524.431880893016
128.5,1484,2005.8288172247364
129.0,1466,1981.662479088404
129.5,1431,2413.8672787006512
130.0,1531,2447.6180131574583
130.5,1629,3376.2865569823093
131.0,1673,2391.621417067592
131.5,1699,3123.856641315665
132.0,1739,2148.8921136769704
132.5,1702,4557.922960721905
133.0,1856,3555.3069657970905
133.5,1873,4170.593302208281
134.0,1790,4127.584488405582
134.5,1597,3983.1495044956846
135.0,1590,4765.396162383985
135.5,1558,4513.28456172203
136.0,1687,3408.87885461072
136.5,1649,3315.4980399409765
137.0,1773,4481.33682476621
137.5,1726,3952.973414525438
138.0,1900,4367.443954971025
138.5,1817,5248.968873830358
139.0,2029,4909.291403343887
139.5,2072,3583.510192245862
140.0,2197,3860.8366495689306
140.5,2118,4340.61158427406
141.0,2073,3791.251064372604
141.5,1895,4228.169782391852
142.0,1948,5238.294543388198
142.5,2108,5108.576912864716
143.0,2128,3538.3396021956355
143.5,2478,4915.124334441375
144.0,2284,3828.865332027418
144.5,2312,3508.358966469543
145.0,2312,4433.423134720075
145.5,2384,4049.318247078875
146.0,2122,3683.130268288879
146.5,1939,3813.599566567073
147.0,2006,4515.872860626295
147.5,1993,3677.128792758069
148.0,2003,3722.2724908730775
148.5,1893,3106.0330863155887
149.0,2077,3460.0728062242965
149.5,2119,2682.1091585841905
150.0,2019,4110.791428187926
150.5,1979,4022.0812325022057
151.0,1840,3731.9071771947088
151.5,1610,3423.6688673053022
152.0,1582,3476.803864463504
152.5,1418,3639.470684060732
153.0,1430,3135.877329919396
153.5,1564,5807.012212084333
154.0,1737,3722.876313727321
154.5,1566,4157.345243152143
155.0,1469,3272.99543372447
155.5,1568,3637.1875657538894
156.0,1663,3729.200697769775
156.5,1630,4528.706296460389
157.0,1670,5731.402537597175
157.5,1599,3923.6297438187753
158.0,1430,3794.834312765942
158.5,1429,3944.8062344192494
159.0,1291,3865.861707045764
159.5,1382,3378.228157314357
160.0,1327,5043.903101723227
160.5,1246,3343.574621259213
161.0,1127,4594.75089901757
161.5,1104,3350.4073596410594
162.0,1046,3529.040741224914
162.5,1132,3207.4320079431955
163.0,1169,4090.7788572802815
163.5,1254,4371.714765582145
164.0,1172,3229.589502961634
164.5,1199,3593.1651994995777
165.0,1098,3538.6223570229363
165.5,1115,3603.4748878686887
166.0,1141,3471.0470922492327
