Tempo (BPM),Beat Times (s)
[99.38401442],0.08126984126984127
[99.38401442],0.6733786848072563
[99.38401442],1.3235374149659864
[99.38401442],1.9969160997732427
[99.38401442],2.647074829931973
[99.38401442],3.308843537414966
[99.38401442],3.924172335600907
[99.38401442],4.527891156462585
[99.38401442],5.340589569160998
[99.38401442],5.944308390022676
[99.38401442],6.559637188208617
[99.38401442],7.163356009070295
[99.38401442],7.778684807256236
[99.38401442],8.579773242630386
[99.38401442],9.195102040816327
[99.38401442],9.798820861678005
[99.38401442],10.414149659863945
[99.38401442],11.017868480725623
[99.38401442],11.656417233560092
[99.38401442],12.434285714285714
[99.38401442],13.038004535147392
[99.38401442],13.653333333333334
[99.38401442],14.233832199546486
[99.38401442],15.046530612244897
[99.38401442],15.685079365079366
[99.38401442],16.288798185941044
[99.38401442],16.89251700680272
[99.38401442],17.507845804988662
[99.38401442],18.11156462585034
[99.38401442],18.889433106575964
[99.38401442],19.52798185941043
[99.38401442],20.340680272108845
[99.38401442],20.94439909297052
[99.38401442],21.559727891156463
[99.38401442],22.16344671201814
[99.38401442],22.77877551020408
[99.38401442],23.38249433106576
[99.38401442],23.939773242630384
[99.38401442],24.589931972789117
[99.38401442],25.205260770975055
[99.38401442],26.006349206349206
[99.38401442],26.610068027210886
[99.38401442],27.237006802721087
[99.38401442],27.840725623582767
[99.38401442],28.444444444444443
[99.38401442],29.013333333333332
[99.38401442],29.547392290249434
[99.38401442],30.081451247165532
[99.38401442],30.68517006802721
[99.38401442],31.288888888888888
[99.38401442],31.880997732426305
[99.38401442],32.496326530612244
[99.38401442],33.10004535147392
[99.38401442],33.66893424036281
[99.38401442],34.33070294784581
[99.38401442],34.93442176870748
[99.38401442],35.7471201814059
[99.38401442],36.35083900226758
[99.38401442],36.96616780045351
[99.38401442],37.56988662131519
[99.38401442],38.17360544217687
[99.38401442],38.730884353741494
[99.38401442],39.2649433106576
[99.38401442],39.7990022675737
[99.38401442],40.41433106575964
[99.38401442],41.00643990929705
[99.38401442],41.62176870748299
[99.38401442],42.22548752834467
[99.38401442],42.840816326530614
[99.38401442],43.456145124716556
[99.38401442],44.05986394557823
[99.38401442],44.66358276643991
[99.38401442],45.20925170068027
[99.38401442],45.743310657596375
[99.38401442],46.288979591836735
[99.38401442],46.892698412698415
[99.38401442],47.49641723356009
[99.38401442],48.11174603174603
[99.38401442],48.70385487528345
[99.38401442],49.33079365079365
[99.38401442],49.92290249433107
[99.38401442],50.54984126984127
[99.38401442],51.153560090702946
[99.38401442],51.94303854875283
[99.38401442],52.569977324263036
[99.38401442],53.18530612244898
[99.38401442],53.78902494331066
[99.38401442],54.36952380952381
[99.38401442],54.926802721088436
[99.38401442],55.472471655328796
[99.38401442],56.018140589569164
[99.38401442],56.62185941043084
[99.38401442],57.23718820861678
[99.38401442],57.84090702947846
[99.38401442],58.44462585034014
[99.38401442],59.05995464852608
[99.38401442],59.66367346938775
[99.38401442],60.279002267573695
[99.38401442],60.882721088435375
[99.38401442],61.486439909297054
[99.38401442],61.99727891156463
[99.38401442],62.5081179138322
[99.38401442],63.111836734693874
[99.38401442],63.715555555555554
[99.38401442],64.3308843537415
[99.38401442],64.93460317460317
[99.38401442],65.53832199546486
[99.38401442],66.1536507936508
[99.38401442],66.75736961451247
[99.38401442],67.36108843537414
[99.38401442],67.88353741496599
[99.38401442],68.44081632653061
[99.38401442],68.99809523809523
[99.38401442],69.60181405895692
[99.38401442],70.20553287981859
[99.38401442],70.80925170068028
[99.38401442],71.41297052154195
[99.38401442],72.02829931972789
[99.38401442],72.63201814058957
[99.38401442],73.24734693877551
[99.38401442],73.8510657596372
[99.38401442],74.46639455782314
[99.38401442],75.07011337868481
[99.38401442],75.67383219954648
[99.38401442],76.27755102040817
[99.38401442],76.89287981859411
[99.38401442],77.50820861678004
[99.38401442],78.11192743764173
[99.38401442],78.7156462585034
[99.38401442],79.33097505668934
[99.38401442],79.93469387755103
[99.38401442],80.5035827664399
[99.38401442],81.14213151927437
[99.38401442],81.72263038548753
[99.38401442],82.37278911564626
[99.38401442],82.97650793650794
[99.38401442],83.58022675736962
[99.38401442],84.17233560090703
