Tempo (BPM),Beat Times (s)
[120.18531977],0.3831292517006803
[120.18531977],0.905578231292517
[120.18531977],1.4048072562358276
[120.18531977],1.9040362811791383
[120.18531977],2.391655328798186
[120.18531977],2.8908843537414968
[120.18531977],3.3901133786848074
[120.18531977],3.889342403628118
[120.18531977],4.388571428571429
[120.18531977],4.887800453514739
[120.18531977],5.38702947845805
[120.18531977],5.88625850340136
[120.18531977],6.3854875283446715
[120.18531977],6.896326530612245
[120.18531977],7.395555555555555
[120.18531977],7.894784580498866
[120.18531977],8.382403628117913
[120.18531977],8.893242630385487
[120.18531977],9.392471655328798
[120.18531977],9.880090702947847
[120.18531977],10.39092970521542
[120.18531977],10.89015873015873
[120.18531977],11.400997732426303
[120.18531977],11.888616780045352
[120.18531977],12.387845804988663
[120.18531977],12.887074829931972
[120.18531977],13.386303854875283
[120.18531977],13.885532879818594
[120.18531977],14.384761904761906
[120.18531977],14.883990929705215
[120.18531977],15.383219954648526
[120.18531977],15.882448979591837
[120.18531977],16.381678004535146
[120.18531977],16.880907029478458
[120.18531977],17.39174603174603
[120.18531977],17.87936507936508
[120.18531977],18.390204081632653
[120.18531977],18.889433106575964
[120.18531977],19.4118820861678
[120.18531977],19.887891156462587
[120.18531977],20.387120181405894
[120.18531977],20.886349206349205
[120.18531977],21.385578231292516
[120.18531977],21.884807256235828
[120.18531977],22.38403628117914
[120.18531977],22.88326530612245
[120.18531977],23.38249433106576
[120.18531977],23.881723356009072
[120.18531977],24.346122448979592
[120.18531977],24.88018140589569
[120.18531977],25.391020408163264
[120.18531977],25.878639455782313
[120.18531977],26.389478458049886
[120.18531977],26.888707482993198
[120.18531977],27.38793650793651
[120.18531977],27.88716553287982
[120.18531977],28.374784580498865
[120.18531977],28.88562358276644
[120.18531977],29.38485260770975
[120.18531977],29.88408163265306
[120.18531977],30.383310657596372
[120.18531977],30.882539682539683
[120.18531977],31.393378684807256
[120.18531977],31.880997732426305
[120.18531977],32.391836734693875
[120.18531977],32.879455782312924
[120.18531977],33.36707482993197
[120.18531977],33.88952380952381
[120.18531977],34.38875283446712
[120.18531977],34.88798185941043
[120.18531977],35.38721088435374
[120.18531977],35.88643990929705
[120.18531977],36.385668934240364
[120.18531977],36.884897959183675
[120.18531977],37.39573696145125
[120.18531977],37.8833560090703
[120.18531977],38.38258503401361
[120.18531977],38.88181405895691
[120.18531977],39.39265306122449
[120.18531977],39.880272108843535
[120.18531977],40.379501133786846
[120.18531977],40.89034013605442
[120.18531977],41.38956916099773
[120.18531977],41.88879818594104
[120.18531977],42.38802721088435
[120.18531977],42.887256235827664
[120.18531977],43.39809523809524
[120.18531977],43.885714285714286
[120.18531977],44.3849433106576
[120.18531977],44.88417233560091
[120.18531977],45.39501133786848
[120.18531977],45.88263038548753
[120.18531977],46.393469387755104
[120.18531977],46.892698412698415
[120.18531977],47.391927437641726
[120.18531977],47.89115646258504
[120.18531977],48.39038548752834
[120.18531977],48.88961451247165
[120.18531977],49.400453514739226
[120.18531977],49.888072562358275
[120.18531977],50.387301587301586
[120.18531977],50.8865306122449
[120.18531977],51.39736961451247
[120.18531977],51.88498866213152
[120.18531977],52.38421768707483
[120.18531977],52.88344671201814
[120.18531977],53.40589569160998
[120.18531977],53.893514739229026
[120.18531977],54.39274376417234
