Tempo (BPM),Beat Times (s)
[129.19921875],0.2089795918367347
[129.19921875],0.6965986394557823
[129.19921875],1.1609977324263039
[129.19921875],1.6370068027210884
[129.19921875],2.10140589569161
[129.19921875],2.5658049886621317
[129.19921875],3.0418140589569163
[129.19921875],3.5062131519274375
[129.19921875],3.959002267573696
[129.19921875],4.446621315192743
[129.19921875],4.911020408163266
[129.19921875],5.352199546485261
[129.19921875],5.851428571428571
[129.19921875],6.315827664399093
[129.19921875],6.780226757369615
[129.19921875],7.2562358276643995
[129.19921875],7.720634920634921
[129.19921875],8.196643990929704
[129.19921875],8.661043083900227
[129.19921875],9.125442176870749
[129.19921875],9.601451247165533
[129.19921875],10.065850340136054
[129.19921875],10.530249433106576
[129.19921875],11.00625850340136
[129.19921875],11.470657596371883
[129.19921875],11.946666666666667
[129.19921875],12.411065759637188
[129.19921875],12.87546485260771
[129.19921875],13.339863945578232
[129.19921875],13.815873015873017
[129.19921875],14.280272108843537
[129.19921875],14.756281179138321
[129.19921875],15.220680272108844
[129.19921875],15.685079365079366
[129.19921875],16.16108843537415
[129.19921875],16.62548752834467
[129.19921875],17.101496598639457
[129.19921875],17.565895691609978
[129.19921875],18.030294784580498
[129.19921875],18.506303854875284
[129.19921875],18.970702947845805
[129.19921875],19.435102040816325
[129.19921875],19.89950113378685
[129.19921875],20.375510204081632
[129.19921875],20.839909297052156
[129.19921875],21.304308390022676
[129.19921875],21.78031746031746
[129.19921875],22.244716553287983
[129.19921875],22.720725623582766
[129.19921875],23.18512471655329
[129.19921875],23.64952380952381
[129.19921875],24.125532879818593
[129.19921875],24.589931972789117
[129.19921875],25.054331065759637
[129.19921875],25.530340136054424
[129.19921875],25.994739229024944
[129.19921875],26.470748299319727
[129.19921875],26.93514739229025
[129.19921875],27.39954648526077
[129.19921875],27.875555555555554
[129.19921875],28.339954648526078
[129.19921875],28.804353741496598
[129.19921875],29.245532879818594
[129.19921875],29.744761904761905
[129.19921875],30.209160997732425
[129.19921875],30.67356009070295
[129.19921875],31.13795918367347
[129.19921875],31.62557823129252
[129.19921875],32.08997732426304
[129.19921875],32.55437641723356
[129.19921875],33.03038548752834
[129.19921875],33.494784580498866
[129.19921875],33.97079365079365
[129.19921875],34.43519274376417
[129.19921875],34.911201814058956
[129.19921875],35.37560090702948
[129.19921875],35.851609977324266
[129.19921875],36.31600907029478
[129.19921875],36.78040816326531
[129.19921875],37.25641723356009
[129.19921875],37.72081632653061
[129.19921875],38.185215419501134
[129.19921875],38.64961451247166
[129.19921875],39.12562358276644
[129.19921875],39.59002267573696
[129.19921875],40.054421768707485
[129.19921875],40.530430839002264
[129.19921875],40.99482993197279
[129.19921875],41.45922902494331
[129.19921875],41.912018140589566
[129.19921875],42.41124716553288
[129.19921875],42.8756462585034
[129.19921875],43.36326530612245
[129.19921875],43.816054421768705
[129.19921875],44.28045351473923
[129.19921875],44.74485260770975
[129.19921875],45.22086167800453
[129.19921875],45.65043083900227
[129.19921875],46.11482993197279
[129.19921875],46.56761904761905
[129.19921875],46.95074829931973
[129.19921875],47.33387755102041
[129.19921875],47.79827664399093
[129.19921875],48.26267573696145
[129.19921875],48.72707482993197
[129.19921875],49.20308390022676
[129.19921875],49.66748299319728
[129.19921875],50.1318820861678
[129.19921875],50.59628117913832
[129.19921875],51.07229024943311
[129.19921875],51.54829931972789
[129.19921875],52.024308390022675
[129.19921875],52.47709750566894
[129.19921875],52.964716553287985
[129.19921875],53.4291156462585
[129.19921875],53.85868480725624
[129.19921875],54.25342403628118
[129.19921875],54.659773242630386
