Tempo (BPM),Beat Times (s)
[95.703125],0.9868480725623583
[95.703125],1.6137868480725623
[95.703125],2.2291156462585033
[95.703125],2.8908843537414968
[95.703125],3.4829931972789114
[95.703125],4.1099319727891155
[95.703125],4.73687074829932
[95.703125],5.363809523809524
[95.703125],5.990748299319728
[95.703125],6.6525170068027215
[95.703125],7.233015873015873
[95.703125],7.859954648526077
[95.703125],8.486893424036282
[95.703125],9.125442176870749
[95.703125],9.740770975056689
[95.703125],10.356099773242631
[95.703125],10.983038548752834
[95.703125],11.633197278911565
[95.703125],12.225306122448979
[95.703125],12.852244897959183
[95.703125],13.49079365079365
[95.703125],14.117732426303855
[95.703125],14.733061224489797
[95.703125],15.36
[95.703125],15.986938775510204
[95.703125],16.637097505668933
[95.703125],17.240816326530613
[95.703125],17.867755102040817
[95.703125],18.483083900226756
[95.703125],19.13324263038549
[95.703125],19.736961451247165
[95.703125],20.36390022675737
[95.703125],20.990839002267574
[95.703125],21.62938775510204
[95.703125],22.244716553287983
[95.703125],22.86004535147392
[95.703125],23.486984126984126
[95.703125],24.102312925170068
[95.703125],24.740861678004535
[95.703125],25.36780045351474
[95.703125],25.98312925170068
[95.703125],26.62167800453515
[95.703125],27.237006802721087
[95.703125],27.840725623582767
[95.703125],28.490884353741496
[95.703125],29.1178231292517
[95.703125],29.733151927437643
[95.703125],30.360090702947847
[95.703125],30.98702947845805
[95.703125],31.63718820861678
[95.703125],32.24090702947846
[95.703125],32.86784580498866
[95.703125],33.483174603174604
[95.703125],34.11011337868481
[95.703125],34.73705215419501
[95.703125],35.37560090702948
[95.703125],35.99092970521542
[95.703125],36.64108843537415
[95.703125],37.23319727891157
[95.703125],37.871746031746035
[95.703125],38.48707482993197
[95.703125],39.137233560090706
[95.703125],39.74095238095238
[95.703125],40.36789115646258
[95.703125],40.99482993197279
[95.703125],41.64498866213152
[95.703125],42.237097505668935
[95.703125],42.8756462585034
[95.703125],43.490975056689344
[95.703125],44.12952380952381
[95.703125],44.73324263038549
[95.703125],45.37179138321996
[95.703125],45.9871201814059
[95.703125],46.625668934240366
[95.703125],47.2409977324263
[95.703125],47.867936507936506
[95.703125],48.48326530612245
[95.703125],49.09859410430839
[95.703125],49.73714285714286
[95.703125],50.3524716553288
[95.703125],50.979410430839
[95.703125],51.57151927437642
[95.703125],52.23328798185941
[95.703125],52.87183673469388
[95.703125],53.48716553287982
[95.703125],54.12571428571429
[95.703125],54.72943310657596
[95.703125],55.36798185941043
[95.703125],55.99492063492063
[95.703125],56.62185941043084
[95.703125],57.23718820861678
[95.703125],57.875736961451246
[95.703125],58.49106575963719
[95.703125],59.11800453514739
[95.703125],59.7449433106576
[95.703125],60.36027210884354
[95.703125],60.98721088435374
[95.703125],61.61414965986395
[95.703125],62.24108843537415
[95.703125],62.86802721088436
