Tempo (BPM),Beat Times (s)
[139.67483108],0.08126984126984127
[139.67483108],0.5108390022675737
[139.67483108],0.9287981859410431
[139.67483108],1.3583673469387756
[139.67483108],1.787936507936508
[139.67483108],2.2175056689342405
[139.67483108],2.647074829931973
[139.67483108],3.076643990929705
[139.67483108],3.5062131519274375
[139.67483108],3.93578231292517
[139.67483108],4.365351473922902
[139.67483108],4.783310657596372
[139.67483108],5.2128798185941045
[139.67483108],5.642448979591837
[139.67483108],6.072018140589569
[139.67483108],6.501587301587302
[139.67483108],6.919546485260771
[139.67483108],7.360725623582766
[139.67483108],7.790294784580499
[139.67483108],8.219863945578231
[139.67483108],8.6378231292517
[139.67483108],9.079002267573696
[139.67483108],9.496961451247165
[139.67483108],9.926530612244898
[139.67483108],10.356099773242631
[139.67483108],10.785668934240363
[139.67483108],11.215238095238096
[139.67483108],11.644807256235827
[139.67483108],12.07437641723356
[139.67483108],12.503945578231292
[139.67483108],12.933514739229025
[139.67483108],13.363083900226757
[139.67483108],13.804263038548752
[139.67483108],14.222222222222221
[139.67483108],14.640181405895692
[139.67483108],15.09297052154195
[139.67483108],15.499319727891157
[139.67483108],15.928888888888888
[139.67483108],16.35845804988662
[139.67483108],16.799637188208617
[139.67483108],17.217596371882085
[139.67483108],17.65877551020408
[139.67483108],18.088344671201813
[139.67483108],18.517913832199547
[139.67483108],18.935873015873018
[139.67483108],19.365442176870747
[139.67483108],19.79501133786848
[139.67483108],20.224580498866214
[139.67483108],20.64253968253968
[139.67483108],21.072108843537414
[139.67483108],21.501678004535147
[139.67483108],21.93124716553288
[139.67483108],22.349206349206348
[139.67483108],22.790385487528344
[139.67483108],23.219954648526077
[139.67483108],23.661133786848072
[139.67483108],24.079092970521543
[139.67483108],24.52027210884354
[139.67483108],24.938231292517006
[139.67483108],25.379410430839002
[139.67483108],25.78575963718821
[139.67483108],26.21532879818594
[139.67483108],26.656507936507936
[139.67483108],27.08607709750567
[139.67483108],27.515646258503402
[139.67483108],27.93360544217687
[139.67483108],28.363174603174603
[139.67483108],28.792743764172336
[139.67483108],29.210702947845807
[139.67483108],29.640272108843536
[139.67483108],30.06984126984127
[139.67483108],30.499410430839003
