Tempo (BPM),Beat Times (s)
[112.34714674],0.22058956916099773
[112.34714674],0.7662585034013606
[112.34714674],1.2770975056689342
[112.34714674],1.787936507936508
[112.34714674],2.345215419501134
[112.34714674],2.8908843537414968
[112.34714674],3.4017233560090703
[112.34714674],3.912562358276644
[112.34714674],4.46984126984127
[112.34714674],5.015510204081632
[112.34714674],5.526349206349207
[112.34714674],6.03718820861678
[112.34714674],6.594467120181406
[112.34714674],7.1401360544217685
[112.34714674],7.650975056689342
[112.34714674],8.150204081632653
[112.34714674],8.695873015873016
[112.34714674],9.241541950113378
[112.34714674],9.775600907029478
[112.34714674],10.309659863945578
[112.34714674],10.797278911564625
[112.34714674],11.34294784580499
[112.34714674],11.888616780045352
[112.34714674],12.434285714285714
[112.34714674],12.968344671201814
[112.34714674],13.467573696145125
[112.34714674],14.036462585034014
[112.34714674],14.570521541950113
[112.34714674],15.09297052154195
[112.34714674],15.638639455782313
[112.34714674],16.149478458049888
[112.34714674],16.671927437641724
[112.34714674],17.182766439909297
[112.34714674],17.69360544217687
[112.34714674],18.274104308390022
[112.34714674],18.773333333333333
[112.34714674],19.284172335600907
[112.34714674],19.783401360544218
[112.34714674],20.352290249433107
[112.34714674],20.921179138321996
[112.34714674],21.478458049886623
[112.34714674],21.966077097505668
[112.34714674],22.534965986394557
[112.34714674],23.092244897959183
[112.34714674],23.603083900226757
[112.34714674],24.13714285714286
[112.34714674],24.659591836734695
[112.34714674],25.18204081632653
[112.34714674],25.704489795918366
[112.34714674],26.23854875283447
[112.34714674],26.772607709750567
[112.34714674],27.295056689342402
[112.34714674],27.829115646258504
[112.34714674],28.363174603174603
[112.34714674],28.897233560090704
[112.34714674],29.431292517006803
[112.34714674],29.930521541950114
[112.34714674],30.48780045351474
[112.34714674],31.010249433106576
[112.34714674],31.544308390022675
[112.34714674],32.07836734693878
[112.34714674],32.612426303854875
[112.34714674],33.14648526077097
[112.34714674],33.68054421768707
[112.34714674],34.21460317460318
[112.34714674],34.73705215419501
[112.34714674],35.25950113378685
[112.34714674],35.79356009070295
[112.34714674],36.327619047619045
[112.34714674],36.86167800453515
[112.34714674],37.384126984126986
[112.34714674],37.90657596371882
[112.34714674],38.39419501133787
[112.34714674],38.93986394557823
[112.34714674],39.50875283446712
[112.34714674],40.04281179138322
[112.34714674],40.57687074829932
[112.34714674],41.11092970521542
[112.34714674],41.64498866213152
[112.34714674],42.15582766439909
[112.34714674],42.67827664399093
[112.34714674],43.20072562358277
[112.34714674],43.71156462585034
[112.34714674],44.268843537414966
[112.34714674],44.81451247165533
[112.34714674],45.348571428571425
[112.34714674],45.88263038548753
[112.34714674],46.41668934240363
[112.34714674],46.939138321995465
[112.34714674],47.47319727891156
[112.34714674],48.00725623582766
[112.34714674],48.54131519274377
[112.34714674],49.0637641723356
[112.34714674],49.5978231292517
[112.34714674],50.1318820861678
[112.34714674],50.6659410430839
[112.34714674],51.2
[112.34714674],51.72244897959184
[112.34714674],52.25650793650794
[112.34714674],52.790566893424035
[112.34714674],53.31301587301587
[112.34714674],53.84707482993197
[112.34714674],54.381133786848075
[112.34714674],54.91519274376417
[112.34714674],55.44925170068027
[112.34714674],55.97170068027211
[112.34714674],56.505759637188206
[112.34714674],57.02820861678005
[112.34714674],57.56226757369615
[112.34714674],58.096326530612245
[112.34714674],58.63038548752834
[112.34714674],59.16444444444444
[112.34714674],59.686893424036285
[112.34714674],60.22095238095238
[112.34714674],60.75501133786848
[112.34714674],61.30068027210884
[112.34714674],61.811519274376415
[112.34714674],62.345578231292514
[112.34714674],62.87963718820862
[112.34714674],63.402086167800455
[112.34714674],63.93614512471655
[112.34714674],64.47020408163266
[112.34714674],65.00426303854876
[112.34714674],65.53832199546486
[112.34714674],66.06077097505668
[112.34714674],66.59482993197278
[112.34714674],67.1288888888889
[112.34714674],67.65133786848072
[112.34714674],68.18539682539682
[112.34714674],68.71945578231292
[112.34714674],69.24190476190476
[112.34714674],69.77596371882086
[112.34714674],70.26358276643991
[112.34714674],70.8324716553288
[112.34714674],71.3665306122449
[112.34714674],71.900589569161
[112.34714674],72.4346485260771
[112.34714674],72.9687074829932
[112.34714674],73.49115646258504
[112.34714674],74.02521541950114
[112.34714674],74.55927437641724
[112.34714674],75.09333333333333
[112.34714674],75.61578231292518
[112.34714674],76.14984126984127
[112.34714674],76.68390022675737
[112.34714674],77.2063492063492
[112.34714674],77.7404081632653
[112.34714674],78.27446712018141
[112.34714674],78.80852607709751
[112.34714674],79.33097505668934
[112.34714674],79.83020408163266
[112.34714674],80.30621315192744
[112.34714674],80.8518820861678
[112.34714674],81.39755102040816
[112.34714674],81.90839002267573
[112.34714674],82.43083900226758
[112.34714674],82.94167800453515
[112.34714674],83.53378684807257
[112.34714674],84.06784580498866
[112.34714674],84.60190476190476
[112.34714674],85.11274376417234
[112.34714674],85.6584126984127
[112.34714674],86.20408163265306
[112.34714674],86.73814058956916
[112.34714674],87.27219954648525
[112.34714674],87.80625850340137
[112.34714674],88.35192743764172
[112.34714674],88.89759637188209
[112.34714674],89.44326530612246
[112.34714674],89.96571428571428
[112.34714674],90.49977324263038
[112.34714674],91.02222222222223
[112.34714674],91.56789115646258
[112.34714674],92.09034013605442
[112.34714674],92.61278911564627
[112.34714674],93.14684807256236
[112.34714674],93.68090702947846
[112.34714674],94.22657596371882
[112.34714674],94.74902494331066
[112.34714674],95.2714739229025
[112.34714674],95.79392290249433
[112.34714674],96.32798185941043
[112.34714674],96.86204081632653
[112.34714674],97.39609977324263
[112.34714674],97.91854875283447
[112.34714674],98.45260770975057
[112.34714674],98.97505668934241
[112.34714674],99.50911564625851
[112.34714674],100.0431746031746
[112.34714674],100.5772335600907
[112.34714674],101.1112925170068
[112.34714674],101.63374149659865
[112.34714674],102.16780045351474
[112.34714674],102.70185941043084
[112.34714674],103.23591836734694
[112.34714674],103.76997732426304
[112.34714674],104.29242630385488
[112.34714674],104.82648526077098
[112.34714674],105.34893424036281
[112.34714674],105.8829931972789
[112.34714674],106.417052154195
[112.34714674],106.95111111111112
[112.34714674],107.47356009070295
[112.34714674],108.00761904761904
[112.34714674],108.54167800453514
[112.34714674],109.07573696145124
[112.34714674],109.59818594104308
[112.34714674],110.13224489795918
[112.34714674],110.66630385487528
[112.34714674],111.18875283446712
[112.34714674],111.73442176870748
[112.34714674],112.24526077097505
[112.34714674],112.75609977324262
[112.34714674],113.25532879818594
[112.34714674],113.81260770975057
[112.34714674],114.38149659863946
[112.34714674],114.91555555555556
[112.34714674],115.44961451247165
[112.34714674],115.9720634920635
[112.34714674],116.5061224489796
[112.34714674],117.02857142857142
[112.34714674],117.56263038548752
[112.34714674],118.09668934240362
[112.34714674],118.63074829931973
[112.34714674],119.15319727891156
[112.34714674],119.68725623582766
[112.34714674],120.22131519274376
