Tempo (BPM),Beat Times (s)
[107.66601562],0.4179591836734694
[107.66601562],0.9752380952380952
[107.66601562],1.5325170068027212
[107.66601562],2.089795918367347
[107.66601562],2.6354648526077096
[107.66601562],3.1927437641723357
[107.66601562],3.7500226757369615
[107.66601562],4.307301587301588
[107.66601562],4.864580498866213
[107.66601562],5.421859410430839
[107.66601562],5.979138321995465
[107.66601562],6.524807256235827
[107.66601562],7.070476190476191
[107.66601562],7.616145124716553
[107.66601562],8.196643990929704
[107.66601562],8.777142857142858
[107.66601562],9.311201814058958
[107.66601562],9.85687074829932
[107.66601562],10.402539682539683
[107.66601562],10.971428571428572
[107.66601562],11.528707482993198
[107.66601562],12.07437641723356
[107.66601562],12.631655328798185
[107.66601562],13.200544217687074
[107.66601562],13.64172335600907
[107.66601562],14.187392290249432
[107.66601562],14.744671201814059
[107.66601562],15.290340136054422
[107.66601562],15.847619047619048
[107.66601562],16.39328798185941
[107.66601562],16.950566893424035
[107.66601562],17.438185941043084
[107.66601562],17.96063492063492
[107.66601562],18.483083900226756
[107.66601562],18.99392290249433
[107.66601562],19.551201814058956
[107.66601562],20.085260770975058
[107.66601562],20.67736961451247
[107.66601562],21.2346485260771
[107.66601562],21.838367346938774
[107.66601562],22.38403628117914
[107.66601562],22.941315192743765
[107.66601562],23.486984126984126
[107.66601562],24.102312925170068
[107.66601562],24.740861678004535
[107.66601562],25.29814058956916
[107.66601562],25.843809523809522
[107.66601562],26.43591836734694
[107.66601562],27.039637188208616
[107.66601562],27.643356009070295
[107.66601562],28.200634920634922
[107.66601562],28.757913832199545
[107.66601562],29.31519274376417
[107.66601562],29.860861678004536
[107.66601562],30.360090702947847
[107.66601562],30.975419501133786
[107.66601562],31.544308390022675
[107.66601562],32.08997732426304
[107.66601562],32.64725623582766
[107.66601562],33.20453514739229
[107.66601562],33.75020408163265
[107.66601562],34.307482993197276
[107.66601562],34.864761904761906
[107.66601562],35.42204081632653
[107.66601562],35.97931972789116
[107.66601562],36.548208616780045
[107.66601562],37.093877551020405
[107.66601562],37.651156462585035
[107.66601562],38.196825396825396
[107.66601562],38.75410430839002
[107.66601562],39.29977324263039
[107.66601562],39.86866213151927
[107.66601562],40.4259410430839
[107.66601562],40.983219954648526
[107.66601562],41.56371882086168
[107.66601562],42.09777777777778
[107.66601562],42.6550566893424
[107.66601562],43.21233560090703
[107.66601562],43.75800453514739
[107.66601562],44.30367346938775
[107.66601562],44.872562358276646
[107.66601562],45.41823129251701
[107.66601562],45.97551020408163
[107.66601562],46.509569160997735
[107.66601562],47.09006802721088
[107.66601562],47.63573696145125
[107.66601562],48.193015873015874
[107.66601562],48.738684807256234
[107.66601562],49.30757369614513
[107.66601562],49.86485260770975
[107.66601562],50.42213151927437
[107.66601562],50.95619047619048
[107.66601562],51.536689342403626
[107.66601562],52.082358276643994
[107.66601562],52.63963718820862
[107.66601562],53.19691609977324
[107.66601562],53.75419501133787
[107.66601562],54.29986394557823
[107.66601562],54.868752834467124
[107.66601562],55.40281179138322
[107.66601562],55.97170068027211
[107.66601562],56.52897959183674
[107.66601562],57.08625850340136
[107.66601562],57.62031746031746
[107.66601562],58.200816326530614
[107.66601562],58.746485260770974
[107.66601562],59.3037641723356
[107.66601562],59.8378231292517
[107.66601562],60.41832199546485
[107.66601562],60.97560090702948
[107.66601562],61.532879818594104
[107.66601562],62.078548752834465
[107.66601562],62.61260770975057
[107.66601562],63.19310657596372
[107.66601562],63.622675736961455
[107.66601562],64.2960544217687
[107.66601562],64.8649433106576
[107.66601562],65.41061224489796
[107.66601562],65.97950113378685
[107.66601562],66.51356009070295
[107.66601562],67.08244897959183
[107.66601562],67.63972789115647
[107.66601562],68.19700680272109
[107.66601562],68.74267573696144
[107.66601562],69.31156462585034
[107.66601562],69.8572335600907
[107.66601562],70.4261224489796
[107.66601562],70.97179138321995
[107.66601562],71.54068027210884
[107.66601562],72.08634920634921
[107.66601562],72.64362811791383
[107.66601562],73.17768707482993
[107.66601562],73.75818594104308
[107.66601562],74.30385487528345
[107.66601562],74.86113378684807
[107.66601562],75.39519274376417
[107.66601562],75.97569160997732
[107.66601562],76.52136054421769
[107.66601562],77.09024943310658
[107.66601562],77.62430839002268
[107.66601562],78.19319727891157
[107.66601562],78.73886621315192
[107.66601562],79.21487528344672
[107.66601562],79.85342403628118
[107.66601562],80.42231292517006
[107.66601562],80.96798185941043
[107.66601562],81.53687074829932
[107.66601562],82.07092970521542
[107.66601562],82.63981859410431
[107.66601562],83.19709750566894
[107.66601562],83.66149659863946
[107.66601562],84.28843537414966
[107.66601562],84.86893424036282
[107.66601562],85.41460317460317
[107.66601562],85.98349206349206
[107.66601562],86.51755102040816
[107.66601562],87.08643990929706
[107.66601562],87.63210884353741
[107.66601562],88.2009977324263
[107.66601562],88.75827664399092
[107.66601562],89.29233560090702
[107.66601562],89.87283446712019
[107.66601562],90.43011337868481
[107.66601562],90.98739229024943
[107.66601562],91.50984126984127
[107.66601562],92.04390022675737
[107.66601562],92.5663492063492
[107.66601562],93.20489795918367
[107.66601562],93.77378684807256
[107.66601562],94.31945578231293
[107.66601562],94.87673469387755
[107.66601562],95.43401360544217
[107.66601562],96.01451247165532
[107.66601562],96.57179138321996
[107.66601562],97.11746031746031
[107.66601562],97.63990929705216
[107.66601562],98.19718820861678
[107.66601562],98.7544671201814
[107.66601562],99.31174603174603
[107.66601562],99.84580498866214
[107.66601562],100.42630385487529
