Tempo (BPM),Beat Times (s)
[95.703125],19.853061224489796
[95.703125],20.491609977324263
[95.703125],21.118548752834467
[95.703125],21.791927437641725
[95.703125],22.372426303854876
[95.703125],22.99936507936508
[95.703125],23.637913832199548
[95.703125],24.33451247165533
[95.703125],24.90340136054422
[95.703125],25.541950113378686
[95.703125],26.16888888888889
[95.703125],26.81904761904762
[95.703125],27.376326530612246
[95.703125],27.956825396825398
[95.703125],28.688253968253967
[95.703125],29.326802721088434
[95.703125],29.95374149659864
[95.703125],30.580680272108843
[95.703125],31.21922902494331
[95.703125],31.846167800453514
[95.703125],32.47310657596372
[95.703125],33.12326530612245
[95.703125],33.75020408163265
[95.703125],34.43519274376417
[95.703125],34.93442176870748
[95.703125],35.631020408163266
[95.703125],36.26956916099773
[95.703125],36.9081179138322
[95.703125],37.535056689342404
[95.703125],38.16199546485261
[95.703125],38.800544217687076
[95.703125],39.42748299319728
[95.703125],40.054421768707485
[95.703125],40.63492063492063
[95.703125],41.33151927437642
[95.703125],41.970068027210885
[95.703125],42.59700680272109
[95.703125],43.223945578231294
[95.703125],43.8508843537415
[95.703125],44.52426303854875
[95.703125],45.11637188208617
[95.703125],45.743310657596375
[95.703125],46.38185941043084
[95.703125],47.02040816326531
[95.703125],47.55446712018141
[95.703125],48.26267573696145
[95.703125],48.88961451247165
[95.703125],49.48172335600907
[95.703125],50.166712018140586
[95.703125],50.79365079365079
[95.703125],51.43219954648526
[95.703125],52.05913832199546
[95.703125],52.68607709750567
[95.703125],53.278185941043084
[95.703125],53.95156462585034
[95.703125],54.56689342403628
[95.703125],55.18222222222222
[95.703125],55.855600907029476
[95.703125],56.48253968253968
[95.703125],57.09786848072562
[95.703125],57.72480725623583
[95.703125],58.37496598639456
[95.703125],59.00190476190476
[95.703125],59.64045351473923
[95.703125],60.26739229024943
[95.703125],60.91755102040816
[95.703125],61.57931972789115
[95.703125],62.18303854875283
[95.703125],62.8215873015873
[95.703125],63.46013605442177
[95.703125],64.1102947845805
[95.703125],64.72562358276645
[95.703125],65.36417233560091
[95.703125],65.95628117913832
[95.703125],66.59482993197278
[95.703125],67.19854875283447
[95.703125],67.87192743764173
[95.703125],68.52208616780045
[95.703125],69.16063492063492
[95.703125],69.77596371882086
[95.703125],70.34485260770975
[95.703125],70.98340136054422
[95.703125],71.66839002267574
[95.703125],72.28371882086168
[95.703125],72.89904761904762
[95.703125],73.54920634920634
[95.703125],74.2225850340136
[95.703125],74.82630385487528
[95.703125],75.43002267573696
[95.703125],76.06857142857143
[95.703125],76.7071201814059
[95.703125],77.43854875283446
[95.703125],78.11192743764173
[95.703125],78.79691609977324
[95.703125],79.38902494331066
[95.703125],80.0043537414966
[95.703125],80.48036281179138
[95.703125],81.11891156462585
[95.703125],81.75746031746031
[95.703125],82.43083900226758
[95.703125],83.01133786848072
[95.703125],83.63827664399093
[95.703125],84.26521541950113
[95.703125],84.95020408163265
[95.703125],85.44943310657597
[95.703125],86.00671201814059
[95.703125],86.63365079365079
[95.703125],87.37668934240362
[95.703125],88.06167800453515
[95.703125],88.68861678004535
[95.703125],89.31555555555556
[95.703125],89.98893424036281
[95.703125],90.5926530612245
[95.703125],91.2195918367347
[95.703125],91.8465306122449
[95.703125],92.48507936507937
[95.703125],93.11201814058957
[95.703125],93.73895691609977
[95.703125],94.37750566893423
[95.703125],95.0160544217687
[95.703125],95.64299319727891
[95.703125],96.26993197278911
[95.703125],96.90848072562358
[95.703125],97.53541950113379
[95.703125],98.16235827664399
[95.703125],98.80090702947845
[95.703125],99.42784580498866
[95.703125],100.0431746031746
[95.703125],100.6701133786848
[95.703125],101.3318820861678
[95.703125],101.958820861678
[95.703125],102.5857596371882
[95.703125],103.18947845804989
[95.703125],103.85124716553288
[95.703125],104.47818594104308
[95.703125],105.01224489795918
[95.703125],105.74367346938776
[95.703125],106.38222222222223
[95.703125],107.00916099773242
[95.703125],107.82185941043083
[95.703125],108.3675283446712
[95.703125],108.91319727891157
[95.703125],109.52852607709751
[95.703125],110.09741496598639
[95.703125],110.79401360544217
[95.703125],111.31646258503402
[95.703125],111.97823129251701
[95.703125],112.64
[95.703125],113.32498866213152
[95.703125],113.85904761904762
[95.703125],114.57886621315193
[95.703125],115.19419501133787
[95.703125],115.85596371882086
[95.703125],116.48290249433107
[95.703125],117.06340136054422
[95.703125],117.71356009070294
[95.703125],118.37532879818595
[95.703125],119.00226757369614
[95.703125],119.58276643990929
[95.703125],120.23292517006803
[95.703125],120.90630385487529
[95.703125],121.53324263038549
[95.703125],122.17179138321995
[95.703125],122.79873015873015
[95.703125],123.43727891156463
[95.703125],124.06421768707483
[95.703125],124.69115646258503
[95.703125],125.3297052154195
[95.703125],125.9566439909297
[95.703125],126.5835827664399
[95.703125],127.22213151927437
[95.703125],127.84907029478458
[95.703125],128.48761904761903
[95.703125],129.11455782312925
[95.703125],129.75310657596373
[95.703125],130.3800453514739
[95.703125],131.00698412698412
[95.703125],131.59909297052155
[95.703125],132.2724716553288
[95.703125],132.899410430839
[95.703125],133.50312925170067
[95.703125],134.16489795918366
[95.703125],134.80344671201814
[95.703125],135.43038548752835
[95.703125],136.0689342403628
[95.703125],136.69587301587302
[95.703125],137.32281179138323
[95.703125],137.96136054421768
[95.703125],138.5882993197279
[95.703125],139.2152380952381
[95.703125],139.85378684807256
[95.703125],140.48072562358277
[95.703125],141.11927437641722
[95.703125],141.74621315192744
[95.703125],142.37315192743765
[95.703125],143.0117006802721
[95.703125],143.65024943310658
[95.703125],144.2771882086168
[95.703125],144.90412698412698
[95.703125],145.54267573696146
[95.703125],146.16961451247167
[95.703125],146.79655328798185
[95.703125],147.43510204081633
[95.703125],148.07365079365078
[95.703125],148.700589569161
[95.703125],149.3275283446712
[95.703125],149.95446712018142
[95.703125],150.59301587301587
[95.703125],151.21995464852608
[95.703125],151.8120634920635
[95.703125],152.48544217687075
[95.703125],153.11238095238096
[95.703125],153.71609977324263
[95.703125],154.36625850340135
[95.703125],155.01641723356008
[95.703125],155.6433560090703
[95.703125],156.28190476190477
[95.703125],156.90884353741495
[95.703125],157.53578231292516
[95.703125],158.17433106575965
[95.703125],158.80126984126983
[95.703125],159.42820861678004
[95.703125],160.06675736961452
[95.703125],160.6936961451247
[95.703125],161.32063492063492
[95.703125],161.94757369614513
[95.703125],162.53968253968253
[95.703125],163.18984126984128
[95.703125],163.84
[95.703125],164.47854875283446
[95.703125],165.10548752834467
[95.703125],165.74403628117915
[95.703125],166.3825850340136
[95.703125],167.0095238095238
[95.703125],167.59002267573698
[95.703125],168.15891156462584
[95.703125],168.72780045351473
[95.703125],169.29668934240362
[95.703125],169.86557823129252
