Tempo (BPM),Beat Times (s)
[114.84375],0.8243083900226758
[114.84375],1.3699773242630386
[114.84375],1.8808163265306121
[114.84375],2.426485260770975
[114.84375],2.948934240362812
[114.84375],3.4713832199546486
[114.84375],3.9938321995464854
[114.84375],4.527891156462585
[114.84375],5.050340136054421
[114.84375],5.584399092970521
[114.84375],6.106848072562358
[114.84375],6.640907029478458
[114.84375],7.151746031746032
[114.84375],7.685804988662132
[114.84375],8.208253968253969
[114.84375],8.730702947845804
[114.84375],9.264761904761905
[114.84375],9.787210884353742
[114.84375],10.32126984126984
[114.84375],10.843718820861678
[114.84375],11.366167800453514
[114.84375],11.900226757369614
[114.84375],12.422675736961452
[114.84375],12.945124716553288
[114.84375],13.467573696145125
[114.84375],14.001632653061224
[114.84375],14.524081632653061
[114.84375],15.058140589569161
[114.84375],15.580589569160997
[114.84375],16.103038548752835
[114.84375],16.637097505668933
[114.84375],17.159546485260773
[114.84375],17.68199546485261
[114.84375],18.216054421768707
[114.84375],18.738503401360543
[114.84375],19.272562358276645
[114.84375],19.783401360544218
[114.84375],20.317460317460316
[114.84375],20.816689342403627
[114.84375],21.36235827664399
[114.84375],21.89641723356009
[114.84375],22.418866213151926
[114.84375],22.941315192743765
[114.84375],23.475374149659864
[114.84375],23.9978231292517
[114.84375],24.5318820861678
[114.84375],25.042721088435375
[114.84375],25.576780045351473
[114.84375],26.09922902494331
[114.84375],26.63328798185941
[114.84375],27.155736961451247
[114.84375],27.68979591836735
[114.84375],28.212244897959184
[114.84375],28.73469387755102
[114.84375],29.257142857142856
[114.84375],29.791201814058958
[114.84375],30.313650793650794
[114.84375],30.847709750566892
[114.84375],31.37015873015873
[114.84375],31.90421768707483
[114.84375],32.41505668934241
[114.84375],32.949115646258505
[114.84375],33.47156462585034
[114.84375],34.00562358276644
[114.84375],34.53968253968254
[114.84375],35.05052154195011
[114.84375],35.561360544217685
[114.84375],36.10702947845805
[114.84375],36.62947845804989
[114.84375],37.16353741496599
[114.84375],37.67437641723356
[114.84375],38.22004535147392
[114.84375],38.74249433106576
[114.84375],39.2649433106576
[114.84375],39.77578231292517
[114.84375],40.321451247165534
[114.84375],40.84390022675737
[114.84375],41.366349206349206
[114.84375],41.88879818594104
[114.84375],42.42285714285714
[114.84375],42.94530612244898
[114.84375],43.47936507936508
[114.84375],44.00181405895692
[114.84375],44.535873015873015
[114.84375],45.04671201814059
[114.84375],45.58077097505669
[114.84375],46.10321995464852
[114.84375],46.63727891156463
[114.84375],47.159727891156464
[114.84375],47.6821768707483
[114.84375],48.204625850340136
[114.84375],48.738684807256234
[114.84375],49.26113378684807
[114.84375],49.795192743764176
[114.84375],50.31764172335601
[114.84375],50.85170068027211
[114.84375],51.374149659863946
[114.84375],51.89659863945578
[114.84375],52.41904761904762
[114.84375],52.953106575963716
[114.84375],53.46394557823129
[114.84375],53.998004535147395
[114.84375],54.52045351473923
[114.84375],55.05451247165533
[114.84375],55.576961451247165
[114.84375],56.11102040816326
[114.84375],56.62185941043084
[114.84375],57.167528344671204
[114.84375],57.68997732426304
[114.84375],58.212426303854876
[114.84375],58.73487528344671
[114.84375],59.26893424036281
[114.84375],59.791383219954646
[114.84375],60.31383219954648
[114.84375],60.84789115646259
[114.84375],61.37034013605442
[114.84375],61.89278911564626
[114.84375],62.42684807256236
[114.84375],62.94929705215419
[114.84375],63.48335600907029
[114.84375],64.00580498866213
[114.84375],64.52825396825396
[114.84375],65.0507029478458
[114.84375],65.5847619047619
[114.84375],66.10721088435375
[114.84375],66.62965986394558
[114.84375],67.15210884353742
[114.84375],67.68616780045352
[114.84375],68.22022675736962
[114.84375],68.74267573696144
[114.84375],69.26512471655329
[114.84375],69.79918367346939
[114.84375],70.32163265306123
[114.84375],70.84408163265306
[114.84375],71.3665306122449
[114.84375],71.900589569161
[114.84375],72.42303854875283
[114.84375],72.9338775510204
[114.84375],73.46793650793651
[114.84375],74.00199546485261
[114.84375],74.52444444444444
[114.84375],75.05850340136054
[114.84375],75.58095238095238
[114.84375],76.11501133786848
[114.84375],76.63746031746032
[114.84375],77.15990929705215
[114.84375],77.70557823129252
[114.84375],78.2164172335601
[114.84375],78.72725623582767
[114.84375],79.26131519274377
[114.84375],79.7837641723356
[114.84375],80.3178231292517
[114.84375],80.84027210884354
[114.84375],81.37433106575963
[114.84375],81.88517006802721
[114.84375],82.43083900226758
[114.84375],82.94167800453515
[114.84375],83.47573696145125
[114.84375],83.99818594104309
[114.84375],84.53224489795919
