Tempo (BPM),Beat Times (s)
[161.49902344],0.3599092970521542
[161.49902344],0.7314285714285714
[161.49902344],1.1029478458049886
[161.49902344],1.474467120181406
[161.49902344],1.8692063492063493
[161.49902344],2.2291156462585033
[161.49902344],2.6238548752834467
[161.49902344],2.9837641723356008
[161.49902344],3.3668934240362813
[161.49902344],3.7384126984126986
[161.49902344],4.1099319727891155
[161.49902344],4.481451247165533
[161.49902344],4.864580498866213
[161.49902344],5.224489795918367
[161.49902344],5.607619047619048
[161.49902344],5.990748299319728
[161.49902344],6.373877551020408
[161.49902344],6.733786848072563
[161.49902344],7.116916099773243
[161.49902344],7.48843537414966
[161.49902344],7.87156462585034
[161.49902344],8.231473922902495
[161.49902344],8.626213151927438
[161.49902344],8.986122448979591
[161.49902344],9.369251700680271
[161.49902344],9.740770975056689
[161.49902344],10.112290249433107
[161.49902344],10.483809523809525
[161.49902344],10.866938775510205
[161.49902344],11.226848072562358
[161.49902344],11.6215873015873
[161.49902344],11.981496598639456
[161.49902344],12.376235827664399
[161.49902344],12.736145124716554
[161.49902344],13.119274376417234
[161.49902344],13.479183673469388
[161.49902344],13.862312925170068
[161.49902344],14.233832199546486
[161.49902344],14.628571428571428
[161.49902344],14.988480725623583
[161.49902344],15.371609977324264
[161.49902344],15.731519274376417
[161.49902344],16.12625850340136
[161.49902344],16.486167800453515
[161.49902344],16.869297052154195
[161.49902344],17.22920634920635
[161.49902344],17.61233560090703
[161.49902344],17.98385487528345
[161.49902344],18.36698412698413
[161.49902344],18.738503401360543
[161.49902344],19.121632653061223
[161.49902344],19.481541950113378
[161.49902344],19.86467120181406
[161.49902344],20.236190476190476
[161.49902344],20.619319727891156
[161.49902344],20.990839002267574
[161.49902344],21.36235827664399
[161.49902344],21.73387755102041
[161.49902344],22.151836734693877
[161.49902344],22.488526077097507
[161.49902344],22.871655328798187
[161.49902344],23.2431746031746
[161.49902344],23.61469387755102
[161.49902344],23.986213151927437
[161.49902344],24.369342403628117
[161.49902344],24.740861678004535
[161.49902344],25.112380952380953
[161.49902344],25.48390022675737
[161.49902344],25.86702947845805
[161.49902344],26.226938775510202
[161.49902344],26.610068027210886
[161.49902344],26.9815873015873
[161.49902344],27.36471655328798
[161.49902344],27.736235827664398
[161.49902344],28.11936507936508
[161.49902344],28.479274376417234
[161.49902344],28.862403628117914
[161.49902344],29.23392290249433
[161.49902344],29.61705215419501
[161.49902344],29.9653514739229
[161.49902344],30.313650793650794
[161.49902344],30.731609977324265
[161.49902344],31.126349206349207
[161.49902344],31.48625850340136
[161.49902344],31.846167800453514
[161.49902344],32.24090702947846
[161.49902344],32.62403628117914
[161.49902344],32.98394557823129
[161.49902344],33.36707482993197
[161.49902344],33.73859410430839
[161.49902344],34.11011337868481
[161.49902344],34.481632653061226
[161.49902344],34.864761904761906
[161.49902344],35.236281179138324
[161.49902344],35.619410430839004
[161.49902344],35.99092970521542
[161.49902344],36.3740589569161
[161.49902344],36.73396825396826
[161.49902344],37.11709750566894
[161.49902344],37.477006802721085
[161.49902344],37.860136054421766
[161.49902344],38.23165532879818
[161.49902344],38.626394557823126
[161.49902344],38.98630385487528
[161.49902344],39.3578231292517
[161.49902344],39.72934240362812
[161.49902344],40.1124716553288
[161.49902344],40.483990929705215
[161.49902344],40.867120181405895
[161.49902344],41.23863945578231
[161.49902344],41.61015873015873
[161.49902344],41.98167800453515
[161.49902344],42.353197278911566
[161.49902344],42.736326530612246
[161.49902344],43.10784580498866
[161.49902344],43.47936507936508
[161.49902344],43.86249433106576
[161.49902344],44.23401360544218
[161.49902344],44.61714285714286
[161.49902344],44.98866213151928
[161.49902344],45.37179138321996
[161.49902344],45.743310657596375
[161.49902344],46.126439909297055
[161.49902344],46.4863492063492
[161.49902344],46.86947845804988
[161.49902344],47.2409977324263
[161.49902344],47.62412698412698
[161.49902344],47.98403628117914
[161.49902344],48.36716553287982
[161.49902344],48.738684807256234
[161.49902344],49.121814058956915
[161.49902344],49.49333333333333
[161.49902344],49.86485260770975
[161.49902344],50.24798185941043
[161.49902344],50.63111111111111
[161.49902344],50.991020408163266
[161.49902344],51.36253968253968
[161.49902344],51.7340589569161
[161.49902344],52.128798185941044
[161.49902344],52.4887074829932
[161.49902344],52.86022675736962
[161.49902344],53.231746031746034
[161.49902344],53.614875283446715
[161.49902344],53.98639455782313
[161.49902344],54.36952380952381
[161.49902344],54.74104308390023
[161.49902344],55.11256235827664
[161.49902344],55.48408163265306
[161.49902344],55.855600907029476
[161.49902344],56.23873015873016
[161.49902344],56.62185941043084
[161.49902344],56.98176870748299
[161.49902344],57.36489795918367
[161.49902344],57.73641723356009
[161.49902344],58.11954648526077
[161.49902344],58.49106575963719
[161.49902344],58.862585034013605
[161.49902344],59.23410430839002
[161.49902344],59.6172335600907
[161.49902344],59.98875283446712
[161.49902344],60.3718820861678
[161.49902344],60.73179138321996
[161.49902344],61.11492063492064
[161.49902344],61.486439909297054
[161.49902344],61.869569160997735
[161.49902344],62.24108843537415
[161.49902344],62.635827664399095
[161.49902344],62.99573696145125
[161.49902344],63.36725623582767
[161.49902344],63.73877551020408
[161.49902344],64.13351473922903
[161.49902344],64.49342403628118
[161.49902344],64.85333333333334
[161.49902344],65.23646258503402
[161.49902344],65.6195918367347
[161.49902344],65.99111111111111
[161.49902344],66.36263038548753
[161.49902344],66.74575963718821
[161.49902344],67.11727891156463
[161.49902344],67.48879818594105
[161.49902344],67.89514739229026
[161.49902344],68.24344671201814
[161.49902344],68.62657596371882
[161.49902344],68.99809523809523
[161.49902344],69.39283446712018
[161.49902344],69.78757369614513
[161.49902344],70.14748299319727
[161.49902344],70.49578231292517
[161.49902344],70.90213151927438
[161.49902344],71.23882086167801
[161.49902344],71.62195011337869
[161.49902344],71.98185941043084
[161.49902344],72.36498866213152
[161.49902344],72.73650793650793
[161.49902344],73.10802721088436
[161.49902344],73.47954648526077
[161.49902344],73.86267573696145
[161.49902344],74.23419501133787
[161.49902344],74.61732426303855
[161.49902344],74.98884353741497
[161.49902344],75.36036281179139
[161.49902344],75.7318820861678
[161.49902344],76.11501133786848
[161.49902344],76.48653061224489
[161.49902344],76.86965986394557
[161.49902344],77.22956916099773
[161.49902344],77.6126984126984
[161.49902344],77.98421768707483
[161.49902344],78.36734693877551
[161.49902344],78.73886621315192
[161.49902344],79.11038548752835
[161.49902344],79.48190476190476
[161.49902344],79.86503401360544
[161.49902344],80.23655328798186
[161.49902344],80.6312925170068
[161.49902344],80.99120181405895
[161.49902344],81.36272108843538
[161.49902344],81.73424036281179
[161.49902344],82.11736961451247
[161.49902344],82.4888888888889
[161.49902344],82.8604081632653
[161.49902344],83.23192743764173
[161.49902344],83.61505668934241
[161.49902344],83.98657596371882
[161.49902344],84.3697052154195
[161.49902344],84.74122448979591
[161.49902344],85.11274376417234
[161.49902344],85.48426303854875
[161.49902344],85.86739229024943
[161.49902344],86.22730158730158
[161.49902344],86.61043083900226
[161.49902344],86.98195011337869
[161.49902344],87.36507936507937
[161.49902344],87.73659863945578
[161.49902344],88.1081179138322
[161.49902344],88.47963718820861
[161.49902344],88.8627664399093
[161.49902344],89.22267573696145
[161.49902344],89.6174149659864
[161.49902344],89.97732426303855
[161.49902344],90.32562358276644
[161.49902344],90.73197278911564
[161.49902344],91.11510204081632
[161.49902344],91.48662131519275
[161.49902344],91.8465306122449
[161.49902344],92.24126984126984
[161.49902344],92.63600907029479
[161.49902344],92.99591836734695
[161.49902344],93.36743764172336
[161.49902344],93.73895691609977
[161.49902344],94.13369614512472
[161.49902344],94.49360544217687
[161.49902344],94.87673469387755
[161.49902344],95.23664399092971
[161.49902344],95.61977324263039
[161.49902344],95.97968253968254
[161.49902344],96.37442176870748
[161.49902344],96.73433106575963
[161.49902344],97.10585034013606
[161.49902344],97.48897959183674
[161.49902344],97.86049886621315
[161.49902344],98.23201814058957
[161.49902344],98.62675736961451
[161.49902344],98.98666666666666
[161.49902344],99.36979591836734
[161.49902344],99.71809523809524
[161.49902344],100.12444444444445
[161.49902344],100.49596371882086
[161.49902344],100.86748299319729
[161.49902344],101.2390022675737
[161.49902344],101.6105215419501
[161.49902344],101.98204081632653
[161.49902344],102.35356009070294
[161.49902344],102.73668934240362
[161.49902344],103.1198185941043
[161.49902344],103.47972789115646
[161.49902344],103.86285714285714
[161.49902344],104.23437641723356
[161.49902344],104.61750566893424
[161.49902344],104.98902494331065
[161.49902344],105.36054421768708
[161.49902344],105.73206349206349
[161.49902344],106.11519274376417
[161.49902344],106.4867120181406
[161.49902344],106.86984126984127
[161.49902344],107.24136054421768
[161.49902344],107.62448979591836
[161.49902344],107.98439909297052
[161.49902344],108.3675283446712
[161.49902344],108.73904761904762
[161.49902344],109.1221768707483
[161.49902344],109.49369614512472
[161.49902344],109.86521541950114
[161.49902344],110.24834467120182
[161.49902344],110.6314739229025
[161.49902344],110.99138321995464
[161.49902344],111.36290249433107
[161.49902344],111.73442176870748
[161.49902344],112.12916099773243
[161.49902344],112.50068027210884
[161.49902344],112.860589569161
[161.49902344],113.23210884353742
[161.49902344],113.6152380952381
[161.49902344],113.98675736961451
[161.49902344],114.36988662131519
[161.49902344],114.74140589569161
[161.49902344],115.11292517006802
[161.49902344],115.48444444444445
[161.49902344],115.85596371882086
[161.49902344],116.23909297052154
[161.49902344],116.62222222222222
[161.49902344],116.98213151927438
[161.49902344],117.36526077097506
[161.49902344],117.73678004535148
[161.49902344],118.11990929705216
[161.49902344],118.49142857142857
[161.49902344],118.87455782312925
[161.49902344],119.2344671201814
[161.49902344],119.61759637188209
[161.49902344],119.9891156462585
[161.49902344],120.37224489795918
[161.49902344],120.73215419501133
[161.49902344],121.11528344671201
[161.49902344],121.48680272108844
[161.49902344],121.86993197278912
[161.49902344],122.24145124716553
[161.49902344],122.63619047619048
[161.49902344],122.99609977324263
[161.49902344],123.36761904761904
[161.49902344],123.73913832199547
[161.49902344],124.1338775510204
[161.49902344],124.49378684807256
[161.49902344],124.85369614512472
[161.49902344],125.2368253968254
[161.49902344],125.61995464852608
[161.49902344],125.9914739229025
[161.49902344],126.37460317460318
[161.49902344],126.74612244897959
[161.49902344],127.12925170068027
[161.49902344],127.48916099773243
[161.49902344],127.8722902494331
[161.49902344],128.24380952380952
[161.49902344],128.6269387755102
[161.49902344],128.98684807256237
[161.49902344],129.35836734693876
[161.49902344],129.7298866213152
[161.49902344],130.12462585034012
[161.49902344],130.49614512471655
[161.49902344],130.86766439909297
[161.49902344],131.2391836734694
[161.49902344],131.62231292517006
[161.49902344],131.9938321995465
[161.49902344],132.35374149659864
[161.49902344],132.7368707482993
[161.49902344],133.13160997732427
[161.49902344],133.49151927437643
[161.49902344],133.86303854875283
[161.49902344],134.23455782312925
[161.49902344],134.6292970521542
[161.49902344],134.98920634920634
[161.49902344],135.36072562358277
[161.49902344],135.7322448979592
[161.49902344],136.09215419501135
[161.49902344],136.48689342403628
[161.49902344],136.8584126984127
[161.49902344],137.24154195011337
[161.49902344],137.6130612244898
[161.49902344],137.98458049886622
[161.49902344],138.35609977324262
[161.49902344],138.7392290249433
[161.49902344],139.12235827664398
[161.49902344],139.48226757369613
[161.49902344],139.85378684807256
[161.49902344],140.22530612244898
[161.49902344],140.58521541950114
[161.49902344],140.9683446712018
[161.49902344],141.27020408163264
[161.49902344],141.61850340136056
[161.49902344],141.99002267573695
[161.49902344],142.3499319727891
[161.49902344],142.74467120181407
[161.49902344],143.09297052154196
[161.49902344],143.51092970521543
[161.49902344],143.8708390022676
[161.49902344],144.19591836734693
[161.49902344],144.50938775510204
[161.49902344],144.82285714285715
[161.49902344],145.14793650793652
[161.49902344],145.47301587301587
[161.49902344],145.83292517006802
[161.49902344],146.16961451247167
[161.49902344],146.57596371882087
[161.49902344],146.98231292517008
[161.49902344],147.377052154195
[161.49902344],147.73696145124717
[161.49902344],148.12009070294783
[161.49902344],148.49160997732426
[161.49902344],148.85151927437641
[161.49902344],149.2346485260771
[161.49902344],149.6061678004535
[161.49902344],149.9892970521542
[161.49902344],150.37242630385487
[161.49902344],150.7439455782313
[161.49902344],151.12707482993198
[161.49902344],151.48698412698414
[161.49902344],151.8701133786848
[161.49902344],152.23002267573696
[161.49902344],152.6247619047619
[161.49902344],152.98467120181405
[161.49902344],153.35619047619048
[161.49902344],153.7277097505669
[161.49902344],154.08761904761906
[161.49902344],154.482358276644
[161.49902344],154.86548752834466
[161.49902344],155.23700680272108
[161.49902344],155.62013605442178
[161.49902344],155.98004535147393
[161.49902344],156.3631746031746
[161.49902344],156.73469387755102
[161.49902344],157.1178231292517
[161.49902344],157.47773242630385
[161.49902344],157.86086167800454
[161.49902344],158.20916099773243
[161.49902344],158.60390022675736
[161.49902344],158.98702947845806
[161.49902344],159.32371882086167
[161.49902344],159.73006802721088
[161.49902344],160.08997732426303
[161.49902344],160.484716553288
[161.49902344],160.90267573696144
[161.49902344],161.32063492063492
[161.49902344],161.71537414965985
[161.49902344],162.08689342403628
[161.49902344],162.47002267573697
[161.49902344],162.81832199546486
[161.49902344],163.16662131519274
[161.49902344],163.50331065759636
[161.49902344],163.8632199546485
[161.49902344],164.23473922902494
[161.49902344],164.61786848072563
[161.49902344],164.98938775510203
[161.49902344],165.36090702947845
[161.49902344],165.73242630385488
[161.49902344],166.11555555555555
[161.49902344],166.48707482993197
[161.49902344],166.8585941043084
[161.49902344],167.24172335600906
[161.49902344],167.61324263038549
[161.49902344],167.9847619047619
[161.49902344],168.36789115646258
[161.49902344],168.739410430839
[161.49902344],169.1225396825397
[161.49902344],169.4940589569161
[161.49902344],169.86557823129252
[161.49902344],170.2487074829932
[161.49902344],170.6202267573696
[161.49902344],170.99174603174603
[161.49902344],171.3748752834467
[161.49902344],171.73478458049885
[161.49902344],172.11791383219955
[161.49902344],172.48943310657597
[161.49902344],172.87256235827664
[161.49902344],173.24408163265306
[161.49902344],173.62721088435373
[161.49902344],173.98712018140588
[161.49902344],174.3586394557823
[161.49902344],174.73015873015873
[161.49902344],175.12489795918367
[161.49902344],175.4964172335601
[161.49902344],175.86793650793652
[161.49902344],176.23945578231292
[161.49902344],176.61097505668934
[161.49902344],176.99410430839004
[161.49902344],177.36562358276643
[161.49902344],177.73714285714286
[161.49902344],178.10866213151928
[161.49902344],178.48018140589568
[161.49902344],178.8517006802721
[161.49902344],179.2348299319728
[161.49902344],179.61795918367346
[161.49902344],179.9894784580499
[161.49902344],180.3609977324263
[161.49902344],180.7325170068027
[161.49902344],181.1156462585034
[161.49902344],181.48716553287983
[161.49902344],181.8702947845805
[161.49902344],182.23020408163265
[161.49902344],182.62494331065759
[161.49902344],182.98485260770974
[161.49902344],183.36798185941043
[161.49902344],183.73950113378686
[161.49902344],184.11102040816326
[161.49902344],184.48253968253968
[161.49902344],184.86566893424038
[161.49902344],185.23718820861677
[161.49902344],185.63192743764174
[161.49902344],185.9918367346939
[161.49902344],186.3633560090703
[161.49902344],186.7348752834467
[161.49902344],187.1180045351474
[161.49902344],187.4895238095238
[161.49902344],187.86104308390023
[161.49902344],188.23256235827665
[161.49902344],188.61569160997732
[161.49902344],188.98721088435374
[161.49902344],189.3703401360544
[161.49902344],189.74185941043083
[161.49902344],190.12498866213153
[161.49902344],190.49650793650792
[161.49902344],190.86802721088435
[161.49902344],191.23954648526077
[161.49902344],191.6342857142857
[161.49902344],191.99419501133787
[161.49902344],192.3657142857143
[161.49902344],192.73723356009071
[161.49902344],193.12036281179138
[161.49902344],193.4918820861678
[161.49902344],193.86340136054423
[161.49902344],194.2465306122449
[161.49902344],194.61804988662132
[161.49902344],194.98956916099775
[161.49902344],195.36108843537414
[161.49902344],195.73260770975057
[161.49902344],196.11573696145123
[161.49902344],196.48725623582766
[161.49902344],196.87038548752835
[161.49902344],197.24190476190475
[161.49902344],197.6366439909297
[161.49902344],197.9849433106576
[161.49902344],198.35646258503402
[161.49902344],198.72798185941042
[161.49902344],199.09950113378684
[161.49902344],199.49424036281178
[161.49902344],199.85414965986394
[161.49902344],200.23727891156463
[161.49902344],200.6204081632653
[161.49902344],200.98031746031745
[161.49902344],201.36344671201815
[161.49902344],201.73496598639457
[161.49902344],202.1297052154195
[161.49902344],202.48961451247166
[161.49902344],202.87274376417233
[161.49902344],203.24426303854875
[161.49902344],203.62739229024945
[161.49902344],203.98730158730157
[161.49902344],204.358820861678
[161.49902344],204.7419501133787
[161.49902344],205.12507936507936
[161.49902344],205.4849886621315
[161.49902344],205.85650793650794
[161.49902344],206.25124716553287
[161.49902344],206.6227664399093
[161.49902344],206.98267573696145
[161.49902344],207.35419501133788
[161.49902344],207.73732426303854
[161.49902344],208.12045351473924
[161.49902344],208.49197278911564
[161.49902344],208.86349206349206
[161.49902344],209.23501133786849
[161.49902344],209.62975056689342
[161.49902344],209.98965986394558
[161.49902344],210.361179138322
[161.49902344],210.73269841269843
[161.49902344],211.10421768707482
[161.49902344],211.48734693877552
[161.49902344],211.85886621315194
[161.49902344],212.2419954648526
[161.49902344],212.61351473922903
[161.49902344],212.98503401360543
