Tempo (BPM),Beat Times (s)
[139.67483108],21.466848072562357
[139.67483108],21.942857142857143
[139.67483108],22.360816326530614
[139.67483108],22.825215419501134
[139.67483108],23.254784580498868
[139.67483108],23.661133786848072
[139.67483108],24.090702947845806
[139.67483108],24.508662131519273
[139.67483108],24.891791383219953
[139.67483108],25.356190476190477
[139.67483108],25.797369614512473
[139.67483108],26.226938775510202
[139.67483108],26.656507936507936
[139.67483108],27.08607709750567
[139.67483108],27.515646258503402
[139.67483108],27.93360544217687
[139.67483108],28.374784580498865
[139.67483108],28.804353741496598
[139.67483108],29.23392290249433
[139.67483108],29.675102040816327
[139.67483108],30.093061224489794
[139.67483108],30.53424036281179
[139.67483108],30.95219954648526
[139.67483108],31.37015873015873
[139.67483108],31.764897959183674
[139.67483108],32.229297052154195
[139.67483108],32.658866213151924
[139.67483108],33.08843537414966
[139.67483108],33.51800453514739
[139.67483108],33.94757369614513
[139.67483108],34.365532879818595
[139.67483108],34.81832199546485
[139.67483108],35.236281179138324
[139.67483108],35.65424036281179
[139.67483108],36.04897959183673
[139.67483108],36.53659863945578
[139.67483108],36.977777777777774
[139.67483108],37.384126984126986
[139.67483108],37.802086167800454
[139.67483108],38.23165532879818
[139.67483108],38.66122448979592
[139.67483108],39.07918367346939
[139.67483108],39.497142857142855
[139.67483108],39.92671201814059
[139.67483108],40.35628117913832
[139.67483108],40.79746031746032
[139.67483108],41.23863945578231
[139.67483108],41.65659863945578
[139.67483108],42.08616780045352
[139.67483108],42.515736961451246
[139.67483108],42.94530612244898
[139.67483108],43.37487528344671
[139.67483108],43.80444444444444
[139.67483108],44.23401360544218
[139.67483108],44.651972789115646
[139.67483108],45.09315192743764
[139.67483108],45.51111111111111
[139.67483108],45.94068027210884
[139.67483108],46.37024943310658
[139.67483108],46.79981859410431
[139.67483108],47.22938775510204
[139.67483108],47.658956916099775
[139.67483108],48.088526077097505
[139.67483108],48.50648526077097
[139.67483108],48.93605442176871
[139.67483108],49.33079365079365
[139.67483108],49.783582766439906
[139.67483108],50.23637188208617
[139.67483108],50.6659410430839
[139.67483108],51.08390022675737
[139.67483108],51.478639455782314
[139.67483108],51.87337868480726
[139.67483108],52.32616780045351
[139.67483108],52.77895691609977
[139.67483108],53.22013605442177
[139.67483108],53.661315192743764
[139.67483108],54.090884353741494
[139.67483108],54.50884353741497
[139.67483108],54.926802721088436
[139.67483108],55.36798185941043
[139.67483108],55.80916099773243
[139.67483108],56.23873015873016
[139.67483108],56.65668934240363
[139.67483108],57.08625850340136
[139.67483108],57.51582766439909
[139.67483108],57.94539682539683
[139.67483108],58.37496598639456
[139.67483108],58.792925170068024
[139.67483108],59.2108843537415
[139.67483108],59.65206349206349
[139.67483108],60.08163265306123
[139.67483108],60.51120181405896
[139.67483108],60.95238095238095
[139.67483108],61.41678004535147
[139.67483108],61.84634920634921
[139.67483108],62.26430839002268
[139.67483108],62.67065759637188
[139.67483108],63.07700680272109
[139.67483108],63.506575963718824
[139.67483108],63.92453514739229
[139.67483108],64.36571428571429
[139.67483108],64.79528344671202
[139.67483108],65.2132426303855
[139.67483108],65.64281179138322
[139.67483108],66.06077097505668
[139.67483108],66.47873015873016
[139.67483108],66.90829931972789
[139.67483108],67.32625850340136
[139.67483108],67.77904761904762
