Tempo (BPM),Beat Times (s)
[126.04801829],0.08126984126984127
[126.04801829],0.5572789115646258
[126.04801829],1.18421768707483
[126.04801829],1.6486167800453515
[126.04801829],2.124625850340136
[126.04801829],2.6006349206349206
[126.04801829],3.076643990929705
[126.04801829],3.7035827664399092
[126.04801829],4.179591836734694
[126.04801829],4.655600907029479
[126.04801829],5.131609977324263
[126.04801829],5.758548752834467
[126.04801829],6.2345578231292516
[126.04801829],6.710566893424036
[126.04801829],7.186575963718821
[126.04801829],7.650975056689342
[126.04801829],8.126984126984127
[126.04801829],8.602993197278911
[126.04801829],9.229931972789116
[126.04801829],9.7059410430839
[126.04801829],10.24
[126.04801829],10.7740589569161
[126.04801829],11.284897959183674
[126.04801829],11.749297052154194
[126.04801829],12.225306122448979
[126.04801829],12.701315192743763
[126.04801829],13.188934240362812
[126.04801829],13.653333333333334
[126.04801829],14.280272108843537
[126.04801829],14.756281179138321
[126.04801829],15.232290249433106
[126.04801829],15.70829931972789
[126.04801829],16.172698412698413
[126.04801829],16.61387755102041
[126.04801829],17.055056689342404
[126.04801829],17.4962358276644
[126.04801829],17.902585034013605
[126.04801829],18.297324263038547
[126.04801829],18.715283446712018
[126.04801829],19.17968253968254
[126.04801829],19.655691609977325
[126.04801829],20.131700680272107
[126.04801829],20.607709750566894
[126.04801829],21.072108843537414
[126.04801829],21.559727891156463
[126.04801829],22.024126984126983
[126.04801829],22.50013605442177
[126.04801829],22.96453514739229
[126.04801829],23.42893424036281
[126.04801829],23.881723356009072
[126.04801829],24.38095238095238
[126.04801829],24.845351473922904
[126.04801829],25.33297052154195
[126.04801829],25.774149659863944
[126.04801829],26.284988662131518
[126.04801829],26.760997732426304
[126.04801829],27.237006802721087
[126.04801829],27.68979591836735
[126.04801829],28.15419501133787
[126.04801829],28.63020408163265
[126.04801829],29.1178231292517
[126.04801829],29.593832199546487
[126.04801829],30.081451247165532
[126.04801829],30.55746031746032
[126.04801829],31.02185941043084
[126.04801829],31.48625850340136
[126.04801829],31.962267573696145
[126.04801829],32.43827664399093
[126.04801829],32.91428571428571
[126.04801829],33.3902947845805
[126.04801829],33.866303854875284
[126.04801829],34.34231292517007
[126.04801829],34.81832199546485
[126.04801829],35.20145124716553
[126.04801829],35.60780045351474
[126.04801829],36.07219954648526
[126.04801829],36.548208616780045
[126.04801829],37.02421768707483
[126.04801829],37.50022675736962
[126.04801829],37.9762358276644
[126.04801829],38.45224489795918
[126.04801829],38.905034013605444
[126.04801829],39.43909297052154
[126.04801829],39.84544217687075
[126.04801829],40.28662131519275
[126.04801829],40.71619047619048
[126.04801829],41.145759637188206
[126.04801829],41.61015873015873
[126.04801829],42.074557823129254
[126.04801829],42.5621768707483
[126.04801829],43.10784580498866
[126.04801829],43.653514739229024
[126.04801829],44.14113378684807
[126.04801829],44.582312925170065
[126.04801829],45.081541950113376
[126.04801829],45.5459410430839
[126.04801829],46.021950113378686
[126.04801829],46.49795918367347
[126.04801829],46.985578231292514
[126.04801829],47.438367346938776
[126.04801829],47.89115646258504
[126.04801829],48.34394557823129
[126.04801829],48.77351473922902
[126.04801829],49.20308390022676
[126.04801829],49.69070294784581
[126.04801829],50.14349206349206
[126.04801829],50.607891156462586
[126.04801829],51.07229024943311
[126.04801829],51.54829931972789
[126.04801829],52.024308390022675
[126.04801829],52.50031746031746
[126.04801829],53.04598639455782
[126.04801829],53.60326530612245
[126.04801829],54.06766439909297
[126.04801829],54.543673469387755
[126.04801829],55.01968253968254
[126.04801829],55.414421768707484
[126.04801829],55.82077097505669
[126.04801829],56.28517006802721
[126.04801829],56.74956916099773
[126.04801829],57.225578231292516
[126.04801829],57.713197278911565
[126.04801829],58.18920634920635
[126.04801829],58.65360544217687
[126.04801829],59.11800453514739
[126.04801829],59.59401360544218
[126.04801829],60.070022675736965
[126.04801829],60.47637188208617
[126.04801829],60.91755102040816
[126.04801829],61.3471201814059
[126.04801829],61.811519274376415
[126.04801829],62.2875283446712
[126.04801829],62.76353741496599
[126.04801829],63.239546485260774
[126.04801829],63.715555555555554
[126.04801829],64.17995464852608
[126.04801829],64.65596371882086
[126.04801829],65.12036281179138
[126.04801829],65.52671201814059
[126.04801829],65.96789115646258
[126.04801829],66.39746031746031
[126.04801829],66.86185941043084
[126.04801829],67.33786848072562
[126.04801829],67.81387755102041
[126.04801829],68.28988662131519
[126.04801829],68.76589569160998
[126.04801829],69.2302947845805
[126.04801829],69.70630385487529
[126.04801829],70.18231292517007
[126.04801829],70.58866213151927
[126.04801829],71.00662131519275
[126.04801829],71.43619047619048
[126.04801829],71.91219954648525
[126.04801829],72.38820861678005
[126.04801829],72.86421768707483
[126.04801829],73.32861678004535
[126.04801829],73.8162358276644
[126.04801829],74.29224489795918
[126.04801829],74.7566439909297
[126.04801829],75.22104308390023
[126.04801829],75.65061224489796
[126.04801829],76.08018140589569
[126.04801829],76.50975056689343
[126.04801829],76.97414965986394
[126.04801829],77.43854875283446
[126.04801829],77.91455782312926
[126.04801829],78.39056689342404
[126.04801829],78.86657596371882
[126.04801829],79.34258503401361
[126.04801829],79.80698412698413
[126.04801829],80.28299319727891
[126.04801829],80.77061224489796
[126.04801829],81.25823129251701
[126.04801829],81.73424036281179
[126.04801829],82.22185941043084
[126.04801829],82.70947845804989
[126.04801829],83.16226757369614
[126.04801829],83.61505668934241
[126.04801829],84.06784580498866
[126.04801829],84.4974149659864
[126.04801829],84.95020408163265
[126.04801829],85.39138321995465
[126.04801829],85.86739229024943
[126.04801829],86.34340136054422
[126.04801829],86.78458049886622
[126.04801829],87.2257596371882
[126.04801829],87.6669387755102
[126.04801829],88.15455782312925
[126.04801829],88.6421768707483
[126.04801829],89.11818594104308
[126.04801829],89.6174149659864
[126.04801829],90.1514739229025
[126.04801829],90.69714285714285
[126.04801829],91.17315192743764
[126.04801829],91.64916099773242
[126.04801829],92.12517006802722
[126.04801829],92.601179138322
[126.04801829],93.07718820861678
[126.04801829],93.5415873015873
[126.04801829],94.01759637188209
[126.04801829],94.49360544217687
[126.04801829],94.96961451247165
[126.04801829],95.44562358276644
[126.04801829],95.84036281179138
[126.04801829],96.28154195011338
[126.04801829],96.71111111111111
[126.04801829],97.17551020408163
[126.04801829],97.65151927437641
[126.04801829],98.1275283446712
[126.04801829],98.60353741496598
[126.04801829],99.2304761904762
[126.04801829],99.70648526077098
[126.04801829],100.15927437641723
[126.04801829],100.64689342403628
[126.04801829],101.13451247165533
[126.04801829],101.6105215419501
[126.04801829],102.07492063492063
[126.04801829],102.56253968253968
[126.04801829],103.0269387755102
[126.04801829],103.47972789115646
[126.04801829],103.93251700680273
[126.04801829],104.30403628117914
[126.04801829],104.76843537414966
[126.04801829],105.20961451247166
[126.04801829],105.70884353741496
[126.04801829],106.18485260770976
[126.04801829],106.66086167800454
[126.04801829],107.13687074829932
[126.04801829],107.61287981859411
[126.04801829],108.07727891156462
[126.04801829],108.53006802721089
[126.04801829],108.98285714285714
[126.04801829],109.48208616780046
[126.04801829],109.98131519274376
[126.04801829],110.45732426303854
[126.04801829],110.92172335600907
[126.04801829],111.38612244897959
[126.04801829],111.86213151927437
[126.04801829],112.33814058956916
[126.04801829],112.81414965986394
[126.04801829],113.29015873015874
[126.04801829],113.75455782312925
[126.04801829],114.23056689342404
[126.04801829],114.70657596371882
[126.04801829],115.1825850340136
[126.04801829],115.64698412698412
[126.04801829],116.05333333333333
[126.04801829],116.51773242630385
[126.04801829],116.92408163265306
[126.04801829],117.38848072562358
[126.04801829],117.86448979591837
[126.04801829],118.34049886621315
[126.04801829],118.81650793650793
[126.04801829],119.29251700680273
[126.04801829],119.75691609977325
[126.04801829],120.23292517006803
[126.04801829],120.70893424036281
[126.04801829],121.1849433106576
[126.04801829],121.66095238095238
[126.04801829],122.19501133786848
[126.04801829],122.71746031746032
[126.04801829],123.2282993197279
[126.04801829],123.6346485260771
[126.04801829],124.02938775510204
[126.04801829],124.49378684807256
[126.04801829],124.96979591836735
[126.04801829],125.44580498866213
[126.04801829],125.92181405895691
[126.04801829],126.38621315192744
[126.04801829],126.87383219954648
[126.04801829],127.33823129251701
[126.04801829],127.81424036281179
[126.04801829],128.29024943310657
[126.04801829],128.76625850340136
[126.04801829],129.2538775510204
[126.04801829],129.8575963718821
[126.04801829],130.33360544217686
[126.04801829],130.80961451247165
[126.04801829],131.21596371882086
[126.04801829],131.6455328798186
[126.04801829],132.07510204081632
[126.04801829],132.5511111111111
[126.04801829],133.01551020408164
[126.04801829],133.49151927437643
[126.04801829],133.9675283446712
[126.04801829],134.443537414966
[126.04801829],134.9079365079365
[126.04801829],135.39555555555555
[126.04801829],135.87156462585034
[126.04801829],136.2895238095238
[126.04801829],136.7074829931973
[126.04801829],137.12544217687073
[126.04801829],137.60145124716553
[126.04801829],138.07746031746032
[126.04801829],138.54185941043085
[126.04801829],139.0178684807256
[126.04801829],139.4938775510204
[126.04801829],139.9698866213152
[126.04801829],140.43428571428572
[126.04801829],140.92190476190476
[126.04801829],141.42113378684806
[126.04801829],141.89714285714285
[126.04801829],142.36154195011338
[126.04801829],142.81433106575963
[126.04801829],143.27873015873016
[126.04801829],143.69668934240363
[126.04801829],144.09142857142857
[126.04801829],144.54421768707482
[126.04801829],145.00861678004534
[126.04801829],145.4033560090703
[126.04801829],145.92580498866212
[126.04801829],146.39020408163265
[126.04801829],146.80816326530612
[126.04801829],147.29578231292518
[126.04801829],147.78340136054422
[126.04801829],148.27102040816325
[126.04801829],148.75863945578232
[126.04801829],149.28108843537416
[126.04801829],149.80353741496597
[126.04801829],150.25632653061226
[126.04801829],150.72072562358278
[126.04801829],151.23156462585035
[126.04801829],151.66113378684807
[126.04801829],152.1255328798186
[126.04801829],152.6015419501134
[126.04801829],153.07755102040815
[126.04801829],153.55356009070294
[126.04801829],154.01795918367347
[126.04801829],154.56362811791382
[126.04801829],155.12090702947845
[126.04801829],155.59691609977324
[126.04801829],156.07292517006803
[126.04801829],156.47927437641724
[126.04801829],156.90884353741495
[126.04801829],157.3384126984127
[126.04801829],157.8144217687075
[126.04801829],158.29043083900225
[126.04801829],158.76643990929705
[126.04801829],159.23083900226757
[126.04801829],159.70684807256237
[126.04801829],160.18285714285713
[126.04801829],160.65886621315192
[126.04801829],161.12326530612245
[126.04801829],161.52961451247165
[126.04801829],161.9591836734694
[126.04801829],162.40036281179138
[126.04801829],162.87637188208618
[126.04801829],163.3407709750567
[126.04801829],163.84
[126.04801829],164.38566893424036
[126.04801829],164.91972789115647
[126.04801829],165.39573696145123
[126.04801829],165.83691609977325
[126.04801829],166.33614512471655
[126.04801829],166.81215419501135
[126.04801829],167.2881632653061
[126.04801829],167.7641723356009
[126.04801829],168.2401814058957
[126.04801829],168.70458049886622
[126.04801829],169.15736961451248
[126.04801829],169.61015873015873
[126.04801829],170.03972789115647
[126.04801829],170.4692970521542
[126.04801829],170.95691609977325
[126.04801829],171.39809523809524
[126.04801829],171.86249433106576
[126.04801829],172.33850340136055
[126.04801829],172.80290249433108
[126.04801829],173.2905215419501
[126.04801829],173.75492063492064
[126.04801829],174.31219954648526
[126.04801829],174.8578684807256
[126.04801829],175.3338775510204
[126.04801829],175.8098866213152
[126.04801829],176.28589569160997
[126.04801829],176.69224489795917
[126.04801829],177.13342403628118
[126.04801829],177.55138321995466
[126.04801829],178.01578231292518
[126.04801829],178.49179138321995
