Second,Count,Tempo (BPM),Beat Times (s)
0.0,191,[107.66601562],0.4179591836734694
0.5,337,[107.66601562],0.9752380952380952
1.0,337,[107.66601562],1.5325170068027212
1.5,335,[107.66601562],2.089795918367347
2.0,406,[107.66601562],2.6354648526077096
2.5,420,[107.66601562],3.192743764172336
3.0,410,[107.66601562],3.7500226757369615
3.5,413,[107.66601562],4.307301587301588
4.0,438,[107.66601562],4.864580498866213
4.5,485,[107.66601562],5.421859410430839
5.0,511,[107.66601562],5.979138321995465
5.5,529,[107.66601562],6.524807256235827
6.0,705,[107.66601562],7.070476190476191
6.5,851,[107.66601562],7.616145124716553
7.0,909,[107.66601562],8.196643990929704
7.5,872,[107.66601562],8.777142857142858
8.0,916,[107.66601562],9.311201814058958
8.5,855,[107.66601562],9.85687074829932
9.0,807,[107.66601562],10.402539682539684
9.5,739,[107.66601562],10.971428571428572
10.0,761,[107.66601562],11.528707482993198
10.5,769,[107.66601562],12.07437641723356
11.0,799,[107.66601562],12.631655328798184
11.5,1001,[107.66601562],13.200544217687074
12.0,972,[107.66601562],13.64172335600907
12.5,1043,[107.66601562],14.187392290249432
13.0,1184,[107.66601562],14.74467120181406
13.5,1270,[107.66601562],15.290340136054422
14.0,1477,[107.66601562],15.847619047619048
14.5,1739,[107.66601562],16.39328798185941
15.0,2035,[107.66601562],16.950566893424035
15.5,2298,[107.66601562],17.438185941043084
16.0,2703,[107.66601562],17.96063492063492
16.5,2970,[107.66601562],18.48308390022676
17.0,3441,[107.66601562],18.99392290249433
17.5,3918,[107.66601562],19.55120181405896
18.0,4091,[107.66601562],20.085260770975054
18.5,4415,[107.66601562],20.67736961451247
19.0,4701,[107.66601562],21.2346485260771
19.5,4891,[107.66601562],21.83836734693877
20.0,5108,[107.66601562],22.38403628117914
20.5,5120,[107.66601562],22.941315192743765
21.0,4830,[107.66601562],23.48698412698413
21.5,4745,[107.66601562],24.102312925170068
22.0,4521,[107.66601562],24.74086167800453
22.5,4699,[107.66601562],25.29814058956916
23.0,4669,[107.66601562],25.84380952380952
23.5,4864,[107.66601562],26.43591836734694
24.0,5037,[107.66601562],27.039637188208616
24.5,4815,[107.66601562],27.643356009070292
25.0,5074,[107.66601562],28.20063492063492
25.5,4995,[107.66601562],28.757913832199545
26.0,4561,[107.66601562],29.31519274376417
26.5,4752,[107.66601562],29.860861678004536
27.0,4874,[107.66601562],30.360090702947847
27.5,4537,[107.66601562],30.975419501133786
28.0,4651,[107.66601562],31.544308390022675
28.5,4481,[107.66601562],32.08997732426304
29.0,4150,[107.66601562],32.64725623582766
29.5,4011,[107.66601562],33.20453514739229
30.0,4043,[107.66601562],33.75020408163265
30.5,3843,[107.66601562],34.30748299319728
31.0,3980,[107.66601562],34.864761904761906
31.5,4236,[107.66601562],35.42204081632653
