Second,Count
0,529
1,994
2,1176
3,1142
4,1143
5,1252
6,1457
7,1685
8,2088
9,2552
10,3081
11,3583
12,4056
13,4718
14,4897
15,5389
16,5709
17,5992
18,6067
19,6049
20,5899
21,6010
22,5837
23,5801
24,5789
25,5621
26,5622
27,5361
28,5281
29,4937
30,4971
31,4749
32,4615
33,4513
34,4498
35,4305
36,4381
37,4489
38,4235
39,4369
40,4337
41,4221
42,4189
43,4305
44,4118
45,4025
46,4007
47,3799
48,3759
49,3310
50,3565
51,3334
52,3532
53,3794
54,4604
55,4838
56,4632
57,4455
58,4371
59,4324
60,4261
61,4366
62,4529
63,5462
64,6125
65,6830
66,8126
67,8884
68,9938
69,10900
70,11746
71,12019
72,12177
73,11838
74,12344
75,12309
76,12123
77,11686
78,11301
79,11437
80,11415
81,10731
82,10399
83,10469
84,9899
85,9586
86,9597
87,9013
88,8778
89,8594
90,7834
91,7603
92,7293
93,7155
94,6561
95,6291
96,6256
97,6006
98,5779
99,5466
100,5303
101,5207
102,4983
103,4751
104,4709
105,4399
106,4317
107,4285
108,3941
109,3832
110,3811
111,3638
112,3551
113,3554
114,3411
115,3277
116,3214
117,3221
118,3224
119,3103
120,3010
121,2900
122,2873
123,2779
124,2638
125,2613
126,2771
127,2849
128,3165
129,3421
130,3734
131,3954
132,4294
133,4389
134,4600
135,4608
136,4840
137,4848
138,4629
139,4450
140,4513
141,4595
142,4519
143,4350
144,4447
145,4421
146,4361
147,4288
148,4329
149,4140
150,4211
151,4121
152,3967
153,3782
154,3616
155,3502
156,3389
157,3270
158,3264
159,3004
160,2821
161,2773
162,2566
163,2600
164,2594
165,2557
166,2402
167,2391
168,2273
169,2235
170,2145
171,2062
172,2051
173,1880
174,1901
175,1754
176,1818
177,1742
178,1711
179,1664
180,1616
181,1633
182,1547
183,1440
184,1512
185,1431
186,1426
187,1297
188,1347
189,1247
190,1309
191,1316
192,1290
193,1331
194,1509
195,1894
196,1734
197,1708
198,1587
199,1527
200,1517
201,1594
202,1719
203,1830
204,2180
205,2562
206,3095
207,3299
208,3710
209,3910
210,3994
211,4314
212,4664
213,4724
214,5057
215,4233
216,4116
217,3971
218,4032
219,3645
220,3666
221,3613
222,3544
223,3343
224,3331
225,3100
226,2232
227,1285
228,662
229,325
230,216
231,104
232,54
233,20
234,8
235,6
236,6
237,2
238,4
